city,action,venue,primary_type,reviews,website,reason
"berkeley",delete,"Yo Sushi",sushi_restaurant,470,"https://yosushialbany.menu11.com/","menu-platform-only site"
"berkeley",delete,"Mainichi Sushi",japanese_restaurant,175,"https://mainichisushi.menu11.com/berkeley/order","menu-platform-only site"
"oakland",delete,"Shimizu Cuisine",japanese_restaurant,592,"http://shimizu.menu11.com/","menu-platform-only site"
"oakland",delete,"TGI Oni Sushi",japanese_restaurant,165,"https://tgioni.menu11.com/","menu-platform-only site"
"san-jose",delete,"Tacos al Carbón Bar & Grill",mexican_restaurant,661,"","no alcohol signal + no site"
"san-jose",delete,"5 Spot Chivas Grill",mexican_restaurant,587,"","no alcohol signal + no site"
"san-jose",delete,"Sushi Boat Town",sushi_restaurant,478,"https://sushiboattown.menu11.com/","menu-platform-only site"
"san-jose",delete,"After Bar & Grill",restaurant,223,"","no alcohol signal + no site"
"san-jose",delete,"Almaden Sushi",sushi_restaurant,217,"http://www.almadensushisj.menu11.com/","menu-platform-only site"
"san-jose",delete,"Kakuna Sushi",restaurant,73,"https://kakuna.menu11.com/","menu-platform-only site"
"scottsdale",delete,"Shio Ramen & Crudo",japanese_restaurant,227,"http://shioramen.menu11.com/","menu-platform-only site"
"tucson",delete,"Golden Dragon Chinese Restaurant",chinese_restaurant,411,"https://goldendragon.kwickmenu.com/","menu-platform-only site"
"berkeley",hide,"Cheese Board Collective Pizzeria",pizza_restaurant,3905,"http://cheeseboardcollective.coop/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Chez Panisse",californian_restaurant,2448,"http://www.chezpanisse.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"La Mission",mexican_restaurant,1938,"https://la-mission.shop/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Picante",mexican_restaurant,1934,"http://www.picanteberkeley.com/","restaurant w/ working site (alcohol-only policy)"
"berkeley",hide,"Hana Japan Steak and Seafood",japanese_restaurant,1296,"http://www.hanajapan.com/","restaurant w/ working site (alcohol-only policy)"
