city,action,venue,primary_type,reviews,website,reason
"berkeley",delete,"Yo Sushi",sushi_restaurant,470,"https://yosushialbany.menu11.com/","menu-platform-only site"
"berkeley",delete,"Mainichi Sushi",japanese_restaurant,175,"https://mainichisushi.menu11.com/berkeley/order","menu-platform-only site"
"oakland",delete,"Shimizu Cuisine",japanese_restaurant,592,"http://shimizu.menu11.com/","menu-platform-only site"
"oakland",delete,"TGI Oni Sushi",japanese_restaurant,165,"https://tgioni.menu11.com/","menu-platform-only site"
"san-jose",delete,"Tacos al Carbón Bar & Grill",mexican_restaurant,661,"","no alcohol signal + no site"
"san-jose",delete,"5 Spot Chivas Grill",mexican_restaurant,587,"","no alcohol signal + no site"
"san-jose",delete,"Sushi Boat Town",sushi_restaurant,478,"https://sushiboattown.menu11.com/","menu-platform-only site"
"san-jose",delete,"After Bar & Grill",restaurant,223,"","no alcohol signal + no site"
"san-jose",delete,"Almaden Sushi",sushi_restaurant,217,"http://www.almadensushisj.menu11.com/","menu-platform-only site"
"san-jose",delete,"Kakuna Sushi",restaurant,73,"https://kakuna.menu11.com/","menu-platform-only site"
"scottsdale",delete,"Shio Ramen & Crudo",japanese_restaurant,227,"http://shioramen.menu11.com/","menu-platform-only site"
"tucson",delete,"Golden Dragon Chinese Restaurant",chinese_restaurant,411,"https://goldendragon.kwickmenu.com/","menu-platform-only site"
"berkeley",hide,"Bowl'd Korean Rice Bar",korean_restaurant,803,"http://www.bowldbbq.com/albany","zero-HH cuisine (korean_restaurant)"
"berkeley",hide,"Chengdu Style Restaurant",chinese_restaurant,798,"https://chengdustylerestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"berkeley",hide,"China Village",chinese_restaurant,736,"https://chinavillagecatogo.com/","zero-HH cuisine (chinese_restaurant)"
"berkeley",hide,"Sichuan Style",chinese_restaurant,358,"https://www.sichuanstylerestaurant.com/","zero-HH cuisine (chinese_restaurant)"
"berkeley",hide,"Mint Leaf",vietnamese_restaurant,319,"http://www.mintleafvr.com/","zero-HH cuisine (vietnamese_restaurant)"
