action,venue,primary_type,website,reason
hide,"Iguana Azul",mexican_restaurant,"http://www.blueiguana415.com/","parked/placeholder/empty site"
hide,"Marufuku Ramen Serramonte",ramen_restaurant,"https://www.marufukuramen.com/","parked/placeholder/empty site"
hide,"Ming Yuan Restaurant",chinese_restaurant,"http://mingyuan.us/","parked/placeholder/empty site"
keep,"Blue Line Pizza",pizza_restaurant,"http://www.bluelinepizza.com/","alcohol-positive type/name"
keep,"Boulevard Cafe",american_restaurant,"http://theboulevardcafe.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Celia's",mexican_restaurant,"http://www.celiasrestaurants.com/","live site — crowdsource stub"
keep,"El Zocalo Restaurant",restaurant,"https://www.facebook.com/pages/El-Zocalo-Restaurant/109674275734558","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Extreme Pizza",pizza_restaurant,"http://extremepizzaorder.com/","live site — crowdsource stub"
keep,"La Zona 69 Night Club",night_club,"https://www.lazona69nightclub.com/","alcohol-positive type/name"
keep,"Majikku Ramen",japanese_restaurant,"https://majikkuramen.net/","live site — crowdsource stub"
keep,"Molloy's Tavern",bar,"http://facebook.com/molloyscolma","alcohol-positive type/name"
keep,"Nation's Giant Hamburgers & Great Pies",hamburger_restaurant,"http://nationsrestaurants.com/","live site — crowdsource stub"
keep,"POGU",korean_restaurant,"https://www.instagram.com/jagalchi_official/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Spiral",japanese_restaurant,"http://spiraljapanesecuisine.com/","live site — crowdsource stub"
keep,"The Connection",cocktail_bar,"http://www.goplaypool.com/","alcohol-positive type/name"
keep,"Tokyo Sushi & Bar",japanese_restaurant,"https://tokyosushibarssf.com/","alcohol-positive type/name"
keep,"Tom San Ramen",japanese_restaurant,"http://www.tomsanramendalycity.com/?utm_source=gmb&utm_medium=website","live site — crowdsource stub"
keep,"Yokohama Iekei Ramen Daly City",ramen_restaurant,"https://yokohamaiekei.net/","live site — crowdsource stub"
