action,venue,primary_type,website,reason
keep,"Ada’s Fish House",seafood_restaurant,"https://www.adasfishhouse.com/","live site — crowdsource stub"
keep,"AJ Spurs Saloon & Dining Hall",steak_house,"http://www.ajspurs.com/","alcohol-positive type/name"
keep,"Alex Bar-B-Q",barbecue_restaurant,"http://alexbarbq.online/","alcohol-positive type/name"
keep,"Bee House Thai Cuisine",restaurant,"https://www.toasttab.com/the-bee-house-245-west-grand-av","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Blast 825 Brewery",bar,"http://www.blast825brewery.com/","alcohol-positive type/name"
keep,"Blast & Brew American Eatery and Tap House",restaurant,"https://blastandbrewpismo.com/","alcohol-positive type/name"
keep,"Brad's Restaurant",seafood_restaurant,"http://bradsofpismo.com/","live site — crowdsource stub"
keep,"Brix Wine Bar & Bottle Shop",wine_bar,"https://brixshellbeach.com/","alcohol-positive type/name"
keep,"Cali Love Wine - Pismo Beach",bar,"http://www.calilovewine.com/","alcohol-positive type/name"
keep,"Cool Cat Cafe",hamburger_restaurant,"http://www.coolcatcafe.com/","live site — crowdsource stub"
keep,"Coronas Mexican Restaurant",mexican_restaurant,"https://www.facebook.com/CoronasMexFood/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Cracked Crab",seafood_restaurant,"http://www.crackedcrab.com/","live site — crowdsource stub"
keep,"Del's Pizzeria",pizza_restaurant,"http://delspizzeria.com/","live site — crowdsource stub"
keep,"Ember Restaurant",restaurant,"http://www.emberwoodfire.com/","alcohol-positive type/name"
keep,"Fin's Bar & Grill",seafood_restaurant,"https://www.finsbarandgrill.com/","alcohol-positive type/name"
keep,"Gina's Italian Cuisine",italian_restaurant,"https://www.ginasitaliancuisine.com/","live site — crowdsource stub"
keep,"Gino's Pizza",pizza_restaurant,"https://ginospizzaslo.com/ginospizzapismo?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Hapy Bistro",restaurant,"http://www.hapybistro.com/","alcohol-positive type/name"
keep,"Harry's Night Club & Beach Bar",bar,"http://www.harryspismobeach.com/","alcohol-positive type/name"
keep,"Huckleberry's",american_restaurant,"http://www.huckleberrys.com/","live site — crowdsource stub"
keep,"Humdinger Brewing",brewery,"http://humdingerbrewing.com/","alcohol-positive type/name"
keep,"Izakaya Raku",japanese_izakaya_restaurant,"https://www.izakayarakugrover.com/","alcohol-positive type/name"
keep,"Jalapenos Mexican Restaurant",mexican_restaurant,"https://www.wegodelivers.com/restaurant/jalapenosgroverbeach","live site — crowdsource stub"
keep,"Kanpai Sushi",japanese_restaurant,"http://kanpaibythesea.com/","live site — crowdsource stub"
keep,"Klondike Pizza",pizza_restaurant,"https://klondikepizza.com/","live site — crowdsource stub"
keep,"La Aroma De Havana Cigar Bar & Lounge",store,"https://laaromadehavana.com/","alcohol-positive type/name"
keep,"LA COSTA GRILL",mexican_restaurant,"https://lacostagrillca.com/","live site — crowdsource stub"
keep,"La Tapatía Market & Deli",mexican_restaurant,"https://www.facebook.com/LaTapatiaMarket2","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Luca's Deli & Wine",restaurant,"https://www.lucasdeliandwine.com/","live site — crowdsource stub"
keep,"Mariscos El Picosito PB",mexican_restaurant,"https://www.mariscoselpicosito805.com/pismo-beach","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Mason Bar & Kitchen",restaurant,"https://masonbarag.com/","alcohol-positive type/name"
keep,"Mei's | Chinese Restaurant",chinese_restaurant,"http://www.meischineserestaurants.com/","live site — crowdsource stub"
keep,"Me-n-Ed's Pizzeria and Crafthouse",pizza_restaurant,"https://menedscentralcoast.com/pismo-beach/","live site — crowdsource stub"
keep,"Monarch Grove Winery Tasting Room",wine_bar,"http://www.monarchgrovewinery.com/","alcohol-positive type/name"
keep,"Mo's SmokeHouse BBQ",barbecue_restaurant,"http://www.mosbbq.com/","live site — crowdsource stub"
keep,"OLD SLO at The Cape",restaurant,"https://oldsloatthecape.com/","alcohol-positive type/name"
keep,"Old Village Grill",american_restaurant,"http://oldvillagegrill.biz/","live site — crowdsource stub"
keep,"Oyster Loft",seafood_restaurant,"https://oysterloft.com/","live site — crowdsource stub"
keep,"Palo Mesa",pizza_restaurant,"https://www.palomesapizza.com/ag-village","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Palo Mesa Pizza II",pizza_restaurant,"https://www.palomesapizza.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Papi's Grill",mexican_restaurant,"https://www.facebook.com/papisgrillpismo/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Perfetto Caffe",bistro,"http://www.8575perfettocaffe.com/","live site — crowdsource stub"
keep,"Pismo Coast Village Grill",restaurant,"https://www.rockandrolldiner.com/pcvg-menu.html","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Pizmo Cafe | Ristorante & Pizzeria",restaurant,"http://www.pizmocafe.com/","live site — crowdsource stub"
keep,"Puffer's of Pismo",wine_bar,"https://www.puffersofpismo.com/","alcohol-positive type/name"
keep,"Rooster Creek Tavern",bar_and_grill,"http://www.roostercreektavern.com/","alcohol-positive type/name"
keep,"Sans Liege Wines",winery,"http://sansliege.com/","alcohol-positive type/name"
keep,"SeaVenture Restaurant",restaurant,"https://seaventure.com/dine/","alcohol-positive type/name"
keep,"Sushi 805",sushi_restaurant,"https://www.805sakesushi.com/","live site — crowdsource stub"
keep,"SUSHI KOKKU & Ramen",sushi_restaurant,"http://www.sushikokkuslo.com/","live site — crowdsource stub"
keep,"Tastes of the Valleys",wine_bar,"http://pismowineshop.com/","alcohol-positive type/name"
keep,"The Boardroom Beer Pub",pub,"https://www.boardroompismobeach.com/","alcohol-positive type/name"
keep,"The Break",bar_and_grill,"http://thebreakpb.com/","alcohol-positive type/name"
keep,"The Green Olive | Pismo Beach",mediterranean_restaurant,"https://www.orderthegreenolivepismobeach.com/","live site — crowdsource stub"
keep,"Villa Cantina",mexican_restaurant,"https://www.villacantina.com/","alcohol-positive type/name"
keep,"Vista Steak and Seafood",steak_house,"https://www.vistapismobeach.com/","live site — crowdsource stub"
keep,"Yanagi Sushi & Grill",japanese_restaurant,"https://www.yanagisushingrill.com/","live site — crowdsource stub"
keep,"Zorro's Cafe & Cantina",mexican_restaurant,"http://www.zorroscafe.com/","alcohol-positive type/name"
