action,venue,primary_type,website,reason
hide,"3 Hermanas",mexican_restaurant,"https://treshermanas.parsepronto.com/","parked/placeholder/empty site"
hide,"BBQ & Burgers Smokehouse",restaurant,"https://sutterville.bbqnburgers.com/","parked/placeholder/empty site"
hide,"Captain Crab Seafood Restaurant - Sacramento",seafood_restaurant,"http://captaincrabseafood.com/","parked/placeholder/empty site"
hide,"Cocomilk.Cafe",restaurant,"https://www.clover.com/online-ordering/cocomilk-cafe-inc-sacramento","parked/placeholder/empty site"
hide,"La Fiesta Alteña Taquería | Sacramento",mexican_restaurant,"https://scan.waiternow.com/?qrcode=eb21cd06-e998-4ae0-9bf9-03c35c95d8e2&gotomenu=1","parked/placeholder/empty site"
hide,"Mamma Susanna's Ristorante Italiano",italian_restaurant,"http://mammasusanna.com/","parked/placeholder/empty site"
hide,"Mariscos Los Langostinos",seafood_restaurant,"https://mariscosloslangostinos.com/","site dead/unreachable"
hide,"Phở City | Vietnamese Cuisine",restaurant,"https://phocitysac.com/","parked/placeholder/empty site"
hide,"Rosa Madera",mexican_restaurant,"https://rosamaderarestaurant.com/","site dead/unreachable"
hide,"Ruth's Chris Steak House",steak_house,"https://www.ruthschris.com/locations/ca/sacramento/sacramento/7333?cmpid=br:rc_ag:ie_ch:loc_ca:RCGMB_sn:gmb_gt:sacramento-ca-7333_pl:locurl_rd:1030","parked/placeholder/empty site"
hide,"Sac City Pizza",pizza_restaurant,"https://saccitypizza.e-tab.com/saccitypizza/venue/66ede7de9add8b0bb3b63022/menu","parked/placeholder/empty site"
hide,"Tacos y Mariscos El Limón",restaurant,"https://tacosymariscosellimonca.com/","site dead/unreachable"
hide,"Taquería Los Compadres",mexican_restaurant,"http://www.taquerialoscompadres.net/","site dead/unreachable"
hide,"Taquería Los Mejores",mexican_restaurant,"https://taquerialosmejorescalifornia.com/","site dead/unreachable"
hide,"Tokyo Table",restaurant,"http://www.tokyotablesac.com/","parked/placeholder/empty site"
hide,"Zazon Del Mar",mexican_restaurant,"https://zazondelmar.parsepronto.com/","parked/placeholder/empty site"
keep,"AB Indian Cuisine",restaurant,"https://www.abindian.com/","alcohol-positive type/name"
keep,"Agave Restaurant",mexican_restaurant,"https://www.agaverestaurantca.com/#/","live site — crowdsource stub"
keep,"Algo Bueno | Tacos & Michelada Bar",mexican_restaurant,"https://instagram.com/algobuenoofficial916?igshid=YmMyMTA2M2Y=","alcohol-positive type/name"
keep,"Allora",italian_restaurant,"https://allorasacramento.com/","alcohol-positive type/name"
keep,"Alma Wine Bar & Shop",wine_bar,"http://almawinebar.com/","alcohol-positive type/name"
keep,"Alonzo's Mexican & American Food",mexican_restaurant,"http://alonzosmexican1969.com/","live site — crowdsource stub"
keep,"Anthony's Italian Cuisine",italian_restaurant,"http://www.anthonysitaliancuisine.biz/","live site — crowdsource stub"
keep,"Applebee's Grill + Bar",restaurant,"https://restaurants.applebees.com/en-us/ca/sacramento/3601-truxel-rd.-76064?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=76064&utm_content=website","alcohol-positive type/name"
keep,"Arigato Sushi",sushi_restaurant,"http://www.arigato-sushi.com/","live site — crowdsource stub"
keep,"Asian N Cajun",seafood_restaurant,"https://www.asianncajunsac.com/","live site — crowdsource stub"
keep,"Azayaka Japanese Fusion",restaurant,"https://azayakasushi.com/","live site — crowdsource stub"
keep,"Azukar Sushi",sushi_restaurant,"https://www.azukar-sushi.com/","live site — crowdsource stub"
keep,"Backstage Brewing Company",brewery,"http://www.backstagebrewery.com/","alcohol-positive type/name"
keep,"Bacon & Butter",brunch_restaurant,"http://baconandbuttersac.com/","live site — crowdsource stub"
keep,"Beers in Sac",,"https://www.beersinsac.com/","alcohol-positive type/name"
keep,"Bento Box | 65th",japanese_restaurant,"http://www.bentoboxrestaurants.com/","live site — crowdsource stub"
keep,"Berkley Bar",bar,"https://cafebernardo.com/","alcohol-positive type/name"
keep,"Beto's Mexican Restaurant",mexican_restaurant,"https://betosmexicanrestaurant.shop/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Betty",bistro,"https://www.betty-wine.com/","alcohol-positive type/name"
keep,"Big momas BAR BBQ CATERING",bar,"","alcohol-positive type/name"
keep,"Binchoyaki",japanese_restaurant,"http://binchoyaki.com/","live site — crowdsource stub"
keep,"Birdies Social Club",restaurant,"https://birdieswestsac.com/","live site — crowdsource stub"
keep,"Block Craft Beer + Kitchen",restaurant,"https://www.blockcraftkitchen.com/","alcohol-positive type/name"
keep,"Blue Agave Taquería & Bar | Mexican",mexican_restaurant,"http://blueagavetaqueria.com/","live site — crowdsource stub"
keep,"Bollywood Pizza - Sacramento",pizza_restaurant,"https://order.bollywoodpizza.com/","live site — crowdsource stub"
keep,"Bonn Lair",bar,"","alcohol-positive type/name"
keep,"Boss 5 Star Lounge",bar,"https://boss5starlounge.com/","alcohol-positive type/name"
keep,"Brannan Manor Restaurant & Spirits",restaurant,"http://brannanmanor.com/","alcohol-positive type/name"
keep,"Brody's Restaurant",barbecue_restaurant,"https://brodysrestaurant.com/?utm_source=google","alcohol-positive type/name"
keep,"Caballo Blanco Restaurante",mexican_restaurant,"http://www.caballoblanco1961.com/","live site — crowdsource stub"
keep,"Cacio",italian_restaurant,"https://www.caciosacramento.com/","live site — crowdsource stub"
keep,"Cafe Bernardo at Pavilions",californian_restaurant,"https://cafebernardo.com/","alcohol-positive type/name"
keep,"Cafe Bernardo - R15",californian_restaurant,"https://cafebernardo.com/","alcohol-positive type/name"
keep,"Cafe Colonial",bar,"https://www.colonialpresents.com/","alcohol-positive type/name"
keep,"California Pizza Kitchen at Arden Fair",pizza_restaurant,"https://order.cpk.com/menu/california-pizza-kitchen-sacramento/?utm_source=GMB&utm_medium=GMB","alcohol-positive type/name"
keep,"Cameo Lounge",bar_and_grill,"https://www.hilton.com/en/hotels/smfhihf-hilton-sacramento-arden-west/dining/","alcohol-positive type/name"
keep,"Canon",american_restaurant,"http://canoneastsac.com/","live site — crowdsource stub"
keep,"CAP’s Pizza and Tap House",pizza_restaurant,"https://www.ordercappizzahouse.com/?utm_source=gbp","alcohol-positive type/name"
keep,"Casa East Sac",american_restaurant,"https://www.casaeastsac.com/","live site — crowdsource stub"
keep,"Casa Flores",mexican_restaurant,"http://casafloresrestaurants.com/","live site — crowdsource stub"
keep,"Chando's Tacos",mexican_restaurant,"https://chandostacos.com/","live site — crowdsource stub"
keep,"Chargin's Bar & Grill",pub,"","alcohol-positive type/name"
keep,"Cheaters Sports Bar",sports_bar,"","alcohol-positive type/name"
keep,"CHEESESTEAKS",american_restaurant,"","no website — crowdsource stub"
keep,"Chicago Fire",pizza_restaurant,"http://www.chicagofire.com/","alcohol-positive type/name"
keep,"Chili's Grill & Bar",restaurant,"https://www.chilis.com/locations?utm_source=google&utm_medium=local&utm_campaign=Chilis","alcohol-positive type/name"
keep,"Cilantro's Méxican Restaurant",mexican_restaurant,"https://www.cilantros-mexican.com/","live site — crowdsource stub"
keep,"Citizen Capitol Craft House",american_restaurant,"https://citizensactown.com/","alcohol-positive type/name"
keep,"Club Raven",bar,"","alcohol-positive type/name"
keep,"Creole Soul | Restaurant & Bar",cajun_restaurant,"https://www.creolesoulrestaurantandbar.com/","live site — crowdsource stub"
keep,"Cuatro Amigos Sports Grill & Bar",mexican_restaurant,"https://www.cuatroamigosca.com/","alcohol-positive type/name"
keep,"Dive Bar",bar,"http://divebarsacramento.com/","alcohol-positive type/name"
keep,"DIVINA CANTINA",bar_and_grill,"","alcohol-positive type/name"
keep,"Dos Coyotes Border Cafe",mexican_restaurant,"http://www.doscoyotes.com/","live site — crowdsource stub"
keep,"Dos Coyotes Border Cafe",restaurant,"http://doscoyotes.com/","live site — crowdsource stub"
keep,"East Patio Méxicano",mexican_restaurant,"http://eastpatiomexicano.com/","live site — crowdsource stub"
keep,"East & West Grill",bar_and_grill,"","alcohol-positive type/name"
keep,"El Burrito Taquería",mexican_restaurant,"http://elburritotaq.com/","live site — crowdsource stub"
keep,"El Forastero | Méxican Food",mexican_restaurant,"https://elforasteromexicanfood.com/","live site — crowdsource stub"
keep,"El Gallo Giro Tacos Y Mariscos",mexican_restaurant,"https://elgallogirotacosymariscos.com/","live site — crowdsource stub"
keep,"Elixir Bar & Grill",bar,"https://www.facebook.com/ELIXIR-BAR-GRILL-119340298094601/","alcohol-positive type/name"
keep,"El Ronco Restaurant",mexican_restaurant,"https://elroncorestaurantinc0497.s4shops.com/","live site — crowdsource stub"
keep,"El Tapatio Mexican Restaurant",mexican_restaurant,"https://www.eltapatioca.com/","live site — crowdsource stub"
keep,"Fire Wings",chicken_wings_restaurant,"https://www.firewings.com/sacramento-ca-95832","alcohol-positive type/name"
keep,"Fire Wings Center Pkwy",chicken_wings_restaurant,"https://www.firewings.com/sacramento-ca-95823","live site — crowdsource stub"
keep,"Fire Wings Natomas",chicken_wings_restaurant,"https://www.firewings.com/sacramento-ca-95835","live site — crowdsource stub"
keep,"Fish Face Poke Bar",hawaiian_restaurant,"http://www.fishfacepokebar.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Frends Brewhouse",american_restaurant,"https://frendsbrewhouse.com/frendsnatomass?utm_source=google","alcohol-positive type/name"
keep,"Game Lounge",bar,"","alcohol-positive type/name"
keep,"Genki Kitchen",japanese_restaurant,"http://www.genkibrunch.com/","live site — crowdsource stub"
keep,"Gen Korean BBQ House",korean_barbecue_restaurant,"http://genkoreanbbq.com/","live site — crowdsource stub"
keep,"Gio’s Cafe & Brew",restaurant,"","alcohol-positive type/name"
keep,"Gondo Fusion -Latin Fusion- Restaurant & Catering",mexican_restaurant,"http://www.gondofusion.com/","live site — crowdsource stub"
keep,"Grand Hotpot Lounge",restaurant,"http://www.sacgrandhotpot.com/","live site — crowdsource stub"
keep,"Grown Folks",bar,"","alcohol-positive type/name"
keep,"Happy Lamb Hot Pot | Sacramento",hot_pot_restaurant,"https://happylambhotpot.com/","live site — crowdsource stub"
keep,"Harvard Street Grille",american_restaurant,"https://www3.hilton.com/en/hotels/california/hilton-sacramento-arden-west-SMFHIHF/dining/index.html","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Hawthorne's Hideout",bar,"https://www.hawthorneshideout.com/","alcohol-positive type/name"
keep,"Helic",brunch_restaurant,"http://helicbistro.com/","live site — crowdsource stub"
keep,"Henry's Lounge",bar_and_grill,"https://www.henrysloungesacramento.com/","alcohol-positive type/name"
keep,"Hilltop Tavern Bar",bar,"http://hilltoptavern.net/","alcohol-positive type/name"
keep,"Hinoka Sushi",japanese_restaurant,"https://order.tbdine.com/pickup/47497","live site — crowdsource stub"
keep,"Hoa Viet Vietnamese Noodles & Grill",restaurant,"https://hoavietnoodles.com/","live site — crowdsource stub"
keep,"Honey and The Trapcat",american_restaurant,"http://www.honeyandthetrapcat.com/","live site — crowdsource stub"
