action,venue,primary_type,website,reason
hide,"East Beach Tacos",taco_restaurant,"http://www.eastbeachtacos.com/","parked/placeholder/empty site"
hide,"Mony's Mexican Food",mexican_restaurant,"http://www.monyssb.com/","parked/placeholder/empty site"
hide,"Natural Cafe",restaurant,"http://www.thenaturalcafe.com/","site dead/unreachable"
hide,"Noodle City | Vietnamese Restaurant",vietnamese_restaurant,"http://noodlecitygoleta.com/","parked/placeholder/empty site"
hide,"Rosales Mexican Restaurant",mexican_restaurant,"http://rosalesmexicanrestaurant.com/","parked/placeholder/empty site"
keep,"Alma Fonda Fina",restaurant,"http://almamontecito.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Altamirano’s Mexican Grill",mexican_restaurant,"http://orderaltamiranosmexicangrill.com/","live site — crowdsource stub"
keep,"Blackbird",restaurant,"http://www.thehotelcalifornian.com/santa_barbara_restaurants/","alcohol-positive type/name"
keep,"Boathouse at Hendry's Beach",seafood_restaurant,"https://boathousesb.com/","alcohol-positive type/name"
keep,"Bossie's Kitchen",restaurant,"http://www.bossieskitchen.com/","live site — crowdsource stub"
keep,"Buena Onda Empanadas | Restaurant • Catering • Events",argentinian_restaurant,"http://www.buenaondasb.com/","live site — crowdsource stub"
keep,"Ca' Dario Montecito",italian_restaurant,"https://www.cadariorestaurants.com/montecito","live site — crowdsource stub"
keep,"Ca' Dario Santa Barbara",italian_restaurant,"http://cadariorestaurants.com/","alcohol-positive type/name"
keep,"Cali-Forno Pizzeria",pizza_restaurant,"https://californopizza.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Carr Winery",winery,"http://www.carrwinery.com/","alcohol-positive type/name"
keep,"China Palace Restaurant",chinese_restaurant,"https://chinapalaceca.com/","live site — crowdsource stub"
keep,"Corazón Comedor",mexican_restaurant,"https://corazoncomedor.toast.site/","alcohol-positive type/name"
keep,"Crocodile Restaurant & Bar",californian_restaurant,"http://crocodilerestaurant.com/","alcohol-positive type/name"
keep,"Cutler's Distillery & Public House",restaurant,"https://cutlersartisan.com/","alcohol-positive type/name"
keep,"Deep Sea Tasting Room",wine_bar,"https://www.conwayfamilywines.com/","alcohol-positive type/name"
keep,"Djinn",cocktail_bar,"https://www.hotelcalifornian.com/santa_barbara_restaurants/djinn/","alcohol-positive type/name"
keep,"Duo Events",food,"https://www.duoevents.com/","alcohol-positive type/name"
keep,"Edomasa Sushi Bar & Restaurant",japanese_restaurant,"https://edomasasushi.com/?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"El Rincon Bohemio",mexican_restaurant,"http://orderelrinconbohemio.com/","live site — crowdsource stub"
keep,"Happy Cat Eats",american_restaurant,"http://www.happycateats.com/","live site — crowdsource stub"
keep,"Honor Bar",american_restaurant,"http://www.honorbar.com/locations/montecito/","alcohol-positive type/name"
keep,"I Bike Santa Barbara Wine Country Tours",tour_agency,"http://www.ibikesb.com/","alcohol-positive type/name"
keep,"Ichiban Sushi",sushi_restaurant,"https://ichibansushisb.com/","live site — crowdsource stub"
keep,"Jeannine's Restaurant & Bakery",american_restaurant,"http://jeannines.com/","live site — crowdsource stub"
