action,venue,primary_type,website,reason
hide,"Achilles by the Sea",mediterranean_restaurant,"https://achillesrestaurant.com/","live site, no alcohol or HH evidence"
hide,"Aldo's",restaurant,"http://www.aldossantacruz.com/","live site, no alcohol or HH evidence"
hide,"Bantam",pizza_restaurant,"http://bantam1010.com/","live site, no alcohol or HH evidence"
hide,"Beach Hut Deli",restaurant,"http://beachhutdeli.com/","live site, no alcohol or HH evidence"
hide,"Betty Noodles",restaurant,"http://bettynoodleusa.com/","live site, no alcohol or HH evidence"
hide,"Bookie’s Pizza",pizza_restaurant,"http://www.bookiespizza.com/","live site, no alcohol or HH evidence"
hide,"Charlie Hong Kong",vegan_restaurant,"http://www.charliehongkong.com/","live site, no alcohol or HH evidence"
hide,"Chloe’s Kitchen",dumpling_restaurant,"http://chloeskitchensc.com/","live site, no alcohol or HH evidence"
hide,"El Hermoso Mar",mexican_restaurant,"https://elhermosomar.com/?utm_source=google","site dead/unreachable"
hide,"Full Steam Dumpling",asian_restaurant,"http://www.fullsteamdumpling.com/","live site, no alcohol or HH evidence"
hide,"Gabriella Café",italian_restaurant,"http://gabriellacafe.com/","live site, no alcohol or HH evidence"
hide,"Gobi Mongolian BBQ",restaurant,"https://order.online/business/gobi-mongolian-bbq-12907394","live site, no alcohol or HH evidence"
hide,"Ibiza",mediterranean_restaurant,"http://ibizasantacruz.com/","live site, no alcohol or HH evidence"
hide,"Lillian's Italian Kitchen",italian_restaurant,"https://www.lilliansitaliankitchen.com/","live site, no alcohol or HH evidence"
hide,"M.G. Sushi",sushi_restaurant,"https://www.santacruzmgsushi.com/","live site, no alcohol or HH evidence"
hide,"Mozaic",middle_eastern_restaurant,"https://mozaicsantacruz.com/","site dead/unreachable"
hide,"Nick the Greek",greek_restaurant,"http://www.nickthegreek.com/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp","live site, no alcohol or HH evidence"
hide,"Pizza My Heart",pizza_restaurant,"https://www.pizzamyheart.com/","live site, no alcohol or HH evidence"
