action,venue,primary_type,website,reason
hide,"Kitchen18",restaurant,"http://www.thekitchen18.com/","parked/placeholder/empty site"
hide,"Marketplace Café at Nordstrom",american_restaurant,"https://www.nordstrom.com/store-details/nordstrom-scottsdale-fashion-square?utm_source=google&utm_medium=organic&utm_campaign=food&utm_content=32380&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=food","parked/placeholder/empty site"
hide,"Pomo Pizzeria Napoletana",italian_restaurant,"https://pomopizzeria.com/","parked/placeholder/empty site"
hide,"Ristorante Giuseppe",italian_restaurant,"http://giuseppesofscottsdale.com/","parked/placeholder/empty site"
hide,"Sushiholic Scottsdale",japanese_restaurant,"https://sushiholicscottsdale.carrd.co/","parked/placeholder/empty site"
keep,"21 Degrees Cigar Lounge",store,"https://21cigar.com/","alcohol-positive type/name"
keep,"AGAVE Southwest Bar & Grill",american_restaurant,"http://www.marriott.com/hotels/hotel-information/restaurant/phxno-scottsdale-marriott-at-mcdowell-mountains/","alcohol-positive type/name"
keep,"Alo Cafe",bistro,"https://alocafeaz.com/","live site — crowdsource stub"
keep,"Andreoli Italian Grocer",italian_restaurant,"http://www.andreoli-grocer.com/","live site — crowdsource stub"
keep,"Angry Crab Shack",seafood_restaurant,"https://www.angrycrabshack.com/talking-stick-way-scottsdale","live site — crowdsource stub"
keep,"Antidote: New Bar Experience",bar,"http://westinkierland.idaypass.com/","alcohol-positive type/name"
keep,"Arizona BBQ Shack",barbecue_restaurant,"https://azbbqshackscottsdale.com/?utm_source=google","alcohol-positive type/name"
keep,"Atlas Bistro",fine_dining_restaurant,"http://www.atlasbistrobyob.com/","live site — crowdsource stub"
keep,"Bar Bambino",cocktail_bar,"https://www.barbambino.com/","alcohol-positive type/name"
keep,"Basil & Garlic",italian_restaurant,"https://basilngarlicbistro.com/","live site — crowdsource stub"
keep,"bb.q Chicken North Scottsdale",restaurant,"https://bbqchicken.com/","live site — crowdsource stub"
keep,"Belle's Nashville Kitchen",american_restaurant,"https://www.bellesnashvillekitchen.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"BIRRIA'S MEXICAN FOOD & BAR",mexican_restaurant,"https://birriasmexicanfoodandbar.com/","live site — crowdsource stub"
keep,"Blossom Kitchen",restaurant,"http://blossomkitchenaz.com/","live site — crowdsource stub"
keep,"BLU Seafood Scottsdale",seafood_restaurant,"https://blu-seafood.com/bluseafoodscottsdale?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Boo and Henry's Memphis Pit BBQ Restaurant",restaurant,"https://booandhenrysbbq.com/","alcohol-positive type/name"
keep,"Born & Bred, Scottsdale",american_restaurant,"https://scottsdale.bornandbredarizona.com/","alcohol-positive type/name"
keep,"Cafe Monarch",fine_dining_restaurant,"https://www.cafemonarch.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"California Pizza Kitchen at Scottsdale",restaurant,"https://order.cpk.com/menu/california-pizza-kitchen-scottsdale/?utm_source=GMB&utm_medium=GMB","alcohol-positive type/name"
keep,"Caramba Mexican Food",mexican_restaurant,"http://carambamex.com/","live site — crowdsource stub"
keep,"Caribbean Palm Scottsdale",restaurant,"http://caribbeanpalmscottsdale.com/","alcohol-positive type/name"
keep,"Cask 53 Whiskey Bar",bar,"https://cask53whiskeybar.com/","alcohol-positive type/name"
keep,"Catch",restaurant,"https://www.catchrestaurants.com/location/catch-scottsdale/","live site — crowdsource stub"
keep,"CEDAR ROOM Fine Cigars & Lounge",store,"http://cedarroomcigars.com/","alcohol-positive type/name"
keep,"Checo's Taco Shop",mexican_restaurant,"https://checostacoshop.getbento.com/","live site — crowdsource stub"
keep,"Chef J Dim Sum & Chinese Bistro",asian_restaurant,"https://www.chefjscottsdale.com/","live site — crowdsource stub"
keep,"CIELO",american_restaurant,"https://www.aderoscottsdale.com/cielo","alcohol-positive type/name"
keep,"Clancy's Jack Room",bar,"https://www.clancyspubscottsdale.com/jack-party-room","alcohol-positive type/name"
keep,"Clancy's Pub - Scottsdale",bar_and_grill,"https://www.clancyspubscottsdale.com/","alcohol-positive type/name"
keep,"Coach House",bar,"http://www.coachhousescottsdale.com/","alcohol-positive type/name"
keep,"Cornish Pasty Co",gastropub,"http://www.cornishpastyco.com/","alcohol-positive type/name"
keep,"Corso Italia Restaurant & Market",italian_restaurant,"http://corsoitalia1.com/","live site — crowdsource stub"
keep,"Cottontail Lounge",lounge_bar,"https://cottontaillounge.com/?utm_source=GMB&utm_medium=local","alcohol-positive type/name"
keep,"DiMaggio's Italian Restaurant",restaurant,"https://www.dimaggiosrestaurant.com/","alcohol-positive type/name"
keep,"DJ's of Scottsdale Bar & Grill",bar_and_grill,"","alcohol-positive type/name"
keep,"Eddie V's Prime Seafood",seafood_restaurant,"https://www.eddiev.com/locations/az/scottsdale/scottsdale/8510?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:scottsdale-az-8510_pl:locurl_rd:1009","alcohol-positive type/name"
keep,"EGGstasy",restaurant,"http://www.eggstasyaz.com/","live site — crowdsource stub"
keep,"El Pollo Loco",mexican_restaurant,"https://restaurants.elpolloloco.com/az/scottsdale/15540-n-hayden-rd?utm_source=gmb&utm_medium=yext","live site — crowdsource stub"
keep,"Enzo's Italian Kitchen",pizza_restaurant,"https://enzositaliankitchen.com/?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"EVO Old Town Scottsdale",italian_restaurant,"https://www.evoscottsdale.com/","alcohol-positive type/name"
keep,"Fata Morgana Mediterranean Cuisine",mediterranean_restaurant,"https://www.fatamorganaaz.com/","live site — crowdsource stub"
keep,"Flo's",chinese_restaurant,"https://madebyflo.com/","live site — crowdsource stub"
keep,"Frank & Lupe's Old Mexico",mexican_restaurant,"http://www.frankandlupesaz.com/","live site — crowdsource stub"
keep,"George & Son's Asian Cuisine",asian_restaurant,"http://georgeandsonsasiancuisine.com/","live site — crowdsource stub"
keep,"Goldwater Brewing Co.",brewery,"https://www.goldwaterbrewing.com/scottsdale","alcohol-positive type/name"
keep,"Good Fortune Chinese Restaurant",restaurant,"http://www.goodfortunescottsdale.com/","live site — crowdsource stub"
keep,"Gordos Tacos",restaurant,"https://www.tacosgordos.com/","live site — crowdsource stub"
keep,"Guido's Chicago Meats & Deli",italian_restaurant,"https://www.guidosofchicago.com/","live site — crowdsource stub"
keep,"Gypsy's Roadhouse",bar_and_grill,"https://gypsysroadhouse.com/","alcohol-positive type/name"
keep,"Habaneros Mexican Grill & Cantina",mexican_restaurant,"https://habaneroscantina.com/?utm_source=google","alcohol-positive type/name"
keep,"Hai Noon",japanese_restaurant,"https://hainoonaz.com/","live site — crowdsource stub"
keep,"Hashi Sushi",sushi_restaurant,"http://www.hashi-scottsdale.com/","live site — crowdsource stub"
keep,"Hot N Juicy Crawfish",restaurant,"http://www.hotnjuicycrawfish.com/","live site — crowdsource stub"
keep,"Houston's",american_restaurant,"http://www.houstons.com/","alcohol-positive type/name"
keep,"Il Capo Pizzeria",italian_restaurant,"https://www.ilcapoaz.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Isabella's Kitchen",american_restaurant,"https://grayhawkgolf.com/dining-overview/isabellas-kitchen/","live site — crowdsource stub"
keep,"J. Swilling's Pool Bar & Grill",bar,"https://www.marriott.com/en-us/dining/restaurant-bar/phxws-the-westin-kierland-resort-and-spa/5966007-j-swilling-s-poolside-bar-grill.mi","alcohol-positive type/name"
keep,"Julio's Too",mexican_restaurant,"http://www.juliosaz.com/","live site — crowdsource stub"
keep,"Karsen's Grill",american_restaurant,"https://www.karsensgrill.net/","alcohol-positive type/name"
keep,"Koi Poke - DC Ranch",hawaiian_restaurant,"https://koipoke.com/","live site — crowdsource stub"
keep,"La Cocina - Authentic Mexican Kitchen",restaurant,"https://lacokitchen.com/?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Lamp Pizzeria",pizza_restaurant,"http://lamppizza.com/","live site — crowdsource stub"
keep,"La Torretta Ristorante",italian_restaurant,"http://www.latorrettaaz.com/","live site — crowdsource stub"
keep,"La Zozzona",restaurant,"https://lazozzona.com/?utm_source=google&utm_medium=lastmile&utm_campaign=scott-r-lazo","live site — crowdsource stub"
keep,"LDV Winery",winery,"https://ldvwinery.com/","alcohol-positive type/name"
keep,"Little Snitch",brunch_restaurant,"https://www.littlesnitchscottsdale.com/","live site — crowdsource stub"
keep,"Local Bistro",bistro,"http://localbistroaz.com/","live site — crowdsource stub"
keep,"Lo-Lo's Chicken and Waffles",soul_food_restaurant,"https://loloschickenandwaffles.com/location/scottsdale/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Longshots Bar & Grill",bar_and_grill,"https://www.longshotsaz.com/","alcohol-positive type/name"
keep,"Los Sombreros",mexican_restaurant,"https://www.lossombreros.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Maui Fish House",hawaiian_restaurant,"https://www.mauifishhouse.com/","live site — crowdsource stub"
keep,"Maui Fish House",hawaiian_restaurant,"https://www.mauifishhouse.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Merci French Cafe",restaurant,"http://www.mercifc.com/","live site — crowdsource stub"
keep,"Metropolis",american_restaurant,"http://www.metropolisaz.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Miel de Agave Scottsdale",steak_house,"https://lamieldeagave.com/mieldeagavescottsdale?utm_source=google","alcohol-positive type/name"
keep,"NakedQ BBQ",barbecue_restaurant,"http://www.nakedq.com/","live site — crowdsource stub"
keep,"New China Gate",chinese_restaurant,"https://www.ordernewchinagate.com/","live site — crowdsource stub"
keep,"Nick’s Italian restaurant - Pima",italian_restaurant,"http://www.nicks-italian.com/","live site — crowdsource stub"
keep,"Ni Hao Bao Dumpling House",restaurant,"http://www.nihaobaodumplinghouse.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Northside Wine & Beer Bar",bar,"http://www.wholefoodsmarket.com/stores/scottsdale","alcohol-positive type/name"
keep,"Ocean 44",fine_dining_restaurant,"https://www.ocean44.com/","live site — crowdsource stub"
keep,"Old Town Tavern",pub,"http://www.oldtowntavernaz.com/","alcohol-positive type/name"
keep,"Old Town Tortilla Factory",southwestern_us_restaurant,"http://oldtowntortillafactory.com/","alcohol-positive type/name"
keep,"Onyx Bar & Lounge",bar,"https://www.fourseasons.com/scottsdale/dining/lounges/onyx_bar_and_lounge/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sco-fab-mid-seo-na&utm_content=na-na&utm_term=na","alcohol-positive type/name"
keep,"Outrider Rooftop Lounge",restaurant,"http://www.outriderrooftop.com/?SEO_id=GMB--R-PHXOTPY-1&y_source=1_Mjg5MTMwOTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","live site — crowdsource stub"
keep,"Pangaea Dinosaur Grill",restaurant,"https://pangaeadinosaurgrill.com/","live site — crowdsource stub"
keep,"Papago Inn",hotel,"https://www.choicehotels.com/arizona/scottsdale/ascend-hotels/az415","alcohol-positive type/name"
keep,"Parma Italian Roots Italian Restaurant",italian_restaurant,"https://www.parmaitalianaz.com/","alcohol-positive type/name"
keep,"Pars Persian Cuisine",persian_restaurant,"http://parspersiancuisine.com/","live site — crowdsource stub"
keep,"Pei Wei Asian Kitchen",chinese_restaurant,"https://www.peiwei.com/arizona/7-grayhawk","live site — crowdsource stub"
keep,"Pei Wei Asian Kitchen",chinese_restaurant,"https://www.peiwei.com/arizona/236-scottsdale","live site — crowdsource stub"
keep,"Phils Grill",bar_and_grill,"https://grayhawkgolf.com/dining/phils-grill/","alcohol-positive type/name"
keep,"Pho Cao Restaurant and Bar",vietnamese_restaurant,"https://phocaokitchen.com/?utm_source=google","alcohol-positive type/name"
keep,"PHX Beer Co.",brewery,"https://www.phxbeerco.com/","alcohol-positive type/name"
keep,"Pietro's",italian_restaurant,"https://www.pietrosfinedining.com/","alcohol-positive type/name"
keep,"PINO",italian_restaurant,"http://pizzapino.us/","live site — crowdsource stub"
