neighborhood,name,slug,tag,url,fb_list
Capitola,Caruso's Tuscan Cuisine,caruso-s-tuscan-cuisine,WIX,https://carusoscapitola.wixsite.com/carusostuscancusine,""
Capitola,KAITO,kaito,ORDER,https://order.online/store/Kaito-591846?hideModal=true&pickup=true&utm_source=GMB&utm_source=website_btn,""
Live Oak,El Chino Mexican Restaurant,el-chino-mexican-restaurant,ORDER,https://www.toasttab.com/el-chino-mexican-restaurant,""
Rio del Mar,Village Host Pizza & Grill,village-host-pizza-grill,ORDER,https://order.toasttab.com/online/villagehostpizza-aptos,""
Capitola,Avenue Cafe,avenue-cafe,NO-URL,"",""
Capitola,Yakitori Toriman,yakitori-toriman,NO-URL,"",""
Opal Cliffs,Oak & Ale,oak-ale,NO-URL,"",""
Soquel,Golden Fu Wah Restaurant / Fuji Sushi,golden-fu-wah-restaurant-fuji-sushi,NO-URL,"",""
Soquel,JJ’s Saloon and Social Club,jj-s-saloon-and-social-club,NO-URL,"",""
Soquel,Ming's Palace Restaurant,ming-s-palace-restaurant,NO-URL,"",""
Capitola,Britannia Arms Of Capitola,britannia-arms-of-capitola,FB,https://m.facebook.com/britanniaarmscapitola/,""
Soquel,Sir Froggy's,sir-froggy-s,FB,https://m.facebook.com/SirFroggysPub/,""
Twin Lakes,Aloha Island Grille,aloha-island-grille,FB,https://www.facebook.com/alohaislandgrille/,""
Aptos,Aptos St. BBQ,aptos-st-bbq,DIRECT,https://www.aptosstbbq.com/,""
Aptos,Cantine Winepub,cantine-winepub,DIRECT,http://www.cantinewinepub.com/,""
Aptos,Cavalletta,cavalletta,DIRECT,https://www.cavallettarestaurant.com/,""
Aptos,Four Streams Kitchen,four-streams-kitchen,DIRECT,https://www.fourstreamskitchen.com/,""
Aptos,Manuel's Mexican Restaurant,manuel-s-mexican-restaurant,DIRECT,http://www.manuelsrestaurant.com/,""
Aptos,Mentone,mentone,DIRECT,http://www.mentonerestaurant.com/,""
Aptos,Parish Publick House Aptos,parish-publick-house-aptos,DIRECT,http://www.theparishpublick.com/,""
Aptos,Persephone,persephone,DIRECT,http://www.persephonerestaurant.com/,""
Aptos,Pino Alto Restaurant,pino-alto-restaurant,DIRECT,http://pinoaltorestaurant.org/,""
Aptos,Pizza My Heart,pizza-my-heart-rlfbyc,DIRECT,http://www.pizza-1.com/,""
Aptos,Sante Arcangeli Family Wines Aptos Tasting Lounge,sante-arcangeli-family-wines-aptos-tasting-lounge,DIRECT,http://www.santewinery.com/,""
Aptos,Showtime Pizzeria,showtime-pizzeria,DIRECT,http://showtimepizzeria.com/,""
Aptos,Sushi Garden Aptos,sushi-garden-aptos,DIRECT,http://www.sushi-garden.com/,""
Aptos,The Hideout,the-hideout,DIRECT,http://www.thehideoutaptos.com/,""
Aptos,The Mediterranean Bar,the-mediterranean-bar,DIRECT,https://www.themediterraneanbar.com/,""
Aptos,Zameen Mediterranean Cuisine,zameen-mediterranean-cuisine,DIRECT,http://www.zameencuisine.com/,""
Capitola,BrewTopia,brewtopia,DIRECT,https://brewtopia831.com/,""
Capitola,Cocoa Vino,cocoa-vino,DIRECT,https://www.cocoavinocapitola.com/,""
Capitola,Cork and Fork Capitola,cork-and-fork-capitola,DIRECT,http://www.corkandforkcapitola.com/,""
Capitola,East End Gastropub,east-end-gastropub,DIRECT,http://www.eastendgastropub.com/,""
Capitola,El Toro Bravo,el-toro-bravo,DIRECT,http://www.eltorobravocapitola.com/,""
Capitola,Evarista's Comal Restaurant,evarista-s-comal-restaurant,DIRECT,https://evaritascomal.com/,""
Capitola,Fast Eddy's Billiards,fast-eddy-s-billiards,DIRECT,http://fasteddysbilliards.net/,""
Capitola,Miyako Japanese Restaurant,miyako-japanese-restaurant,DIRECT,https://miyakocapitola.com/,""
Capitola,Paradise Beach Grille,paradise-beach-grille,DIRECT,http://paradisebeachgrille.com/,""
Capitola,Pizza My Heart,pizza-my-heart-qe5arw,DIRECT,https://www.pizzamyheart.com/,""
Capitola,Pizza My Heart,pizza-my-heart-dvlp6k,DIRECT,https://www.pizzamyheart.com/,""
Capitola,Pono Hawaiian Kitchen & Tap,pono-hawaiian-kitchen-tap,DIRECT,http://www.ponohawaiiangrill.com/,""
Capitola,Sante Adairius Rustic Ales,sante-adairius-rustic-ales,DIRECT,http://www.rusticales.com/,""
Capitola,Shadowbrook Restaurant,shadowbrook-restaurant,DIRECT,https://www.shadowbrook-capitola.com/,""
Capitola,Taquizas Gabriel LLC,taquizas-gabriel-llc,DIRECT,https://taquizas-gabriel.com/,""
Capitola,Trestles Restaurant,trestles-restaurant,DIRECT,http://www.trestlesrestaurant.com/,""
Capitola,Vin Vivant Wine Bar & Bottle Shop,vin-vivant-wine-bar-bottle-shop,DIRECT,https://www.vinvivantcapitola.com/,""
