name,amenity,cuisine,website,lat,lng,osm_id
84 Viet,restaurant,vietnamese,https://www.84-viet.com,37.8728299,-122.2689226,node/5324276553
Afghan Burrito,restaurant,coffee_shop;mexican;afghan,https://www.tortellinosf.com/,37.864304,-122.290328,node/2131580967
Alborz,restaurant,persian,https://alborzrestaurants.com/berkeley-restaurant/,37.8697594,-122.2660271,node/431015326
Angeline's Louisiana Kitchen,restaurant,louisiana,https://angelineskitchen.com,37.8682414,-122.2675427,node/1680255991
Anja’s,restaurant,salad,https://anjaskitchen.com,37.8716034,-122.271392,node/7807327089
Arinell Pizza,restaurant,pizza,https://www.arinellpizza.net/,37.8709764,-122.2675846,node/2186231182
Bangalore Blues,restaurant,,https://www.instagram.com/pochys_food/,37.8916139,-122.2775645,node/343610922
Barney's,restaurant,burger,https://www.barneyshamburgers.com/barneys-berkeley-solano,37.8912088,-122.284812,node/343610948
Boichik Bagels,restaurant,bagel,https://boichikbagels.com/,37.8807735,-122.301481,node/12150865501
Burma Berkeley,restaurant,burmese,https://www.burmaberkeley.com/,37.8589942,-122.2594876,node/3509545437
Cactus Taqueria,restaurant,mexican,https://www.cactustaqueria.com,37.8915993,-122.2778253,node/343610924
Cafe Tibet,restaurant,tibetan,https://cafetibetberkeley.com/,37.8717592,-122.270175,node/2326547549
Cancún,restaurant,mexican,https://sabormexicano.com/cancun/,37.8694349,-122.2668186,node/2819609607
Cha Ya,restaurant,japanese,https://www.chaya-berkeley.com/,37.8768171,-122.269123,node/314115558
Cheeseboard Pizza,restaurant,pizza,https://cheeseboardcollective.coop/,37.87986,-122.269469,node/314115473
Chinese express,restaurant,chinese,https://www.yelp.com/biz/chinese-express-berkeley,37.8667533,-122.259203,node/8072231016
Cholita Linda,restaurant,mexican;latin_american,https://www.cholitalinda.com/location-berkeley,37.8720196,-122.2679645,node/1140526023
Creekwood,restaurant,italian,https://creekwoodrestaurant.com/,37.8509388,-122.2782411,node/6179979446
Cultured Pickle Shop,restaurant,,https://www.culturedpickleshop.com/,37.8629403,-122.29708,node/6072182685
Da Lian,restaurant,chinese,https://www.dalianrestaurant.com/,37.8770733,-122.269164,node/314115556
Divan,restaurant,turkish,https://www.divanberkeley.com/,37.8700321,-122.3014257,node/7472208124
Dough Zone,restaurant,chinese,https://www.doughzonedumplinghouse.com/,37.8735276,-122.268766,node/13079949480
Dropo Sushi,restaurant,sushi,https://www.instagram.com/droposushi/,37.8714117,-122.2673564,node/13932137754
Dumpling Day,restaurant,asian;chinese,https://www.dumplingday2115.com/,37.8687321,-122.2669185,node/2322519344
El Trompudo,restaurant,mexican,https://www.eltrompudotacos.com/,37.8652235,-122.2590431,node/11506546416
Emilia's Pizzeria,restaurant,pizza,https://emiliaspizzeria.com/,37.8555249,-122.2664023,node/3166978497
Fieldwork Brewing Co.,pub,,https://fieldworkbrewing.com/,37.8812874,-122.3022568,node/4934580890
Gioia Pizzeria,restaurant,pizza,https://www.gioiapizzeria.com/berkeley,37.8817929,-122.281444,node/440605040
Gordo Taqueria,restaurant,mexican,http://gordotaqueria.co/,37.8564074,-122.2528634,node/2557875793
Great China,restaurant,chinese,https://www.greatchinaberkeley.com/,37.8676848,-122.2661355,node/1250656738
Hashtag Poki,restaurant,sushi,https://www.hashtagpoki.com,37.8543525,-122.2597362,node/8066420292
Headland's Brewing,pub,,https://www.headlandsbrewing.com/on-campus-berkeley,37.8687031,-122.2606942,node/308995420
Headlands Brewing Westbrae Beer Garden,biergarten,,https://www.headlandsbrewing.com/berkeley,37.8813392,-122.2903204,way/771876291
Himalayan Bite,restaurant,,https://www.himalayanbitee.com/,37.8668117,-122.2589266,node/8023119986
Hinodeya,restaurant,japanese;ramen,https://hinodeyaramen.com/,37.8684214,-122.2589657,node/7100056547
Homemade Cafe,restaurant,brunch;coffee_shop,https://www.homemade-cafe.com/,37.8622626,-122.281359,node/308447576
Homeroom,restaurant,,https://homeroom510.com/,37.8794098,-122.2976837,node/13645954033
Hopscotch Chicken,restaurant,,https://www.hopscotchchicken.com/,37.8798563,-122.269013,node/314115419
Hornblower,restaurant,,https://www.cityexperiences.com/berkeley/city-cruises/,37.8677125,-122.313853,node/1326065130
House of Three,restaurant,asian,https://www.ho3berkeley.com/,37.8753869,-122.2597029,node/13278456257
Ijo Izakaya,restaurant,japanese,https://www.ijoizakaya.com/,37.8809246,-122.2690658,node/314115403
In The Wood,pub,burger,https://inthewood.biz/,37.8577399,-122.2532748,node/7946005788
Iniburger,restaurant,burger,https://www.iniburger.com/berkeley,37.8702677,-122.2673443,node/354702449
Ippuku,restaurant,japanese;yakitori,https://ippukuberkeley.com/,37.8702988,-122.2671012,node/1419609091
Italian Homemade Company,restaurant,italian,https://italianhomemade.com/delivery/berkeley,37.8581943,-122.2530395,node/6179983848
Kiku Sushi,restaurant,japanese;sushi,https://kikusushivegetarian.com/kikusushi-berkeley,37.8811399,-122.2893345,node/1718651895
Kimchi Garden,restaurant,korean,https://kimchigarden.business.site/,37.8680838,-122.258211,node/6444564501
King Yen,restaurant,chinese,https://www.kingyenrestaurant.com/,37.8562473,-122.252847,node/4175634189
Kura Revolving Sushi Bar,restaurant,sushi,https://kurasushi.com/locations/berkeley-ca,37.8719686,-122.2681879,node/3784994806
La Familia,restaurant,taqueria,https://taquerialafamiliaberkeley.com/,37.8556546,-122.2664027,node/3166978499
La Méditeranée,restaurant,greek;mediterranean,https://cafelamedberkeley.com/,37.8576247,-122.2532658,node/1241204736
La Note,restaurant,french,https://www.lanoterestaurant.com/,37.866207,-122.267273,node/540535763
Las Cabanas,restaurant,mexican,https://lascabanasgrill.com/,37.8728773,-122.2733345,node/778894118
Le Pho,restaurant,,https://www.lephorestaurant.com/,37.8610169,-122.2893052,node/6743278839
Lemat,restaurant,ethiopian,https://www.lemateats.com/,37.8502912,-122.2713066,way/317092789
Little Gem Belgian Waffles,restaurant,waffle,http://www.littlegemwaffles.com/,37.8656165,-122.2586933,node/6448583485
Long Life Vegi House,restaurant,chinese,https://www.longlifevegihouse.com/,37.8712823,-122.276673,node/6654037890
Los Cilantros,restaurant,mexican,http://loscilantrossf.com,37.8528896,-122.2660257,node/3199600526
Lucia’s Pizzeria,restaurant,pizza,https://www.luciasberkeley.com/,37.871661,-122.268518,node/540609042
Manpuku,restaurant,sushi,https://manpukuorder.com,37.8566263,-122.2528847,node/7926250588
Middle East Café,restaurant,persian,https://www.middleeastmarket.com/cafe,37.8682236,-122.2920806,node/9669227539
MintLeaf,restaurant,vietnamese,https://mintleafvr.com/,37.8532822,-122.291639,node/1692719932
Mitama,restaurant,japanese;sushi,http://www.mitamasushi.com/,37.8511782,-122.2523098,node/623752524
Mountain Mike's,restaurant,pizza,https://www.mountainmikespizza.com/locations/berkeley-san-pablo/,37.8749191,-122.2942927,node/435049641
Nikko Sushi,restaurant,japanese;sushi,http://www.nikkoberkeley.com,37.865935,-122.267327,node/2379688396
Organic Greens,restaurant,salad;sandwich;breakfast,http://www.organicgreensalad.com/,37.8912462,-122.2840802,node/343610943
Party Sushi,restaurant,sushi,https://partysushisf.com/,37.8752578,-122.2689411,node/314115617
Pho k&k,restaurant,vietnamese,https://www.facebook.com/pages/Pho-K-K/114037361961083,37.8644085,-122.258356,node/7926243229
Phở le,restaurant,vietnamese,https://www.pholeberkeley.com/,37.8804191,-122.295583,node/8899624213
Phosho Dough,restaurant,vietnamese,https://phoshodough.square.site,37.8810568,-122.2957743,node/2329583703
Pizzeria Da Laura,restaurant,pizza,https://www.pizzeriadalaura.com/,37.8713192,-122.2680936,node/10769891609
Platano,restaurant,salvadoran,https://www.cafeplatano.com/,37.8718164,-122.2697291,node/2326547409
Pollo's,restaurant,american,http://orderoriginalpollo.com/,37.8711067,-122.2680572,node/540608998
Razan Organic Kitchen,restaurant,mediterranean,https://www.razansorganickitchen.com/,37.8687389,-122.2668527,node/540995436
Red Tomato Pizza House,restaurant,pizza,https://redtomatoberkeley.com/,37.8720963,-122.2701306,node/2263422860
Rojbas Grill,restaurant,kurdish;mediterranean,http://www.rojbasgrill.com/,37.8717557,-122.2728651,node/3553118722
Rose Pizzeria,restaurant,pizza,https://www.rosepizzeria.com/,37.8715901,-122.2714953,node/2247184686
Roses on Adeline,bar,,https://www.rosesonadeline.com/,37.8502102,-122.271291,node/12110803269
Sandwich Zone,restaurant,sandwich,https://ordersandwichzone.com/,37.8710195,-122.2675369,node/1723313107
Saul's Deli,restaurant,jewish,http://www.saulsdeli.com/,37.8806944,-122.269035,node/314115398
Sconehenge,restaurant,american,https://www.sconehengeberkeley.com/,37.8587029,-122.2666984,node/1564797227
Sidewalk Street Food,restaurant,vietnamese,https://sidewalkstreetfood.com/,37.8586001,-122.2442504,node/13113410029
Sizzling Lunch,restaurant,japanese,https://www.sizzlinglunch.com/,37.8724692,-122.2682248,node/11359640472
Sobo Ramen,restaurant,ramen,https://www.soboramen.com/soboramenberkeley.html,37.8716426,-122.2709079,node/12550873893
Sol Taqueria,restaurant,american;mexican,https://www.nuevosolberkeley.com/,37.8795538,-122.295247,node/11884655669
Spoon Korean Bistro,restaurant,korean,https://www.spoonashby.com/,37.8516165,-122.289905,node/6668069469
State Flour Pizza Company,restaurant,pizza,https://stateflourpizza.com/,37.8564444,-122.2528699,node/12588823005
Super pho,restaurant,vietnamese,https://www.yelp.com/biz/super-super-restaurant-berkeley,37.8776371,-122.295171,node/7900877828
Sushi Secrets,restaurant,sushi,https://order.online/store/sushi-secrets-berkeley-732243/,37.8708242,-122.2684597,node/2350137845
Sushinista,restaurant,sushi,https://sushinista.net,37.8677927,-122.2701529,way/43160294
Talavera Mexican Grill,restaurant,mexican,https://www.doordash.com/store/taqueria-talavera-berkeley-37527,37.8911811,-122.285408,node/343610951
Tane Vegan Izakaya,restaurant,japanese,https://taneveganizakayaca.com,37.8728113,-122.2686736,node/3075614341
Taqueria Montecristo,restaurant,mexican,https://www.montecristotaqueria.com/,37.8700443,-122.2832454,node/828420917
The Bootstrapper,restaurant,burger;chicken;sandwich;pizza;barbecue,https://m.facebook.com/TheBootstrapper/,37.8562886,-122.2798921,node/7863174321
The BreakRoom,bar,,https://www.breakroomberkeley.com/,37.8717624,-122.268161,node/5791412962
The Butcher's Son,restaurant,sandwich,https://www.thebutchersveganson.com/,37.8715749,-122.2716142,node/2247181637
The Hidden Café,restaurant,coffee_shop;tea,https://www.thehiddencafe.life/,37.868315,-122.2867924,node/354645983
The Starry Plough,pub,,https://www.thestarryplough.com/,37.8530119,-122.2660849,node/2336118596
Three Stone Hearth,restaurant,,https://threestonehearth.com/,37.8707499,-122.2806804,node/3383974692
Toss Noodle Bar,restaurant,asian;noodle,https://tossnoodlebar.com,37.868057,-122.268154,node/2322525666
Tsuruya,restaurant,ramen,https://www.instagram.com/tsuruyaramen_berkeley/,37.873344,-122.268739,node/2281419391
Vault Cafe,restaurant,american;breakfast,https://www.vaultcafes.com/,37.8495643,-122.2714701,node/4201061920
Via del Corso,restaurant,italian,https://www.viadelcorso.net/,37.8750513,-122.2689164,node/314115623
Wiki Wiki Hawaiian BBQ,restaurant,asian;barbecue,https://wikiwiki-hawaiian-bbq.business.site/,37.8654693,-122.2672237,node/5029409989
Yin Ji Chang Fen,restaurant,chinese,https://www.yinjichangfenusa.com/,37.8706743,-122.2684388,node/12035126939
Ali baba,restaurant,,,37.8758284,-122.2601289,node/12113186927
Aliberto's Jr. Mexican Food,restaurant,taqueria,,37.8567527,-122.25994,node/7926192170
Azure Hotpot,restaurant,,,37.8763927,-122.269062,node/314115581
Bansho Ramen,restaurant,ramen,,37.864906,-122.258797,node/10179041977
Bears Ramen House,restaurant,ramen,,37.8682548,-122.258043,node/9574578736
Berkeley Yacht Club Bar,bar,,,37.8662128,-122.3176698,node/12994531935
Cafe Durant,restaurant,mexican,,37.8681342,-122.2582963,node/4218262212
Cafe M,restaurant,,,37.8705211,-122.2998585,node/2475991057
Califas Green,restaurant,mexican,,37.8689895,-122.2916678,node/8143812459
Casa Latina,restaurant,mexican,,37.8714827,-122.29272,node/2894577901
Chen's Garden,restaurant,chinese,,37.8487272,-122.2707195,node/12798623813
Cream,restaurant,ice_cream,,37.8670441,-122.2586764,node/1419597327
Crossroads,restaurant,,,37.8670418,-122.2563567,node/366352407
Dessert Cafe,restaurant,dessert;korean;donut,,37.8557672,-122.2664473,node/10876095871
Foccaceria,restaurant,pizza,,37.8510598,-122.2526359,node/12579408074
Free House,pub,,,37.8690348,-122.2543226,way/270523632
Fresh roll,restaurant,,,37.8680732,-122.2591712,node/8023119034
Gallego's,restaurant,mexican,,37.8661636,-122.2914519,node/9785959018
Himalayan Flavors,restaurant,,,37.8708414,-122.2805343,node/9704419285
Hoi Polloi,bar,,,37.8487638,-122.2721554,node/3143039763
Impression of Lanzhou,restaurant,noodle;chinese,,37.8751784,-122.260309,node/2195112047
Kamado Sushi,restaurant,japanese;sushi,,37.8816382,-122.2696704,node/3194482961
Kaokao Grill,restaurant,,,37.8563387,-122.2528599,node/12639863206
KoStop,restaurant,korean,,37.8678213,-122.2599014,node/9572013610
Momo House,restaurant,nepalese,,37.8684511,-122.2602258,node/12844565226
Nash Cafe,restaurant,,,37.8721757,-122.2694872,node/13937146802
Noody,restaurant,noodle,,37.8679631,-122.2598991,node/9572013608
O₂ Eatery,restaurant,brunch,,37.8911213,-122.281021,node/9892676228
Oori Rice Triangles,restaurant,onigiri,,37.8698541,-122.267671,node/3191146339
Organic Greens,restaurant,salad;sandwich;juice,,37.8578561,-122.253006,node/7948223143
Peace Natural Vegan Food,restaurant,,,37.8912136,-122.284737,node/343610947
Pho Tasty,restaurant,vietnamese,,37.870748,-122.270463,node/831726074
Pizza My Heart,restaurant,pizza,,37.8707834,-122.2515301,node/9347384613
Saigon Express,restaurant,vietnamese,,37.871379,-122.267537,node/2100543486
Sun Sun Sushi Shop,restaurant,japanese;sushi,,37.871107,-122.272781,node/1762442382
The Faculty Club,restaurant,,,37.8718606,-122.255922,node/1421339345
The Station,restaurant,burger,,37.8588105,-122.245052,node/444644319
Tip-Sea,bar,burger;wings,,37.8670956,-122.2674325,node/2379687561
Toust,restaurant,korean,,37.868181,-122.259794,node/1804658584
University Taqueria,restaurant,mexican,,37.8721044,-122.2700675,node/2437969084
West coast pizza,restaurant,pizza,,37.8708136,-122.2771732,node/7914204207
Yeti Sports Bar and Restaurant,bar,,,37.848843,-122.2717542,node/308813308
Zhangliang Malatang,restaurant,chinese;malatang,,37.8686607,-122.267589,node/540994882
