city,action,venue,primary_type,reviews,website,reason
"san-francisco",delete,"St. Francis Fountain",diner,890,"","no alcohol signal + no site"
"san-francisco",delete,"Cafe Mystique",mediterranean_restaurant,767,"","no alcohol signal + no site"
"san-francisco",delete,"Fireside",american_restaurant,470,"","no alcohol signal + no site"
"san-francisco",hide,"Tony's Pizza Napoletana",pizza_restaurant,10345,"http://tonyspizzanapoletana.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Fog Harbor Fish House",seafood_restaurant,10212,"https://fogharbor.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pier Market Seafood Restaurant",seafood_restaurant,8628,"https://www.piermarket.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Bubba Gump Shrimp Co.",seafood_restaurant,8385,"https://www.bubbagump.com/location/bubba-gump-san-francisco-ca/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"House of Prime Rib",british_restaurant,7341,"http://houseofprimerib.net/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Franciscan Crab Restaurant",seafood_restaurant,5332,"https://www.franciscanrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"North Beach Gyros",mediterranean_restaurant,5193,"https://www.northbeachgyro.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Cheesecake Factory",american_restaurant,4674,"https://locations.thecheesecakefactory.com/ca/san-francisco-34.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Stinking Rose",italian_restaurant,4623,"https://thestinkingrose.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Sweet Maple",brunch_restaurant,4567,"https://www.sweetmaplesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Mel's Drive-In",american_restaurant,4227,"http://www.melsdrive-in.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"4505 Burgers & BBQ",barbecue_restaurant,3558,"http://www.4505burgersandbbq.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Italian Homemade Company",italian_restaurant,3336,"http://www.italianhomemadecompany.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"HINODEYA Ramen Japantown",ramen_restaurant,3264,"https://hinodeyaramen.com/hinodeyaramenjapantown?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Shizen",vegan_restaurant,3251,"https://www.shizensf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Nopa",american_restaurant,3044,"http://www.nopasf.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hook Fish Co",seafood_restaurant,2767,"http://hookfishco.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Tad's Steakhouse",restaurant,2620,"https://www.tadssf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Il Casaro Pizzeria",italian_restaurant,2507,"https://www.ilcasaropizzeria.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Orphan Andy's Restaurant",diner,2490,"https://orphanandys.site/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Mona Lisa Restaurant & Bar",italian_restaurant,2407,"https://monalisasf.com/?y_source=1_MjgxODg1NDAtNzE1LWxvY2F0aW9uLndlYnNpdGU=","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Piccolo Forno",italian_restaurant,2279,"https://piccolo-forno-sf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Burma Love",asian_restaurant,2257,"https://www.burmalove.co/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Garaje",mexican_restaurant,2248,"https://www.garaje475.co/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Cotogna",italian_restaurant,2218,"http://cotognasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hillstone",american_restaurant,2205,"https://hillstonerestaurant.com/locations/sanfrancisco/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Roxanne Cafe",american_restaurant,2033,"http://www.roxannecafesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Greens Restaurant",vegetarian_restaurant,2026,"http://greensrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Nopalito",mexican_restaurant,2026,"http://www.nopalitosf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Suppenküche",german_restaurant,1976,"http://www.suppenkuche.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Charmaine’s",restaurant,1941,"https://www.properhotel.com/san-francisco/restaurants-bars/charmaines/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Lapisara Eatery",brunch_restaurant,1937,"http://www.lapisaraeatery.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Loló",mexican_restaurant,1909,"http://lolosf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Italian Homemade Company",italian_restaurant,1743,"http://www.italianhomemadecompany.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Swiss Louis Italian & Seafood Restaurant",seafood_restaurant,1706,"http://www.swisslouis.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Capurro's Restaurant",seafood_restaurant,1677,"http://www.capurros.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Blue Mermaid",restaurant,1668,"https://www.argonauthotel.com/fishermans-wharf-seafood-restaurants/?utm_source=gmb-restaurant&utm_medium=organic&utm_campaign=gmb","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"SanJalisco Mexican Restaurant",mexican_restaurant,1636,"http://sanjaliscorestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Delancey Street Restaurant",american_restaurant,1608,"http://www.delanceystreetfoundation.org/enterrestaurant.php","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Ramen Yamadaya",japanese_restaurant,1578,"https://www.ramen-yamadaya.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Eagle Cafe",restaurant,1505,"https://eaglecafe.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Woodhouse Fish Co.",seafood_restaurant,1504,"http://woodhousefish.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hard Knox Cafe",soul_food_restaurant,1471,"http://www.hardknoxcafe.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Blackwood",brunch_restaurant,1452,"http://blackwoodsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Roka Akor - San Francisco",steak_house,1427,"https://rokaakor.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Piccino",italian_restaurant,1392,"http://www.piccino.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"YakiniQ Korean BBQ",korean_barbecue_restaurant,1353,"http://www.yakiniqsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Little Skillet",soul_food_restaurant,1341,"https://www.littleskilletsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Trestle Restaurant",american_restaurant,1341,"http://trestlesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Souvla",greek_restaurant,1269,"https://www.souvla.com/location/nopa/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Betty Lou's Seafood & Grill",seafood_restaurant,1253,"https://bettylousseafoodandgrill.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Flores San Francisco",restaurant,1241,"https://floressf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzeria Delfina - Mission",pizza_restaurant,1236,"https://www.pizzeriadelfina.com/location/mission-district/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Acquolina",italian_restaurant,1217,"https://acquolina.us/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Za Pizza",pizza_restaurant,1204,"http://zapizzasf.com/","restaurant w/ working site (alcohol-only policy)"
