reason,name,primary_type,address,website
out-of-area,"2546 Cafe","chinese_restaurant","2546 San Bruno Ave, San Francisco, CA 94134, USA",
out-of-area,"AC Lounge","lounge_bar","1333 Veterans Blvd, South San Francisco, CA 94080, USA","https://www.marriott.com/hotels/hotel-information/restaurant/sfoya-ac-hotel-san-francisco-airport-oyster-point-waterfront/"
out-of-area,"After Hours Ramen","ramen_restaurant","3044 Taraval St, San Francisco, CA 94116, USA","http://www.afterhoursramen.com/"
out-of-area,"American Relations","vietnamese_restaurant","103 Fir Ave, South San Francisco, CA 94080, USA","https://www.americanrelations.uk/"
out-of-area,"Amoura","restaurant","713 Linden Ave, South San Francisco, CA 94080, USA","http://www.amourasf.com/"
out-of-area,"B&J Burgers","american_restaurant","6202 3rd St, San Francisco, CA 94124, USA","https://www.bandjburgers.com/"
out-of-area,"Baby's Eatery & Palabok","filipino_restaurant","4609 Mission St, San Francisco, CA 94112, USA",
out-of-area,"Banh Mi & Rolls","vietnamese_restaurant","2646 San Bruno Ave, San Francisco, CA 94134, USA","https://www.banhmiandrollsfactory.com/Home"
out-of-area,"Basque Cultural Center","basque_restaurant","599 Railroad Ave, South San Francisco, CA 94080, USA","http://www.basqueculturalcenter.com/"
out-of-area,"BayArea Homemade","filipino_restaurant","621 Hillside Blvd, South San Francisco, CA 94080, USA","https://www.facebook.com/BayAreaRuby"
out-of-area,"BeauTea","tea_house","375 Grand Ave, South San Francisco, CA 94080, USA","http://beauteassfca.com/"
out-of-area,"Beijing Restaurant","chinese_restaurant","1801 Alemany Blvd, San Francisco, CA 94112, USA","https://www.beijingfoodsf.com/"
out-of-area,"Ben Tre Restaurant","vietnamese_restaurant","398 Grand Ave, South San Francisco, CA 94080, USA","http://www.bentrerestaurant.com/"
out-of-area,"Bluegrain Sandwich Market","restaurant","101 Oyster Point Blvd #105, South San Francisco, CA 94080, USA","https://www.bluegrainsandwich.com/"
out-of-area,"Boracay Garden & Grill","filipino_restaurant","269 El Camino Real, South San Francisco, CA 94080, USA","https://www.boracayrestaurant.com/"
out-of-area,"Bottoms Up Bar & Lounge","bar","4704 Mission St, San Francisco, CA 94112, USA","http://bottomsupsf.com/"
out-of-area,"Brisbane Lunch Truck","american_restaurant","3501 Bayshore Blvd, Brisbane, CA 94005, USA","https://www.brisbanelunchtruck.com/"
