tag,matched,name,url,snippet,notes
real?,happy hour,Blue Line Pizza,https://bluelinepizza.com/about-us/,"iendly, outdoor patios, hang out during happy hour and watch the game or let us cater your next event, we&#8217;re open every day",
weak:op-hours-or-nav,special,Al Fin Restaurant,http://alfinrestaurant.online/happy-hour,Fin Restaurant transform your special occasion into an authentic Latin American celebration. Our pas,
weak:op-hours-or-nav,special,Banana Island,https://www.bananaislandrestaurant.us/,ith steamed chicken and chefs special soy sauce SIZZLING BEEF Stirfried sliced beef with green peppe,
weak:op-hours-or-nav,Special,Bolare Trattoria & Pizzeria,https://www.bolaretrattoriapizzeria.com/tc73cv5e/bolare-trattoria-and-pizzeria-pacifica-94044/order-online#menu-section,asti Soup & Salad Daya&#x27;s Special Entrees Pasta Pizza Desserts Sodas Antipasti 🤩 POPULAR Polpet,
weak:op-hours-or-nav,specials,California Fish Grill,https://www.cafishgrill.com/,the Omega-3’s. Order Explore specials Sustainable Protein Bowls Everything Protein Bowl Cajun shrim,
weak:op-hours-or-nav,daily,Celia's,http://www.celiasrestaurants.com/,our secret mix is made fresh daily. Locations Antioch Daly City Menlo Park Palo Alto San Bruno San,
weak:op-hours-or-nav,8am-6pm,Creative Ideas Cafe,https://creativeideascateringcafe.com/,5 CAFE HOURS THIS WEEKEND Fri 8am-6pm Sat 8:30am-3pm Sunday - Closed POP-UP ON 4/25 & 4/26 11AM-4:00,
weak:op-hours-or-nav,Special,House Of Fusion,https://houseoffusion.kwickmenu.com/,".00 "">Roll & Maki Sushi Lunch Special California Roll Lunch Specials Combo $16.00 California Roll an",
weak:op-hours-or-nav,Special,Kings West Coast Pizzeria,https://slicelife.com/restaurants/ny/brooklyn/11217/luv-n-oven-pizza/menu,ategory Pizza Deep Dish Pizza Specialty Pizza Pizzeta Appetizers & Sides Salads Calzones & Rolls Gri,
weak:op-hours-or-nav,Special,Majikku Ramen,https://majikkuramen.net/menu,uce 106. Teba-Fry 14.25 House Special deep fried chicken wings 107. Salmon head 17.95 Grilled salmon,
weak:op-hours-or-nav,Specials,Outback Steakhouse,https://locations.outback.com/california/daly-city/371-gellert-blvd.?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDI2MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,w Menu Order Now Gift Cards . Specials Bar Catering Rewards About Contact Careers Press Internationa,
weak:op-hours-or-nav,daily,Seapot Daly City,https://www.seapotusa.com/daly-city-ca,storage.com/services/bookings-daily-agenda-widget/1.640.0/DailyAgendaViewerWidget.bundle.min.js · ME,
weak:op-hours-or-nav,Specials,Tom San Ramen,http://www.tomsanramendalycity.com/?utm_source=gmb&utm_medium=website,"viewMode"":""carousel"",""title"":""Specials & Coupons"",""entityId"":55344,""discounts"":""$2b:props:children:p",
