city,tag,dup,matched,name,host,url,snippet,notes
tacoma,real?,DUP,HAPPY HOUR,Airport Bar & Grill,airporttavern.com,https://airporttavern.com/,"Services Groups, Walk-ins, Reservations HAPPY HOUR EVERY DAY 4PM &#8211; 6PM, EXCEPT MONDAYS Contact Email General Inquiries &#821",
tacoma,real?,DUP,HAPPY HOUR,Airport Tavern Music Hall,airporttavern.com,https://www.airporttavern.com/,"Services Groups, Walk-ins, Reservations HAPPY HOUR EVERY DAY 4PM &#8211; 6PM, EXCEPT MONDAYS Contact Email General Inquiries &#821",
tacoma,real?,,Happy Hour,Urban Elk Bar & Restaurant,allenmoregolfcourse.com,https://allenmoregolfcourse.com/restaurant/,ace for groups from 10 to 250. Join us: Happy Hour &#8211; Monday = All Day! & Tuesday thru Friday = 3pm &#8211; 6pm Taco Tuesday,
tucson,real?,,happy hour,Argenziano's,argenzianos.shop,https://argenzianos.shop/,"e with a full bar, outdoor seating, and happy hour specials. Standout dishes include the lasagna, seafood soup, and ravioli, all s",
oakland,real?,,happy hour,Perle Bar,barperle.com,https://barperle.com/drinks,"""closed for lunch 5.6, open at 3:00 for happy hour..."",""fontFamily"":""Effra""}]}]} · Menu featuring a variety of beverages at Perle",
san-luis-obispo,real?,,Social Hour,Benny’s Pizza Palace and Social Club,bennysppsc.com,http://www.bennysppsc.com/,ral coast. Can't wait for the Social Hour to open so I don't have to order like a Millennial. Tess S,
tacoma,real?,,happy-hour,BIGFOOT PIZZA & BAR,bigfootpizzaandbar.com,https://www.bigfootpizzaandbar.com/menu/happy-hour,"https://www.bigfootpizzaandbar.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
daly-city,real?,,happy hour,Blue Line Pizza,bluelinepizza.com,https://bluelinepizza.com/about-us/,"iendly, outdoor patios, hang out during happy hour and watch the game or let us cater your next event, we&#8217;re open every day",
tucson,real?,,Happy hour,Casa Del Rio,cdrtucson.com,http://cdrtucson.com/,draft beers and everything in between. Happy hour pricing available! Dinner } Print/Download Botanas Recommended for 2 or more Na,
tucson,real?,,Happy Hour,Center Court Bar & Grill,centercourtbarandgrill.com,https://www.centercourtbarandgrill.com/,s · /menus#menu=lunch · View Our Menu · Happy Hour · /center-court-menu#menu=happy-hour · Kids Menu · /center-court-menu#menu=kids,
scottsdale,real?,,Happy Hour,Chef J Dim Sum & Chinese Bistro,chefjscottsdale.com,https://www.chefjscottsdale.com/,"h Shea Blvd Area with Full Bar. We have Happy Hour. We serve Dine-in, Take-out and Catering & Delivery. Follow Follow Follow Learn",
scottsdale,real?,DUP,Happy Hour,Clancy's Jack Room,clancyspubscottsdale.com,https://www.clancyspubscottsdale.com/menu,re Menu Food Breakfast Menu Drinks Menu Happy Hour Late Night Food Become a VIP Be the first to receive updates on exclusive event,
scottsdale,real?,DUP,Happy Hour,Clancy's Pub - Scottsdale,clancyspubscottsdale.com,https://www.clancyspubscottsdale.com/,"ndow Daily Specials · /daily-specials · Happy Hour Menu · /happy-hour-menu · Clancy's Pub in Scottsdale, AZ. Clancy's Pub Pizza &",
tucson,real?,,Happy Hours,Dave & Buster's Tucson,daveandbusters.com,https://www.daveandbusters.com/us/en/about/locations/tucson,ng rights that last a lifetime. SIGN UP Happy Hours WORK HARD. PLAY HARD. HAPPY HOUR HARDER. $5 HAPPY HOUR. Add a refreshing twist,
tucson,real?,,Happy HOur,El Cisne Restaurant,elcisnerestaurant.com,https://elcisnerestaurant.com/menu/,"rs Light San Tan Hefeweisen Dragoon IPA Happy HOur Menu: Bar Only Drinks Cisne Margarita Corazon Blue agave, triple sec, fresh squ",
phoenix-central,real?,,happy-hour,Ezbachi Japanese Grill,ezbachi.com,https://www.ezbachi.com/menu/happy-hour,"om of page https://www.ezbachi.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
tucson,real?,,happy hour,Frog & Firkin,frogandfirkin.com,http://www.frogandfirkin.com/,always recommend Frog for lunch dinner happy hour and parties!! The deep dish pizza and frog bites are my top two!! Support local,
