tag,matched,name,url,snippet,notes
weak:op-hours-or-nav,daily,AJ Spurs Saloon & Dining Hall,http://www.ajspurs.com/,storage.com/services/bookings-daily-agenda-widget/1.640.0/DailyAgendaViewerWidget.bundle.min.js · ./,
weak:op-hours-or-nav,special,Brad's Restaurant,http://bradsofpismo.com/,"n Brad's menu, which includes special pricing for seniors and kids. The award-winning Clam Chowder,",
weak:op-hours-or-nav,special,Brix Wine Bar & Bottle Shop,https://brixshellbeach.com/,"re, craft, and connection. We specialize in curating local, small-production wines that celebrate th",
weak:op-hours-or-nav,daily,Cracked Crab,https://www.crackedcrab.com/menu/,"ed and posted on the internet daily, depending on what is available. We buy only the finest seafood",
weak:op-hours-or-nav,4pm - 9pm,Del's Pizzeria,http://delspizzeria.com/,zzeria 805-773-4438 Hours Mon 4pm - 9pm Tue 4pm - 9pm Wed 4pm - 9pm Thu 4pm - 9pm Fri 4pm - 10pm Sat,
weak:op-hours-or-nav,special,Ember Restaurant,http://www.emberwoodfire.com/,"ere for a laid-back meal or a special occasion, our menu is designed to satisfy and comfort. Each pl",
weak:op-hours-or-nav,7am - 3pm,Francisco's Country Kitchen,https://www.franciscoscountrykitchen.com/,with Squarespace Order Online 7am - 3pm · Sun>=1 · Sun>=8,
weak:op-hours-or-nav,1pm-2am,Harry's Night Club & Beach Bar,http://www.harryspismobeach.com/,dnesday 6pm-midnight Thursday 1pm-2am Friday 1pm-2am Saturday 12pm-2am Sunday 12pm-midnight Monday C,
weak:op-hours-or-nav,daily,Jalapenos Mexican Restaurant,https://www.wegodelivers.com/restaurant/jalapenosgroverbeach,Us Download Our App! and get daily specials! My Account Profile Addresses Credit Cards Order Histor,
weak:op-hours-or-nav,Special,Kanpai Sushi,http://kanpaibythesea.com/,carte Combo Sushi and Sashimi Special Rolls Basic Rolls Dessert Kanpai! Order Now Reserve About Get,
weak:op-hours-or-nav,Special,Klondike Pizza,https://klondikepizza.com/,for Klondike Pizza? October’s Special of the Month: Maui Wowie Pizza · Sun>=1 · Sun>=8,
weak:op-hours-or-nav,Special,LA COSTA GRILL,https://lacostagrillca.com/la-costa-grill/menu/168-Station-Way/,"lled tilapia. + Add to Order Especialidades De La Costa 11 Served with rice, beans & tortillas. Chic",
weak:op-hours-or-nav,9AM - 3PM,Luca's Deli & Wine,https://www.lucasdeliandwine.com/,"26 Winter Hours: MON - THURS: 9AM - 3PM FRI, SAT, SUN : 9AM - 8PM CLOSED TUESDAY 134 W Branch St, Ar",
weak:op-hours-or-nav,SPECIAL,Mei's | Chinese Restaurant,https://www.meischineserestaurants.com/menus,nu items. Call Us CHEF&#x27;S SPECIAL APPETIZERS SOUP CHICKEN HEALTHY SELECTIONS SEAFOOD BEEF PORK V,
weak:op-hours-or-nav,special,Monarch Grove Winery Tasting Room,https://monarchgrovewinery.com/pages/about-us,"t of what makes this place so special, and part of what inspires the name Monarch Grove Winery. Our",
weak:op-hours-or-nav,11am - 9pm,Old Village Grill,http://oldvillagegrill.biz/,Thurs 11am - 8:30pm Fri - Sat 11am - 9pm Order Delivery Contact us for Fundraising Events Click Here,
weak:op-hours-or-nav,5PM-9PM,Oyster Loft,https://oysterloft.com/,y & Tuesday Wednesday-Sunday: 5PM-9PM View Menu Who’s joining you at the bar tonight? Featuring mu M,
weak:op-hours-or-nav,special,Palo Mesa Pizza II,https://www.palomesapizza.com/,"clusive events, secret menus, special offers/discounts, loyalty rewards & more! · $500 · Menu:155058",
weak:op-hours-or-nav,7 am - 2 pm,Perfetto Caffe,http://www.8575perfettocaffe.com/,93433 (805) 994 7112 Tue-Sun: 7 am - 2 pm Mon: closed Privacy & Cookies: This site uses cookies. By,
weak:op-hours-or-nav,11am-5pm,Sans Liege Wines,http://sansliege.com/,", Paso Robles Open Thurs-Tues 11am-5pm Closed Wednesdays PISMO BEACH 870 Price St, Pismo Beach Open",
weak:op-hours-or-nav,Special,Sidewalk Café,http://sidewalkcafeag.smartonlineorder.com/,- Privacy - Accessibility Add Special Instructions · Update Your Special Instructions · Special inst,
weak:op-hours-or-nav,11 AM - 8 PM,SUSHI KOKKU & Ramen,http://www.sushikokkuslo.com/,805-782-9321 Hours Mon - Sat: 11 AM - 8 PM Sun: 11 AM - 7 PM View Location on Google Maps Address 58,
weak:op-hours-or-nav,special,Tastes of the Valleys,http://pismowineshop.com/,der. · Never miss an event or special offer. · Wine Club · /shop/wine-club/CK5CTS22RL3TLD6OPOLTIA3T,
weak:op-hours-or-nav,special,The Break,http://thebreakpb.com/,"r your team and check out our special events. Ice cold, locally brewed beer & wine Feel like a cold",
weak:op-hours-or-nav,daily,Vista Steak and Seafood,https://www.vistapismobeach.com/,. Vista sources fresh seafood daily in order to provide the highest quality product to their custome,
weak:op-hours-or-nav,special,Yanagi Sushi & Grill,https://www.yanagisushingrill.com/,that is equally perfect for a special celebration or a mid-week craving. ONLINE ORDERING AVAILABLE O,
exclude-by-rule,4 - 10 p.m.,Puffer's of Pismo,https://www.puffersofpismo.com/,"event info HOURS Wed., Thurs. 4 - 10 p.m. Fri & Sat: 4 p.m. - Midnight Sun: 4 - 9 p.m. Private Parti",
