action,venue,primary_type,website,reason
hide,"900 Grayson",restaurant,"http://www.900grayson.com/","parked/placeholder/empty site"
hide,"Juan's Place",mexican_restaurant,"https://www.ubereats.com/store/juans-place/P7ldpTloQrmx2hwdZzwucw","parked/placeholder/empty site"
hide,"Lao Thai Kitchen",restaurant,"https://laothaikitchen.com/","parked/placeholder/empty site"
hide,"Sakana Sushi & Roll",sushi_restaurant,"http://ordersakana.com/","parked/placeholder/empty site"
keep,"5 Tacos and Beers Berkeley",mexican_restaurant,"http://www.5tacos.com/","alcohol-positive type/name"
keep,"AKEMI",sushi_restaurant,"http://www.akemiberkeley.com/","live site — crowdsource stub"
keep,"Artichoke Basille's Pizza",pizza_restaurant,"http://www.artichokepizza.com/","live site — crowdsource stub"
keep,"Barney's Gourmet Hamburgers",hamburger_restaurant,"http://www.barneyshamburgers.com/","live site — crowdsource stub"
keep,"Bowl'd Korean Rice Bar",korean_restaurant,"http://www.bowldbbq.com/albany","live site — crowdsource stub"
keep,"Café Bolita",mexican_restaurant,"http://cafebolita.com/","alcohol-positive type/name"
keep,"Cheese Board Collective Pizzeria",pizza_restaurant,"http://cheeseboardcollective.coop/","live site — crowdsource stub"
keep,"Chengdu Style Restaurant",chinese_restaurant,"https://chengdustylerestaurant.com/","live site — crowdsource stub"
keep,"Chez Panisse",californian_restaurant,"http://www.chezpanisse.com/","live site — crowdsource stub"
keep,"China Village",chinese_restaurant,"https://chinavillagecatogo.com/","live site — crowdsource stub"
keep,"Covenant Wines",winery,"https://www.covenantwines.com/","alcohol-positive type/name"
keep,"Crepevine",restaurant,"https://crepevine.com/?y_source=1_MTQ3MjMwNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","live site — crowdsource stub"
keep,"Cugini",italian_restaurant,"http://www.cuginirestaurant.com/","live site — crowdsource stub"
keep,"Dumpling Time",dumpling_restaurant,"https://www.dumplingtime.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Farmhouse Kitchen Thai Cuisine",restaurant,"https://farmhousethai.com/farmhouseberkeley?utm_source=google","alcohol-positive type/name"
keep,"Fish & Bird Sousaku Izakaya",japanese_restaurant,"http://fishbirdizakaya.com/","alcohol-positive type/name"
keep,"Gilman Brewing Company",brewery,"http://gilmanbrew.com/","alcohol-positive type/name"
keep,"Gordo Taquería",burrito_restaurant,"http://gordotaqueria.co/","live site — crowdsource stub"
keep,"Great Notion Brewing - Berkeley",brewery,"http://greatnotion.com/","alcohol-positive type/name"
keep,"Hammerling Wines",winery,"http://hammerlingwines.co/","alcohol-positive type/name"
keep,"Henry's Bar & Restaurant",restaurant,"https://www.hilton.com/en/hotels/oakgbgu-graduate-berkeley/dining/?y_source=1_MTA2Njc4ODcxMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","alcohol-positive type/name"
keep,"Inn Kensington Restaurant",american_restaurant,"http://www.innkensington.com/","live site — crowdsource stub"
keep,"Itani Sushi - Berkeley",japanese_restaurant,"https://itanisushi.com/","live site — crowdsource stub"
keep,"Iyasare",japanese_restaurant,"http://www.iyasare-berkeley.com/","alcohol-positive type/name"
keep,"Jupiter",pizza_restaurant,"http://jupiterbeer.com/","alcohol-positive type/name"
keep,"KamadoSushi (Omakase)",sushi_restaurant,"https://www.toasttab.com/kamado-sushi","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Kathmandu Restaurant",restaurant,"https://kathmandurestaurantca.com/","live site — crowdsource stub"
keep,"Kensington Circus Pub",pub,"http://kensingtoncircuspub.com/","alcohol-positive type/name"
keep,"Korean Superette",korean_restaurant,"http://korean-superette.com/","live site — crowdsource stub"
keep,"Lama Beans",restaurant,"https://lamabeanstogo.com/","alcohol-positive type/name"
keep,"La Mediterranee",mediterranean_restaurant,"http://cafelamedberkeley.com/","live site — crowdsource stub"
keep,"La Mission",mexican_restaurant,"https://la-mission.shop/","live site — crowdsource stub"
keep,"Lo Coco's",italian_restaurant,"http://lococosinberkeley.com/","live site — crowdsource stub"
keep,"Mainichi Sushi",japanese_restaurant,"https://mainichisushi.menu11.com/berkeley/order","live site — crowdsource stub"
keep,"Mercado 925",mexican_restaurant,"http://www.mercado925.com/","live site — crowdsource stub"
keep,"Mexicana",mexican_restaurant,"http://mexicanataqueria.com/","live site — crowdsource stub"
keep,"Mint Leaf",vietnamese_restaurant,"http://www.mintleafvr.com/","live site — crowdsource stub"
keep,"Musashi",japanese_restaurant,"https://musashiofberkeley.com/","live site — crowdsource stub"
keep,"Nagoya Sushi",japanese_restaurant,"https://www.nagoyasushiberkeley.com/?utm_source=google&utm_medium=search","live site — crowdsource stub"
keep,"Passione Emporio/ Hot Italian",italian_restaurant,"http://passioneemporio.com/","alcohol-positive type/name"
keep,"Picante",mexican_restaurant,"http://www.picanteberkeley.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Pyeong Chang Tofu Berkeley 버클리 평창 순두부",korean_restaurant,"https://www.pctofu.com/","live site — crowdsource stub"
keep,"Raleigh's Pub",bar,"http://raleighspub.com/","alcohol-positive type/name"
keep,"Rayo in a bottle",food,"https://rayoinabottle.com/","alcohol-positive type/name"
keep,"Renee's Place",chinese_restaurant,"http://www.reneesplacerestaurant.com/","live site — crowdsource stub"
keep,"Sichuan Style",chinese_restaurant,"https://www.sichuanstylerestaurant.com/","live site — crowdsource stub"
keep,"Tap in lounge",cocktail_bar,"https://tapinlounge.com/?utm_source=google","alcohol-positive type/name"
keep,"Tarocco",restaurant,"https://mytarocco.com/","live site — crowdsource stub"
keep,"The Berkeley Boathouse",restaurant,"https://www.berkeleyboathouse.com/?SEO_id=GMB--R-JBKCADT-1&y_source=1_MTAxOTg4NzQ3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","live site — crowdsource stub"
keep,"The Tap Haus",bar,"https://berkeleytaphaus.wixsite.com/taphaus","alcohol-positive type/name"
keep,"Tipsy Yeti Restaurant & Bar",restaurant,"http://www.tipsyeti.com/","alcohol-positive type/name"
keep,"Troy",greek_restaurant,"http://www.troygreek.com/","live site — crowdsource stub"
keep,"Way Station Brew",restaurant,"https://waystationberkeley.com/","alcohol-positive type/name"
keep,"Yo Sushi",sushi_restaurant,"https://yosushialbany.menu11.com/","live site — crowdsource stub"
