action,venue,primary_type,website,reason
hide,"Nagoya Sushi",japanese_restaurant,"https://www.nagoyasushiberkeley.com/?utm_source=google&utm_medium=search","site dead/unreachable"
keep,"5 Tacos and Beers Berkeley",mexican_restaurant,"http://www.5tacos.com/","alcohol-positive type/name"
keep,"Adega Azul",wine_bar,"https://adegaazul.com/","alcohol-positive type/name"
keep,"Agrodolce Osteria",italian_restaurant,"http://www.agrodolceberkeley.com/","alcohol-positive type/name"
keep,"AKEMI",sushi_restaurant,"http://www.akemiberkeley.com/","live site — crowdsource stub"
keep,"Artichoke Basille's Pizza",pizza_restaurant,"http://www.artichokepizza.com/","live site — crowdsource stub"
keep,"Barney's Gourmet Hamburgers",hamburger_restaurant,"http://www.barneyshamburgers.com/","live site — crowdsource stub"
keep,"Berkeley Social Club",restaurant,"http://www.berkeley-socialclub.com/","live site — crowdsource stub"
keep,"Bobby G's Pizzeria",pizza_restaurant,"https://bobbygspizzeria.com/","alcohol-positive type/name"
keep,"Butterfish Sushi",sushi_restaurant,"http://www.butterfishberkeley.com/","live site — crowdsource stub"
keep,"Café Bolita",mexican_restaurant,"http://cafebolita.com/","alcohol-positive type/name"
keep,"Cali Alley",restaurant,"https://calialley.com/","live site — crowdsource stub"
keep,"Cali's Sports Bar & Kitchen",restaurant,"https://calisportsbar.com/?utm_source=google","alcohol-positive type/name"
keep,"Cheese Board Collective Pizzeria",pizza_restaurant,"http://cheeseboardcollective.coop/","live site — crowdsource stub"
keep,"Chez Panisse",californian_restaurant,"http://www.chezpanisse.com/","live site — crowdsource stub"
keep,"Comal",mexican_restaurant,"http://www.comalberkeley.com/","alcohol-positive type/name"
keep,"Covenant Wines",winery,"https://www.covenantwines.com/","alcohol-positive type/name"
keep,"Crepevine",restaurant,"https://crepevine.com/?y_source=1_MTQ3MjMwNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","live site — crowdsource stub"
keep,"Cugini",italian_restaurant,"http://www.cuginirestaurant.com/","live site — crowdsource stub"
keep,"Curry Pizza House Berkeley",pizza_restaurant,"https://currypizzahouse.com/locations/berkeley/","live site — crowdsource stub"
keep,"Dumpling Time",dumpling_restaurant,"https://www.dumplingtime.com/","live site — crowdsource stub"
keep,"East Bay Spice",bar,"https://eastbayspiceco.com/?utm_source=google","alcohol-positive type/name"
keep,"Extreme Pizza",pizza_delivery,"https://extremepizza.hungerrush.com/Order/Menu/1#groups","site unreadable (bot-walled/robots) — uncertain, not hidden"
