action,venue,primary_type,website,reason
hide,"Avanti Restaurant",italian_restaurant,"https://avanti-az.com/","site dead/unreachable"
hide,"Glai Baan",thai_restaurant,"https://www.glaibaanaz.com/","site dead/unreachable"
hide,"Irma's Kitchen LLC",mexican_restaurant,"https://irmaskitchonline.com/","site dead/unreachable"
hide,"PHX Burrito House",mexican_restaurant,"https://phxburritohouse.com/","site dead/unreachable"
hide,"Plush Kitchen & Lounge",restaurant,"https://plushphx.com/","parked/placeholder/empty site"
hide,"Sala Thai North Phoenix",thai_restaurant,"http://salathaiaz.com/","site dead/unreachable"
keep,"24th Street Cigar Shop & Bar | Phoenix AZ",bar,"https://24thstreetcigarlounge.co/","alcohol-positive type/name"
keep,"36 Below",cocktail_bar,"https://36belowaz.com/","alcohol-positive type/name"
keep,"Ace of wingz",chicken_wings_restaurant,"http://aceofwingz.com/","live site — crowdsource stub"
keep,"Across The Pond",sushi_restaurant,"https://www.acrossthepondphx.com/?utm_source=GMB&utm_medium=local&utm_campaign=phoenix","alcohol-positive type/name"
keep,"Adams Table",restaurant,"https://www.eatatadams.com/","alcohol-positive type/name"
keep,"Angel Thai Bistro",thai_restaurant,"http://www.angelthaiaz.com/","live site — crowdsource stub"
keep,"Arriba Mexican Grill",mexican_restaurant,"https://www.arribamexicangrill.com/","live site — crowdsource stub"
keep,"Asi Es La Vida Restaurant",mexican_restaurant,"http://asieslavidarestaurant.com/","alcohol-positive type/name"
keep,"Bar 1",bar,"http://www.bar1bar.com/","alcohol-positive type/name"
keep,"Bar Bianco",bar,"https://www.pizzeriabianco.com/","alcohol-positive type/name"
keep,"Barrel & Bushel",bar_and_grill,"https://barrelandbushelphoenix.com/","alcohol-positive type/name"
keep,"Bourbon Street",,"https://www.bourbonstreetaz.com/","alcohol-positive type/name"
keep,"Boycott Bar",bar,"https://www.boycottbarphx.com/","alcohol-positive type/name"
keep,"Brasero Tacos Y Tequila",mexican_restaurant,"https://braserotacosytequilaphx.com/","alcohol-positive type/name"
keep,"Brix Kitchen+Cocktails",bar_and_grill,"http://brixphoenix.com/","alcohol-positive type/name"
keep,"Butler's Easy",bar,"https://butlerseasy.com/","alcohol-positive type/name"
keep,"Cactus Tavern",restaurant,"http://cactustavern.com/","alcohol-positive type/name"
keep,"California Fish Grill",seafood_restaurant,"https://www.cafishgrill.com/","live site — crowdsource stub"
keep,"Carolina's Mexican Food - Cactus",mexican_restaurant,"http://www.carolinasmexicanfood.com/","live site — crowdsource stub"
keep,"Carry On",cocktail_bar,"http://www.carryonphx.com/","alcohol-positive type/name"
keep,"Centrico",mexican_restaurant,"http://centricophx.com/","live site — crowdsource stub"
keep,"Chopper Johns",bar,"https://m.facebook.com/ChopperJohns/","alcohol-positive type/name"
keep,"Coabana",restaurant,"http://www.coabanaphx.com/","alcohol-positive type/name"
keep,"Corazón de Agave",mexican_restaurant,"https://corazondeagaverestaurant.com/","live site — crowdsource stub"
keep,"Cornish Pasty Co",british_restaurant,"http://www.cornishpastyco.com/","live site — crowdsource stub"
keep,"Cornish Pasty Co",british_restaurant,"http://www.cornishpastyco.com/","alcohol-positive type/name"
keep,"Crown Public House",pub,"http://crownpublichouse.com/","alcohol-positive type/name"
keep,"Cruisin'7th",bar,"https://www.cruisin7th.com/","alcohol-positive type/name"
keep,"Cry Baby",sports_bar,"https://crybabyphx.com/","alcohol-positive type/name"
keep,"Daddy-O's Grill",american_restaurant,"https://daddyosgrill.shop/","alcohol-positive type/name"
keep,"Durant's",steak_house,"https://www.durantsaz.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","live site — crowdsource stub"
keep,"Dwntwn",night_club,"https://www.clubdwntwn.com/","alcohol-positive type/name"
keep,"Eden Rooftop Bar",bar,"https://www.edenbarphoenix.com/","alcohol-positive type/name"
keep,"El Capri",night_club,"http://www.elcapriboletos.com/","alcohol-positive type/name"
keep,"El Chullo Peruvian Restaurant & Bar",peruvian_restaurant,"https://www.elchullorestaurant.com/","live site — crowdsource stub"
keep,"El Super Taco",taco_restaurant,"https://elsupertacoaz.com/","live site — crowdsource stub"
keep,"El Zaguan Bistro",mexican_restaurant,"https://www.elzaguanbistro.com/","live site — crowdsource stub"
keep,"Fatso's Pizza",pizza_restaurant,"http://www.fatsospizza.com/","alcohol-positive type/name"
keep,"Floor 13 Rooftop Bar",bar,"https://floor13rooftopbar.com/","alcohol-positive type/name"
keep,"Flower Child",american_restaurant,"https://www.iamaflowerchild.com/locations/phoenix-az-arcadia/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps","live site — crowdsource stub"
keep,"Fly Bye",pizza_restaurant,"https://flybyetogo.com/locations/phoenix-az-arcadia/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps","live site — crowdsource stub"
keep,"Furia Musical night club",bar,"https://www.facebook.com/Furia-Musical-sport-bar-176025925764322/","alcohol-positive type/name"
keep,"Grand Avenue Brewing Co.",brewery,"http://grandavebrew.com/","alcohol-positive type/name"
keep,"Gus's World Famous Fried Chicken",chicken_restaurant,"http://gusfriedchicken.com/","live site — crowdsource stub"
keep,"Gus's World Famous Fried Chicken",chicken_restaurant,"https://www.gusfriedchicken.com/","live site — crowdsource stub"
keep,"Guy Fieri’s DTPHX Kitchen + Bar",american_restaurant,"","no website — crowdsource stub"
keep,"Harvey's Wineburger",sports_bar,"http://www.harveyswineburger.com/","alcohol-positive type/name"
keep,"Hideaway Lounge",sports_bar,"https://m.facebook.com/diannashideaway","alcohol-positive type/name"
keep,"Highball",cocktail_bar,"http://highballphx.com/","alcohol-positive type/name"
keep,"Huss Brewing Downtown PHX Brewpub + TOGO",brewery,"https://www.hussbrewing.com/","alcohol-positive type/name"
keep,"Ice House Tavern",cocktail_bar,"https://icehousetavernphx.com/","alcohol-positive type/name"
keep,"Just Tacos and More",mexican_restaurant,"https://www.justtacosandmore.com/","live site — crowdsource stub"
keep,"King Salmon Midtown",sushi_restaurant,"http://www.kingsalmonsushi.com/","live site — crowdsource stub"
keep,"Knock Kneed Lobster",seafood_restaurant,"http://knockkneedlobster.menutoeat.com/","live site — crowdsource stub"
keep,"Kobalt",cocktail_bar,"http://kobaltbarphoenix.com/","alcohol-positive type/name"
keep,"Krachai Thai Kitchen",thai_restaurant,"http://phoenixbestthaifood.com/index.htm","live site — crowdsource stub"
keep,"La Canasta Capitolio",mexican_restaurant,"http://www.lacanastacapitolio.com/","alcohol-positive type/name"
keep,"L'amore Italian Restaurant",italian_restaurant,"http://www.lamoreitalian.com/","live site — crowdsource stub"
keep,"Le Âme",steak_house,"https://www.globalambassadorhotel.com/restaurants/leame","live site — crowdsource stub"
keep,"Little Rituals",cocktail_bar,"https://littleritualsbar.com/","alcohol-positive type/name"
keep,"LongHorn Steakhouse",steak_house,"https://www.longhornsteakhouse.com/locations/az/phoenix/phoenix-paradise-valley/5461?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:phoenix-az-5461_pl:locurl_rd:1400","alcohol-positive type/name"
keep,"LongHorn Steakhouse",steak_house,"https://www.longhornsteakhouse.com/locations/az/phoenix/phoenix-metro-center/5513?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:phoenix-az-5513_pl:locurl_rd:1447","alcohol-positive type/name"
keep,"Los Reyes De La Torta",mexican_restaurant,"https://losreyesaz.com/locations/north-phoenix","live site — crowdsource stub"
keep,"Los Taquitos",mexican_restaurant,"https://lostaquitosaz.com/lostaquitos-arcadia?utm_source=google","alcohol-positive type/name"
keep,"Los Taquitos",mexican_restaurant,"https://lostaquitosaz.com/lostaquitos-16th-street?utm_source=google","alcohol-positive type/name"
keep,"Lydia's Kitchen & Market",restaurant,"http://www.lydiasphx.com/","live site — crowdsource stub"
keep,"Majerle's Sports Grill",sports_bar,"http://www.majerles.com/","alcohol-positive type/name"
keep,"Manuel’s Mexican Restaurant & Cantina | Indian School",mexican_restaurant,"https://www.manuelsazindianschoolrd.com/","alcohol-positive type/name"
keep,"Mariscos Camaron Pelao 2",seafood_restaurant,"https://www.instagram.com/camaronpelao2phoenix","site unreadable (bot-walled/robots) — uncertain, not hidden"
