action,venue,primary_type,website,reason
hide,"AKIKOS",sushi_restaurant,"https://akikosrestaurant.com/","parked/placeholder/empty site"
hide,"Broad Street Oyster Company",seafood_restaurant,"https://www.broadstreetoyster.com/san-francisco","parked/placeholder/empty site"
hide,"Chacho Sushi",restaurant,"http://www.chachosushi.com/","site dead/unreachable"
hide,"Champa Garden Restaurant",restaurant,"https://champagardensf.com/","parked/placeholder/empty site"
hide,"ChouChou French Bistro",french_restaurant,"https://www.orderchouchoubistro.com/","parked/placeholder/empty site"
hide,"Grand Hot Pot Lounge",hot_pot_restaurant,"http://grandhotpotlounge.com/menu/","parked/placeholder/empty site"
hide,"Greens Restaurant",vegetarian_restaurant,"http://greensrestaurant.com/","parked/placeholder/empty site"
hide,"Handy Deli",restaurant,"https://food.orders.co/handydeli1","parked/placeholder/empty site"
hide,"Happy Shabu Shabu",japanese_restaurant,"http://happyshabushabu.net/","parked/placeholder/empty site"
hide,"Hillstone",american_restaurant,"https://hillstonerestaurant.com/locations/sanfrancisco/","site dead/unreachable"
hide,"Las Isletas Restaurant",latin_american_restaurant,"http://www.lasisletasrestaurantsanfrancisco.com/","site dead/unreachable"
hide,"Loltun Restaurant",mexican_restaurant,"http://loltunsf.com/","site dead/unreachable"
hide,"Maillards - Noriega",restaurant,"https://www.maillardssf.com/","parked/placeholder/empty site"
hide,"Mumu Hot Pot",hot_pot_restaurant,"http://www.mumuhotpot.com/","parked/placeholder/empty site"
hide,"Piccino",italian_restaurant,"http://www.piccino.com/","parked/placeholder/empty site"
hide,"Precita Social",restaurant,"https://www.precitasocial.com/","parked/placeholder/empty site"
hide,"Saru Handroll Bar",japanese_restaurant,"https://saruhandroll.com/","parked/placeholder/empty site"
hide,"South Beach Cafe",restaurant,"http://southbeachcafe.net/","parked/placeholder/empty site"
hide,"Torraku Ramen - Lombard",ramen_restaurant,"http://torrakuramenlombard.com/","parked/placeholder/empty site"
hide,"Ushi Taro Ramen Sunset",ramen_restaurant,"https://ushi-taro-ramen.square.site/","parked/placeholder/empty site"
hide,"Village Pizzeria",pizza_restaurant,"https://villagepizzeriaonline.com/?utm_campaign=website","parked/placeholder/empty site"
hide,"Wasabi & Ginger",japanese_restaurant,"http://www.wasabigingerca.com/","site dead/unreachable"
hide,"Yume Sushi",sushi_restaurant,"https://yumesushica.com/","site dead/unreachable"
keep,"16 st mision",bar,"","alcohol-positive type/name"
keep,"20 Spot",wine_bar,"http://www.20spot.com/","alcohol-positive type/name"
keep,"2211 Club, LLC",bar,"https://www.facebook.com/pages/Crestas-Twenty-Two-Eleven-Club/113064272053314","alcohol-positive type/name"
keep,"2901 club",bar,"","alcohol-positive type/name"
keep,"3910 Lounge",bar,"","alcohol-positive type/name"
keep,"3rd Cousin",restaurant,"https://www.3rdcousinsf.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link","live site — crowdsource stub"
keep,"4505 Burgers & BBQ",barbecue_restaurant,"http://www.4505burgersandbbq.com/","live site — crowdsource stub"
keep,"540 Bar",bar,"https://www.540-sf.com/","alcohol-positive type/name"
keep,"540 Club",bar,"","alcohol-positive type/name"
keep,"54 Mint Cucina Romana",italian_restaurant,"http://www.54mint.com/?utm_source=gmb&utm_medium=organic&utm_campaign=54mint","alcohol-positive type/name"
keep,"7 Adams",fine_dining_restaurant,"http://www.7adamsrestaurant.com/","live site — crowdsource stub"
keep,"83 Proof",bar,"http://www.83proof.com/","alcohol-positive type/name"
keep,"Abacá",filipino_restaurant,"http://www.restaurantabaca.com/","live site — crowdsource stub"
keep,"Abrazo",spanish_restaurant,"https://www.abrazosf.com/","live site — crowdsource stub"
keep,"Absinthe Brasserie & Bar",french_restaurant,"http://www.absinthe.com/","alcohol-positive type/name"
keep,"ABV",bar,"http://abvsf.com/","alcohol-positive type/name"
keep,"Ace's Bar",bar,"http://www.acesbarsf.com/","alcohol-positive type/name"
keep,"Acquolina",italian_restaurant,"https://acquolina.us/","live site — crowdsource stub"
keep,"Alborz Restaurant San Francisco",persian_restaurant,"http://alborzrestaurants.us/","live site — crowdsource stub"
keep,"All Good Pizza",pizza_restaurant,"http://allgoodpizza.com/","live site — crowdsource stub"
keep,"Altamirano Restaurant & Bar",peruvian_restaurant,"https://altamiranosf.com/","live site — crowdsource stub"
keep,"Amsterdam Café",bar,"http://amsterdamcafe.co/","alcohol-positive type/name"
keep,"Arabian Nights",lebanese_restaurant,"http://arabiannightssf.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Arbor",restaurant,"https://arborsf.com/","live site — crowdsource stub"
keep,"Arepas Latin Cuisine - San Francisco",restaurant,"https://arepasinc.com/arepaslatincuisinesanfrancisco-tjbsqj?utm_source=google","alcohol-positive type/name"
keep,"Arquet Restaurant",restaurant,"https://arquetrestaurant.com/","live site — crowdsource stub"
keep,"Asian Box",restaurant,"http://asianbox.com/","live site — crowdsource stub"
keep,"Asiento",bar,"http://www.asientosf.com/","alcohol-positive type/name"
keep,"Atelier Crenn",restaurant,"http://www.ateliercrenn.com/","live site — crowdsource stub"
keep,"August Hall",live_music_venue,"http://www.augusthallsf.com/","alcohol-positive type/name"
keep,"Au Sushi",japanese_restaurant,"https://www.ausushi.com/","live site — crowdsource stub"
keep,"B",event_venue,"http://www.bsanfrancisco.com/","alcohol-positive type/name"
keep,"Baby Blues BBQ",barbecue_restaurant,"http://bluessfq.com/","live site — crowdsource stub"
keep,"Bacchus Wine Bar",bar,"https://www.instagram.com/bacchus.sf/","alcohol-positive type/name"
keep,"Badlands San Francisco",bar,"","alcohol-positive type/name"
keep,"Balboa Cafe",restaurant,"http://www.balboacafe.com/","alcohol-positive type/name"
keep,"Balompié Cafe #1",restaurant,"https://balompiecafe1.com/?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Balompié Cafe #3",restaurant,"http://balompie3.com/","live site — crowdsource stub"
keep,"bao",dim_sum_restaurant,"https://www.baovalencia.com/","live site — crowdsource stub"
keep,"Bar 821",bar,"","alcohol-positive type/name"
keep,"Bar April Jean",cocktail_bar,"https://www.barapriljean.com/","alcohol-positive type/name"
keep,"Barbara Pinseria & Cocktail Bar",italian_restaurant,"https://sfbarbara.com/","alcohol-positive type/name"
keep,"Barberio Osteria",italian_restaurant,"http://www.barberiosf.com/","alcohol-positive type/name"
keep,"Bar Darling",cocktail_bar,"http://www.bardarlingsf.com/","alcohol-positive type/name"
keep,"Barebottle Brewing Company",brewery,"http://www.barebottle.com/","alcohol-positive type/name"
keep,"Bar Gemini",wine_bar,"https://bargeminisf.com/","alcohol-positive type/name"
keep,"Bar & Grill | Lincoln Park",bar_and_grill,"","alcohol-positive type/name"
keep,"Bar Iris",cocktail_bar,"https://www.bar-iris.com/","alcohol-positive type/name"
keep,"Bar Part Time",wine_bar,"http://barparttime.com/","alcohol-positive type/name"
keep,"Bar Piccino",cocktail_bar,"http://www.barpiccino.com/","alcohol-positive type/name"
keep,"Barrio",mexican_restaurant,"http://barriosf.com/","alcohol-positive type/name"
keep,"Bar Sprezzatura",restaurant,"http://barsprezzatura.com/","alcohol-positive type/name"
keep,"BarVIA",bar,"http://www.hotelviasf.com/","alcohol-positive type/name"
keep,"Bear Vs. Bull",bar,"https://drafthouse.com/sf/theater-bar/new-mission","alcohol-positive type/name"
keep,"Beauty Bar",bar,"https://www.beautybarsf.com/","alcohol-positive type/name"
keep,"Beit Rima",middle_eastern_restaurant,"http://beitrimasf.com/","live site — crowdsource stub"
keep,"Belle Cora",bar,"http://thebellecora.com/","alcohol-positive type/name"
keep,"Bender's Bar & Grill",bar_and_grill,"http://www.bendersbar.com/","alcohol-positive type/name"
keep,"Beso Mae Cocktail Lounge",bar,"","alcohol-positive type/name"
