action,venue,primary_type,website,reason
hide,"Casa en el Aire",colombian_restaurant,"https://casaenelaireca.com/","site dead/unreachable"
hide,"Inka’s restaurant",restaurant,"https://freshwok.shop/","parked/placeholder/empty site"
hide,"Kenji Sushi",sushi_restaurant,"https://order.mealkeyway.com/customer/release/index?mid=5676317252685a62315854444269395a636a704c54773d3d#/main","parked/placeholder/empty site"
hide,"Los Arcos Restaurant",mexican_restaurant,"https://losarcosrestaurantca.com/","site dead/unreachable"
hide,"Medallo Restaurant LLC",colombian_restaurant,"https://medallorestaurantllc.com/","site dead/unreachable"
hide,"Okayama Sushi #1",sushi_restaurant,"https://okayamasushi.com/","parked/placeholder/empty site"
hide,"Round1 Bowling & Arcade - San Jose",amusement_center,"http://round1usa.com/","bowling alley (excluded type)"
hide,"Senro Sushi",sushi_restaurant,"http://www.senrosushi.com/","parked/placeholder/empty site"
hide,"Sushi Masa",sushi_restaurant,"https://sushimasasj.com/","parked/placeholder/empty site"
hide,"Sushi Town",sushi_restaurant,"https://order.mealkeyway.com/customer/release/index?mid=507a7835767736453061514d49386b75646146656f673d3d#/main","parked/placeholder/empty site"
hide,"Tandoori Pizza - San Jose",pizza_restaurant,"http://www.tandooripizza.com/","parked/placeholder/empty site"
hide,"Taste of Heaven Bistro",american_restaurant,"https://link.eliteone.io/taste","parked/placeholder/empty site"
hide,"Trifecta",restaurant,"https://www.trifectaomakase.com/","parked/placeholder/empty site"
keep,"55 South",cocktail_bar,"http://www.the55south.com/","alcohol-positive type/name"
keep,"5 Spot Chivas Grill",mexican_restaurant,"","no website — crowdsource stub"
keep,"ABVE The Basics",restaurant,"http://www.abvethebasics.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"AC Lounge",bar,"http://www.marriott.com/hotels/travel/sjcac-ac-hotel-san-jose-downtown/","alcohol-positive type/name"
keep,"Acopio Restaurant",mexican_restaurant,"http://www.acopiosj.com/","live site — crowdsource stub"
keep,"After Bar & Grill",restaurant,"","alcohol-positive type/name"
