action,venue,primary_type,website,reason
hide,"Mee Heng Low | Noodle House",chinese_restaurant,"http://www.meehenglow.com/","site dead/unreachable"
hide,"My Thai",thai_restaurant,"http://www.onlinemythai.com/","parked/placeholder/empty site"
hide,"Sushi Table",japanese_restaurant,"https://sanluisranchsushitable.com/","parked/placeholder/empty site"
keep,"15degrees C",wine_bar,"http://www.15degreescwines.com/","alcohol-positive type/name"
keep,"Alex Madonna’s Gold Rush Steak House",steak_house,"http://madonnainn.com/","live site — crowdsource stub"
keep,"Anderson Social",cocktail_bar,"https://anderson.social/","alcohol-positive type/name"
keep,"Bear & The Wren",restaurant,"http://bearandthewren.com/","live site — crowdsource stub"
keep,"Beda's Biergarten",german_restaurant,"https://bedasbiergarten.com/?utm_medium=referral&utm_source=gmb","alcohol-positive type/name"
keep,"Benny’s Pizza Palace and Social Club",pizza_restaurant,"http://www.bennysppsc.com/","alcohol-positive type/name"
keep,"Bull's Tavern",bar,"https://facebook.com/traditionalnottrendy/","alcohol-positive type/name"
keep,"Buona Tavola",italian_restaurant,"http://www.btslo.com/","live site — crowdsource stub"
keep,"California Tacos Cantina and Distillery",mexican_restaurant,"https://californiatacos.net/tacossanluisobispo?utm_source=google","alcohol-positive type/name"
keep,"Central Coast Brewing at The HUB",brewery,"https://www.thehubslo.com/","alcohol-positive type/name"
keep,"Central Coast Wines",liquor_store,"http://www.ccwines.com/","alcohol-positive type/name"
keep,"Condesa",restaurant,"https://condesabarslo.com/","live site — crowdsource stub"
keep,"Cool Cat Café | San Luis Obispo",hamburger_restaurant,"http://www.coolcatcafe.com/","live site — crowdsource stub"
keep,"Couch Family Wines",bar,"http://couchfamilywines.com/","alcohol-positive type/name"
keep,"COYA Peruvian food",peruvian_restaurant,"http://www.coyaperuvianfood.com/","live site — crowdsource stub"
keep,"Efren's San Luis Obispo",mexican_restaurant,"http://www.efrensslo.com/","live site — crowdsource stub"
keep,"Feral Kitchen & Lounge",restaurant,"https://www.feralkitchenandlounge.com/","live site — crowdsource stub"
keep,"G-Brothers Smokehouse",barbecue_restaurant,"http://gbrothersinslo.com/","live site — crowdsource stub"
keep,"Gino's Pizza SLO",pizza_restaurant,"https://ginospizzaslo.com/ginospizzaslo?utm_source=google","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Golden Gong Chinese Restaurant",chinese_restaurant,"http://www.goldengongslo.com/","live site — crowdsource stub"
keep,"Gold Land BBQ",barbecue_restaurant,"http://goldlandbbq.com/","live site — crowdsource stub"
keep,"HaHa Sushi And Ramen",japanese_restaurant,"https://hahasushiandramen.com/","live site — crowdsource stub"
keep,"Humble Oven",italian_restaurant,"https://www.humbleovenco.com/","live site — crowdsource stub"
keep,"Izakaya Goshi | Japanese Restaurant",japanese_restaurant,"http://www.goshislo.com/","alcohol-positive type/name"
keep,"Jan’s Place: Vinyl Bar",bar,"http://www.jansplaceslo.com/","alcohol-positive type/name"
keep,"Kitchen & Vine",american_restaurant,"https://www.kitchennvine.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Koberl At Blue",fine_dining_restaurant,"https://www.epkoberl.com/","alcohol-positive type/name"
keep,"Kona's Deli",sandwich_shop,"http://www.konasdeli.com/","live site — crowdsource stub"
keep,"Lahainas",seafood_restaurant,"https://lahainas805.com/","live site — crowdsource stub"
