action,venue,primary_type,website,reason
hide,"Himali Bistro",restaurant,"https://www.himalibistro.com/","parked/placeholder/empty site"
hide,"Kobeya",japanese_restaurant,"http://www.kobeyasanmateo.us/","parked/placeholder/empty site"
hide,"Marketplace Café at Nordstrom",american_restaurant,"https://www.nordstrom.com/store-details/nordstrom-hillsdale-shopping-center?utm_source=google&utm_medium=organic&utm_campaign=food&utm_content=32420&utm_channel=low_nd_seo_local&sp_source=google&sp_campaign=food","parked/placeholder/empty site"
hide,"Mumu Hot Pot",hot_pot_restaurant,"https://mumuhotpot.com/","parked/placeholder/empty site"
hide,"Ping‘s Bistro",chinese_restaurant,"https://order.mealkeyway.com/customer/release/index?mid=61366250313953396b592f44686177644e344a494a513d3d","parked/placeholder/empty site"
hide,"Royal Feast",chinese_restaurant,"https://order.mealkeyway.com/customer/release/index?mid=4a5458796474666a4c555975506e64707071754957513d3d","parked/placeholder/empty site"
hide,"Slice House by Tony Gemignani",pizza_restaurant,"https://slicehouse.com/belmont/","parked/placeholder/empty site"
hide,"Sole Ristorante Italiano",italian_restaurant,"http://www.soleristorante.com/?_escaped_fragment_=catering/c1w8b","parked/placeholder/empty site"
hide,"Yangon",burmese_restaurant,"http://yangon-restaurant.com/","parked/placeholder/empty site"
keep,"37 North",restaurant,"https://www.hilton.com/en/hotels/sfoaodt-doubletree-san-francisco-airport/dining/?SEO_id=GMB--R-SFOAODT&y_source=1_MTk1OTQ3MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"3SIXTY Bistro",american_restaurant,"https://www.hyatt.com/en-US/hotel/california/hyatt-regency-san-francisco-airport/sfobu/dining","alcohol-positive type/name"
keep,"808 Zone - Asian Pacific Fusion",restaurant,"http://808-zone.com/","live site — crowdsource stub"
keep,"Akizu Sushi Bar & Grill",sushi_restaurant,"https://akizusushibargrillca.com/","alcohol-positive type/name"
keep,"Aldo's Pizza",pizza_restaurant,"http://aldospizzamenu.com/?utm_source=gbp","live site — crowdsource stub"
keep,"Armadillo Willy's BBQ",barbecue_restaurant,"https://www.armadillowillys.com/mobile-site/locations.asp","live site — crowdsource stub"
keep,"Bahche",restaurant,"https://www.bahchesf.com/","live site — crowdsource stub"
keep,"Bellini Bistro",italian_restaurant,"http://www.bistrobellini.com/","live site — crowdsource stub"
keep,"Bistro Arancini",italian_restaurant,"http://www.bistroarancini.com/","live site — crowdsource stub"
keep,"Blue Line Pizza",pizza_restaurant,"https://bluelinepizza.com/","alcohol-positive type/name"
keep,"Broadway Prime",steak_house,"http://broadwayprime.com/","live site — crowdsource stub"
