action,venue,primary_type,website,reason
hide,"Allie's Vegan Pizzeria & Cafe",vegan_restaurant,"https://order.toasttab.com/online/allies-vegan-pizzeria","site dead/unreachable"
hide,"Atilano’s Mexican Food - Divison/Lincoln",restaurant,"https://atilanosmexicanfood.com/","parked/placeholder/empty site"
hide,"Atilano's Mexican Food - Downtown",mexican_restaurant,"https://www.atilanosmexicanfood.com/","parked/placeholder/empty site"
hide,"Atilano's Mexican Food - Francis",mexican_restaurant,"http://atilanosmexicanfood.com/","parked/placeholder/empty site"
hide,"Avocado Roll Sushi",japanese_restaurant,"http://www.avocadoroll.app/","live site, no alcohol or HH evidence"
hide,"Bennidito's Pizza | Italian",pizza_restaurant,"http://benniditos.com/","live site, no alcohol or HH evidence"
hide,"Betty Jean's BBQ",barbecue_restaurant,"https://bettyjeansbbq.podia.com/","parked/placeholder/empty site"
hide,"Cantarito Mexican Restaurant",mexican_restaurant,"https://cantaritospokanewa.com/","site dead/unreachable"
hide,"Casa de la Birria Spokane",mexican_restaurant,"https://casadelabirriaspokanewa.com/","live site, no alcohol or HH evidence"
hide,"Casa de Oro",mexican_restaurant,"https://casadeoronorth.com/","live site, no alcohol or HH evidence"
hide,"Chan's Dragon Inn | Chinese",chinese_restaurant,"http://chans-dragon-inn.edan.io/","site dead/unreachable"
hide,"Dave's Hot Chicken",chicken_restaurant,"https://restaurants.daveshotchicken.com/wa/spokane/spicy-chicken-sandwich-division-st/?utm_campaign=google_maps&utm_medium=organic&utm_source=google&utm_content=website&utm_keyword=1307","site dead/unreachable"
hide,"Doña-Magnolia",restaurant,"https://www.facebook.com/donamagnoliaspokane","site dead/unreachable"
hide,"Elliotts an urban kitchen",american_restaurant,"https://www.facebook.com/Elliotts-an-urban-kitchen-177958009611150/","site dead/unreachable"
hide,"Gerardo's Authentic Mexican Food",mexican_restaurant,"https://gerardosauthenticmexicanfood.shop/","site dead/unreachable"
hide,"Gerardo's Authentic Mexican Food",mexican_restaurant,"https://m.facebook.com/GerardosAuthenticMexicanFood/","site dead/unreachable"
hide,"Hang 10 Hawaiian BBQ & Catering",restaurant,"https://hang10bbq.com/","live site, no alcohol or HH evidence"
hide,"Indigenous Eats",restaurant,"https://www.iespokane.com/","live site, no alcohol or HH evidence"
hide,"Kismet",restaurant,"http://www.kismetspokane.com/","live site, no alcohol or HH evidence"
hide,"Little noodle spokane",asian_restaurant,"https://www.littlenoodlespokane.com/","live site, no alcohol or HH evidence"
hide,"Los Habaneros",mexican_restaurant,"https://sites.google.com/view/loshabanerostaqueria/inicio","live site, no alcohol or HH evidence"
hide,"Maracas Mexican Grill South Hill",mexican_restaurant,"https://maracassouthhill.com/","live site, no alcohol or HH evidence"
hide,"Mojarra Mia! Mexican Seafood Restaurant",mexican_restaurant,"https://mojarramiamexicanseafoodrestaurantwa.com/","live site, no alcohol or HH evidence"
hide,"Nudo Ramen House",ramen_restaurant,"http://www.nudoramen.com/","live site, no alcohol or HH evidence"
hide,"Pho Thinh",vietnamese_restaurant,"https://phothinhwa.com/","live site, no alcohol or HH evidence"
hide,"QQ Sushi & Kitchen",sushi_restaurant,"https://www.qqsushiandkitchen.com/","live site, no alcohol or HH evidence"
hide,"Rancho Viejo",mexican_restaurant,"http://www.ranchoviejomexican.net/","live site, no alcohol or HH evidence"
hide,"Red Dragon Northside",chinese_restaurant,"https://www.reddragonspokane.com/","live site, no alcohol or HH evidence"
hide,"Red Dragon Spokane",chinese_restaurant,"http://www.reddragonspokane.com/","live site, no alcohol or HH evidence"
hide,"Rincon Tapatio",mexican_restaurant,"https://rincontapatio.net/","live site, no alcohol or HH evidence"
hide,"Rincón Tapatío",mexican_restaurant,"https://rincontapatiomarket.com/","live site, no alcohol or HH evidence"
hide,"Saranac Commons",restaurant,"https://www.facebook.com/Saranac-Commons-971182832912566","site dead/unreachable"
hide,"South Hill Grill",american_restaurant,"http://www.southhillgrillspokane.com/","live site, no alcohol or HH evidence"
hide,"Tacos El Sol",mexican_restaurant,"https://tacoselsolwa.com/","live site, no alcohol or HH evidence"
