action,venue,primary_type,website,reason
hide,"Crab King Cajun Boil & Bar",cajun_restaurant,"https://www.crabkingwa.com/","site dead/unreachable"
hide,"Sushi Tama Restaurant",sushi_restaurant,"http://sushitamarestaurant.com/","site dead/unreachable"
keep,"Adela's Authentic Mexican Restaurant",mexican_restaurant,"http://orderadelasauthenticmexicanrestaurant.mobile-webview4.com/","live site — crowdsource stub"
keep,"Airport Bar & Grill",bar_and_grill,"https://airporttavern.com/","alcohol-positive type/name"
keep,"Applebee's Grill + Bar",restaurant,"https://restaurants.applebees.com/en-us/wa/tacoma/1919-south-72nd-street-90095?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=90095&utm_content=website","alcohol-positive type/name"
keep,"Ben Dews Clubhouse Grill",restaurant,"https://www.bendewsclubhousegrill.com/","alcohol-positive type/name"
keep,"Berliner Beerhall",german_restaurant,"http://www.berlinerbeerhall.com/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"BIGFOOT PIZZA & BAR",pizza_restaurant,"https://www.bigfootpizzaandbar.com/","alcohol-positive type/name"
keep,"Bob's Java Jive",bar,"http://www.bobsjavajive.com/","alcohol-positive type/name"
keep,"Bordeaux Wine Bar Tacoma",wine_bar,"https://www.bordeauxwinebar.com/location/bordeaux-wine-bar-tacoma/","alcohol-positive type/name"
keep,"Browne Family Vineyards Tasting Room",wine_bar,"https://www.brownefamilyvineyards.com/tacoma","alcohol-positive type/name"
keep,"Camp Colvos Brewing + Pizza Co.",pizza_restaurant,"https://campcolvos.com/","alcohol-positive type/name"
keep,"Casa Moreno Restaurant",mexican_restaurant,"https://casamorenogrill.com/","alcohol-positive type/name"
keep,"Cheers Bar & Grill",sports_bar,"https://cheerstacoma.com/home","alcohol-positive type/name"
keep,"Chez Lafayette Creole Brasserie",american_restaurant,"https://chezlafayette.com/","live site — crowdsource stub"
keep,"Cider & Cedar",bar,"http://www.ciderandcedar.com/","alcohol-positive type/name"
keep,"Cocina Mexicana Restaurant",mexican_restaurant,"https://cocinamexicanarestaurantwa.com/","alcohol-positive type/name"
keep,"Cuerno Bravo Steakhouse",steak_house,"http://www.cuernobravo.com/","live site — crowdsource stub"
keep,"Dahlman Cellars - Winery Tasting Room",winery,"http://www.dahlmancellars.com/","alcohol-positive type/name"
keep,"Da Tiki Hut",hawaiian_restaurant,"https://www.datikihut.com/","alcohol-positive type/name"
keep,"Dawson's Bar & Grill",bar_and_grill,"https://www.facebook.com/Dawsons-Bar-Grill-149029638455757/","alcohol-positive type/name"
keep,"Devil's Reef",bar,"","alcohol-positive type/name"
keep,"Dickey's Barbecue Pit",restaurant,"https://www.dickeys.com/locations/Washington/Tacoma/6th-ave","live site — crowdsource stub"
keep,"Doyle's Public House",pub,"https://www.doylespublichouse.com/","alcohol-positive type/name"
keep,"Dusty’s Hideaway",restaurant,"https://dustyshideaway.com/?utm_source=google","alcohol-positive type/name"
keep,"E9 Firehouse & Gastropub",american_restaurant,"http://www.ehouse9.com/","alcohol-positive type/name"
keep,"El Gaucho Tacoma",steak_house,"https://elgaucho.com/tacoma/","alcohol-positive type/name"
keep,"El Toro Mexican Restaurant & Cantina",mexican_restaurant,"https://eltorofamily.com/menu/el-toro-restaurant-cantina-tacoma-5716-north-26th-street","alcohol-positive type/name"
keep,"Ezell's Famous Chicken",chicken_restaurant,"https://www.ezellschicken.com/","live site — crowdsource stub"
keep,"Fergie's On the Ave",bar,"https://m.facebook.com/Fergies-On-The-Ave-111578872216128/","alcohol-positive type/name"
keep,"Fujiya Japanese Restaurant",sushi_restaurant,"https://www.facebook.com/fujiyatacoma/","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Gari of Sushi",japanese_restaurant,"http://gariofsushi.com/","live site — crowdsource stub"
keep,"Gyro Bites",greek_restaurant,"https://www.eatgyrobites.com/","live site — crowdsource stub"
keep,"Hank's Bar & Pizza",bar_and_grill,"http://www.hankstacoma.com/","alcohol-positive type/name"
keep,"Hob Nob's Side Door Bar and Lounge",bar,"https://www.sidedoorbarandlounge.com/","alcohol-positive type/name"
keep,"Holy Moly Bar",bar,"https://www.holymolybar.com/","alcohol-positive type/name"
keep,"Indo Asian Street Eatery",asian_restaurant,"http://indostreeteatery.com/","live site — crowdsource stub"
keep,"Jazzbones",live_music_venue,"http://www.jazzbones.com/","alcohol-positive type/name"
keep,"Juniper Botanical Bar",bar,"https://www.juniperbotanicalbar.com/","alcohol-positive type/name"
keep,"Kingfisher and Rye Tavern",bar,"https://www.kingfisherandrye.com/","alcohol-positive type/name"
keep,"Kizuki Ramen & Izakaya (Tacoma Mall)",ramen_restaurant,"https://www.kizuki.com/","alcohol-positive type/name"
keep,"LA ILUSION AL CARBON",mexican_restaurant,"https://lailusionalcarbonwa.com/","live site — crowdsource stub"
keep,"La Isabella",mexican_restaurant,"https://www.laisabellamezcal.com/","alcohol-positive type/name"
keep,"La Perla Del Mar",mexican_restaurant,"https://www.doordash.com/store/934598?utm_source=mx_share","site unreadable (bot-walled/robots) — uncertain, not hidden"
keep,"Le Sel Bistro",restaurant,"http://www.leselbistro.com/","live site — crowdsource stub"
keep,"Magoo's Annex",bar,"https://m.facebook.com/pages/Magoos/227313433999721","alcohol-positive type/name"
keep,"Manny's Place",restaurant,"http://www.mannysplacetacoma.com/","live site — crowdsource stub"
