action,venue,primary_type,website,reason
hide,"Bazil's",italian_restaurant,"http://bazilstucson.com/","parked/placeholder/empty site"
hide,"Casa Pita",restaurant,"https://online.skytab.com/89676db9e223ec487235bb1855b0884d","parked/placeholder/empty site"
hide,"Chariot Pizza",pizza_restaurant,"http://www.chariotpizza.com/","parked/placeholder/empty site"
hide,"Chef Alisah's Restaurant",european_restaurant,"https://www.alisahrestaurant.com/","parked/placeholder/empty site"
hide,"Flamingo Grill at Reid Park Zoo",american_restaurant,"https://www.postermywall.com/index.php/v/d/39FD","parked/placeholder/empty site"
hide,"Forty Niner - Rincon Mountain Grill",american_restaurant,"http://www.fortyninercc.com/","parked/placeholder/empty site"
hide,"JA Ramen",ramen_restaurant,"https://jaramen.us/","parked/placeholder/empty site"
hide,"Kintaro Sushi and Hibachi",asian_restaurant,"https://kintarotucson.com/","site dead/unreachable"
hide,"Micha's Restaurant",mexican_restaurant,"https://www.michascatering.com/","parked/placeholder/empty site"
hide,"The Glowbal Restaurant & Bar",restaurant,"http://www.theglowbal.com/","parked/placeholder/empty site"
keep,"Agave House",restaurant,"http://www.agavehousetucson.com/","live site — crowdsource stub"
keep,"All American Burger",american_restaurant,"https://tucsonmall.com/store/all-american-burger/","live site — crowdsource stub"
keep,"Alloro D.O.C.",italian_restaurant,"http://www3.hilton.com/en/hotels/arizona/hilton-tucson-east-TUSHEHF/index.html","alcohol-positive type/name"
keep,"Angry Crab Shack",seafood_restaurant,"https://www.angrycrabshack.com/broadway-blvd-tucson","live site — crowdsource stub"
keep,"Angry Crab Shack",seafood_restaurant,"https://www.angrycrabshack.com/grant-rd-tucson-az","live site — crowdsource stub"
keep,"Argenziano's",italian_restaurant,"https://argenzianos.shop/","live site — crowdsource stub"
keep,"Arizona Beer House",bar,"http://www.arizonabeerhouse.com/","alcohol-positive type/name"
keep,"Arizona Pizza Company",pizza_restaurant,"https://azpizzacompany.com/","live site — crowdsource stub"
keep,"Azian",asian_restaurant,"https://www.aziansushitucson.com/","live site — crowdsource stub"
keep,"Ba-Dar Chinese Restaurant",chinese_restaurant,"https://www.ba-dartucson.com/","live site — crowdsource stub"
keep,"Bar Crisol/Exo",bar,"http://www.barcrisol.com/","alcohol-positive type/name"
keep,"Bashful Bandit Barbecue",barbecue_restaurant,"http://bashfulbanditbbq.com/","alcohol-positive type/name"
keep,"Bay Horse Tavern",bar,"https://www.instagram.com/bayhorsetucson/","alcohol-positive type/name"
keep,"BK Carne Asada & Hot Dogs 12th Ave",taco_restaurant,"http://www.bktacos.com/","live site — crowdsource stub"
keep,"BK Carne Asada & Hot Dogs 1st Ave.",mexican_restaurant,"http://www.bktacos.com/","alcohol-positive type/name"
keep,"Blue Willow Restaurant & Gift Shop",restaurant,"https://www.bluewillowtucson.com/","live site — crowdsource stub"
keep,"Bob's Steak & Chop House",steak_house,"https://bobs-steakandchop.com/tucson/?utm_source=gmblisting&utm_medium=organic","alcohol-positive type/name"
keep,"Borderlands Brewing Sam Hughes",restaurant,"http://borderlandsbrewing.com/","alcohol-positive type/name"
keep,"Brooklyn's Beer & Burgers",restaurant,"https://www.brooklynsbeerandburger.com/","alcohol-positive type/name"
