city,venue,url,reason
santa-cruz,"Achilles by the Sea","https://achillesrestaurant.com/","live site, no alcohol or HH evidence"
santa-cruz,"Aldo's","http://www.aldossantacruz.com/","live site, no alcohol or HH evidence"
santa-cruz,"Bantam","http://bantam1010.com/","live site, no alcohol or HH evidence"
santa-cruz,"Beach Hut Deli","http://beachhutdeli.com/","live site, no alcohol or HH evidence"
santa-cruz,"Betty Noodles","http://bettynoodleusa.com/","live site, no alcohol or HH evidence"
santa-cruz,"Bookie’s Pizza","http://www.bookiespizza.com/","live site, no alcohol or HH evidence"
santa-cruz,"Charlie Hong Kong","http://www.charliehongkong.com/","live site, no alcohol or HH evidence"
santa-cruz,"Chloe’s Kitchen","http://chloeskitchensc.com/","live site, no alcohol or HH evidence"
santa-cruz,"El Hermoso Mar","https://elhermosomar.com/?utm_source=google","site dead/unreachable"
santa-cruz,"Full Steam Dumpling","http://www.fullsteamdumpling.com/","live site, no alcohol or HH evidence"
santa-cruz,"Gabriella Café","http://gabriellacafe.com/","live site, no alcohol or HH evidence"
santa-cruz,"Gobi Mongolian BBQ","https://order.online/business/gobi-mongolian-bbq-12907394","live site, no alcohol or HH evidence"
santa-cruz,"Ibiza","http://ibizasantacruz.com/","live site, no alcohol or HH evidence"
santa-cruz,"Lillian's Italian Kitchen","https://www.lilliansitaliankitchen.com/","live site, no alcohol or HH evidence"
santa-cruz,"M.G. Sushi","https://www.santacruzmgsushi.com/","live site, no alcohol or HH evidence"
santa-cruz,"Mozaic","https://mozaicsantacruz.com/","site dead/unreachable"
santa-cruz,"Nick the Greek","http://www.nickthegreek.com/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp","live site, no alcohol or HH evidence"
santa-cruz,"Pizza My Heart","https://www.pizzamyheart.com/","live site, no alcohol or HH evidence"
santa-cruz,"Pizzeria La Bufala","https://order.online/store/PizzeriaLaBufala-2693693?hideModal=true&pickup=true&utm_source=gmb&utm_countent=website","site dead/unreachable"
santa-cruz,"Pogonip Pizza Co.","https://pogonip.pizza/","parked/placeholder/empty site"
santa-cruz,"Sampa Brazilian Kitchen","https://www.sampabraziliankitchen.com/","live site, no alcohol or HH evidence"
santa-cruz,"Seaside Fish & Chowder (formerly Fisherman's Galley)","https://beachboardwalk.com/food/","live site, no alcohol or HH evidence"
santa-cruz,"Shogun Japanese Restaurant","https://www.toasttab.com/shogun-japanese-restaurant-1123-pacific-avenue","site dead/unreachable"
santa-cruz,"STAGNARO BROS. SEAFOOD, INC.","https://www.stagnarobrothers.com/","live site, no alcohol or HH evidence"
santa-cruz,"Taquería Jalapeños & Pupusería","http://taqueriasjalapenos.com/?utm_source=gmb&utm_content=website","live site, no alcohol or HH evidence"
santa-cruz,"Taquería Santa Cruz","https://taqueriasantacruz.com/","live site, no alcohol or HH evidence"
santa-cruz,"Taquería Vallarta","https://missionst.taqueriavallarta.com/","live site, no alcohol or HH evidence"
santa-cruz,"The Apéro Club","http://www.theaperoclub.com/","parked/placeholder/empty site"
santa-cruz,"The Buzz Sushi","https://order.online/store/the-buzz-sushi-santa-cruz-24131058/?hideModal=true&utm_source=gmb&utm_content=website_btn","site dead/unreachable"
santa-cruz,"The curl bowls & Rolls","https://thecurlbowlsca.com/","live site, no alcohol or HH evidence"
santa-cruz,"The Real Taco","https://therealtacosantacruz.com/?utm_source=google","site dead/unreachable"
santa-cruz,"Toya Sushi","http://www.toyasushi.com/","parked/placeholder/empty site"
spokane,"Atilano’s Mexican Food - Divison/Lincoln","https://atilanosmexicanfood.com/","parked/placeholder/empty site"
spokane,"Atilano's Mexican Food - Downtown","https://www.atilanosmexicanfood.com/","parked/placeholder/empty site"
spokane,"Atilano's Mexican Food - Francis","http://atilanosmexicanfood.com/","parked/placeholder/empty site"
spokane,"Avocado Roll Sushi","http://www.avocadoroll.app/","live site, no alcohol or HH evidence"
spokane,"Bennidito's Pizza | Italian","http://benniditos.com/","live site, no alcohol or HH evidence"
spokane,"Betty Jean's BBQ","https://bettyjeansbbq.podia.com/","parked/placeholder/empty site"
spokane,"Casa de la Birria Spokane","https://casadelabirriaspokanewa.com/","live site, no alcohol or HH evidence"
spokane,"Casa de Oro","https://casadeoronorth.com/","live site, no alcohol or HH evidence"
spokane,"El Comalon Mexican Restaurant","https://order.spoton.com/so-el-comalon-mexican-restaurant-25355/spokane-wa/68d1bbcbe28cad7337b5223d","live site, no alcohol or HH evidence"
spokane,"Hang 10 Hawaiian BBQ & Catering","https://hang10bbq.com/","live site, no alcohol or HH evidence"
spokane,"Indigenous Eats","https://www.iespokane.com/","live site, no alcohol or HH evidence"
spokane,"Kismet","http://www.kismetspokane.com/","live site, no alcohol or HH evidence"
spokane,"Little noodle spokane","https://www.littlenoodlespokane.com/","live site, no alcohol or HH evidence"
spokane,"Los Habaneros","https://sites.google.com/view/loshabanerostaqueria/inicio","live site, no alcohol or HH evidence"
spokane,"Maracas Mexican Grill South Hill","https://maracassouthhill.com/","live site, no alcohol or HH evidence"
spokane,"Mojarra Mia! Mexican Seafood Restaurant","https://mojarramiamexicanseafoodrestaurantwa.com/","live site, no alcohol or HH evidence"
spokane,"Nudo Ramen House","http://www.nudoramen.com/","live site, no alcohol or HH evidence"
spokane,"Pho Thinh","https://phothinhwa.com/","live site, no alcohol or HH evidence"
spokane,"QQ Sushi & Kitchen","https://www.qqsushiandkitchen.com/","live site, no alcohol or HH evidence"
spokane,"Rancho Viejo","http://www.ranchoviejomexican.net/","live site, no alcohol or HH evidence"
spokane,"Red Dragon Northside","https://www.reddragonspokane.com/","live site, no alcohol or HH evidence"
spokane,"Red Dragon Spokane","http://www.reddragonspokane.com/","live site, no alcohol or HH evidence"
spokane,"Rincon Tapatio","https://rincontapatio.net/","live site, no alcohol or HH evidence"
spokane,"Rincón Tapatío","https://rincontapatiomarket.com/","live site, no alcohol or HH evidence"
spokane,"South Hill Grill","http://www.southhillgrillspokane.com/","live site, no alcohol or HH evidence"
spokane,"Tacos El Sol","https://tacoselsolwa.com/","live site, no alcohol or HH evidence"
spokane,"Taco Vado | Mexican","https://tacovado.com/","parked/placeholder/empty site"
spokane,"The Milk Bottle","http://marylous.org/","live site, no alcohol or HH evidence"
spokane,"Tomato Street North Division","https://tomatostreet.com/","live site, no alcohol or HH evidence"
spokane,"Uno Más Tacos & Tequila","https://www.unomastacoshop.com/","parked/placeholder/empty site"
spokane,"Zozo's Sandwich House","http://zozossandwichhouse.com/","live site, no alcohol or HH evidence"
tacoma,"Adela's Authentic Mexican Restaurant","http://orderadelasauthenticmexicanrestaurant.mobile-webview4.com/","live site, no alcohol or HH evidence"
tacoma,"Cuerno Bravo Steakhouse","http://www.cuernobravo.com/","live site, no alcohol or HH evidence"
tacoma,"Dickey's Barbecue Pit","https://www.dickeys.com/locations/Washington/Tacoma/6th-ave","live site, no alcohol or HH evidence"
tacoma,"Ezell's Famous Chicken","https://www.ezellschicken.com/","live site, no alcohol or HH evidence"
tacoma,"Fresh Rolls Fircrest","https://ilovefreshrolls.com/","live site, no alcohol or HH evidence"
tacoma,"Gari of Sushi","http://gariofsushi.com/","live site, no alcohol or HH evidence"
tacoma,"Gyro Bites","https://www.eatgyrobites.com/","live site, no alcohol or HH evidence"
tacoma,"Harbor City Tacoma Restaurant","https://harborcitytacoma.com/","live site, no alcohol or HH evidence"
tacoma,"Indo Asian Street Eatery","http://indostreeteatery.com/","live site, no alcohol or HH evidence"
tacoma,"KIMCHI BOX","https://www.clover.com/online-ordering/kimchi-box-tacoma-2","parked/placeholder/empty site"
tacoma,"Kizuki Ramen & Izakaya (Tacoma Mall)","https://www.kizuki.com/","parked/placeholder/empty site"
tacoma,"LA ILUSION AL CARBON","https://lailusionalcarbonwa.com/","live site, no alcohol or HH evidence"
tacoma,"Manny's Place","http://www.mannysplacetacoma.com/","live site, no alcohol or HH evidence"
tacoma,"Pho Saigon House","http://www.phosaigonhouse.com/","live site, no alcohol or HH evidence"
tacoma,"Side Piece Kitchen","http://www.sidepiecekitchen.com/home","live site, no alcohol or HH evidence"
tacoma,"Sushi Tama Restaurant","http://sushitamarestaurant.com/","live site, no alcohol or HH evidence"
tacoma,"Taquería la Michoacana","https://taquerialamichoacanawa.smartonlineorder.com/","live site, no alcohol or HH evidence"
tacoma,"The Fuzion Cafe","https://fuzioncafe.toast.site/","live site, no alcohol or HH evidence"
tacoma,"Tower Lanes Entertainment Center","https://www.towerlanes.net/","live site, no alcohol or HH evidence"
tacoma,"Vecindad Mexican Restaurant","https://vecindaddeseattle.com/","live site, no alcohol or HH evidence"
tacoma,"VK Viet Kitchen Tacoma","https://vkvietkitchentacoma.com/","live site, no alcohol or HH evidence"
tacoma,"Vuelve a la Vida - Tacoma","http://www.vuelvealavidawa.com/","live site, no alcohol or HH evidence"
tacoma,"Zen ramen & sushi burrito","https://www.cdsmnm.com/ordering/restaurant/menu?restaurant_uid=27a9f737-11ad-4d71-b75a-f8b97abc496d&client_is_mobile=true&return_url=https%3A%2F%2Fwww.zenramenbrothers.com%2F","parked/placeholder/empty site"
tacoma,"Zen Ramen & Sushi Burrito - Downtown Tacoma","http://zenramenbrothers.com/","live site, no alcohol or HH evidence"
