rule,city,state,venue,venue_id,offering_id,name,price_cents,description
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","f5be4566-e05b-4c30-a904-0e487bd74236","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","105f9948-fe1a-4797-a653-3a6febb75f7c","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","571ee412-7160-467b-a194-bb8b8afd77d7","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","9bbb109f-7ffd-41cd-939e-f732028489d7","$15.95","1595",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","de6d5c6f-2e2d-40e4-9133-0505cf57c2c8","$16.95","1695",""
"bare-soft-drink","san-jose","CA","D-D Delight Restaurant","f24c63ba-2c4b-46f0-9fd5-6ccf05250f51","3ff182ea-7e45-469c-ae3e-302464268d84","Coffee","500","Available 9 AM - 12 PM Tuesday - Friday"
"price-as-name","san-luis-obispo","CA","CaliPaso","195152cc-701b-4af2-a19e-b6e1bf2ca4ee","6fa5b750-6b60-4b10-98be-d692ac3e1c97","$22","2200",""
"price-as-name","san-luis-obispo","CA","CaliPaso","195152cc-701b-4af2-a19e-b6e1bf2ca4ee","ea837fdf-720d-4b7a-ba82-950326ac9967","$22","2200",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","2aefa487-dcc4-40a4-9e0b-2c615e1e390e","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","4131befc-d059-4143-8d9c-88c6bec06d63","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","fc51b3ce-4530-4ae7-86b9-565836512f63","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","0e852bac-27d3-449f-b181-2b4db7726345","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","596964f0-991d-4b55-b4b2-554b8bb85163","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","316d93f0-01eb-4871-ae8f-b1448add84ae","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","ce2585f0-31a3-4bfc-8fe3-4a0b0640b5ef","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","3dc5a291-a373-4f6c-8a7b-818a59b62daa","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","44eaa098-13d7-4e2d-9d1d-4465dbc75112","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","9f0be493-7b78-4755-8b21-c0c8f2d443df","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","6707135b-01cd-4f5d-9c62-9e6c3d73a491","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","5e4ea316-bd27-4e47-8da4-a30dcd5b0392","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","f5fc763b-4601-47d4-90cd-192cba6c5996","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","6e60dcd8-e097-4e66-b6e9-8690751bab42","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","da656d23-ce93-45fc-b622-46bbd538722b","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","e3533ca6-0590-4fad-ad5c-7c384756f5b0","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","a7a3b40a-522f-4217-a9d3-00722e45d27a","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","7a44b53e-76c6-4ddd-9185-7dab219dd27d","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","9ea030c4-7418-445e-a4e3-6ed281def7ef","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","49e8e6b2-a8a9-43ee-a736-17469ab4f725","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","a094fac4-0084-4efc-a018-fc5f832ab1ef","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","0646cc27-5ce2-49ed-917c-0159524fbb8b","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","b5a07eea-e59e-48b5-a4db-000c68127fd2","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","719548b6-f2f4-47f3-97fc-4bba9833c211","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","6c5c73f8-7e9a-402e-8d79-df8fd05f0462","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","73388f3c-1a87-419d-afd2-3cac3ff41f3e","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","939f5fd4-62f4-4069-b650-2a0f41e9c4cc","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","92a50bd2-e891-400b-bef4-9747fb0478d5","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","65d339de-3c08-454f-ad53-e43eb632f51c","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","93a0a4d0-9a06-4751-a0c9-a052c25fdee2","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","70cbca97-1591-44d7-8fcc-223b9b4d21d4","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","4876ce0d-4e11-47e8-a38a-aef978782100","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","0daf26b1-34e7-4366-988a-f9ae5c9389f0","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","c28ce1ef-4cd3-4375-beae-57031014f03a","Quick View Deep Dark","1699",""
