name,primary_type,gate_result,rating,reviews,website_url
Claremont Resort & Club,hotel,DROPPED,4.5,2333,http://www.claremontresortandclub.com/
Everett & Jones Barbeque - MacArthur,barbecue_restaurant,DROPPED,3.9,1248,https://eandjbbq.com/
Touch of Soul,soul_food_restaurant,DROPPED,4.1,1220,
Wally's Cafe,lebanese_restaurant,DROPPED,4.7,1086,http://www.wallys.cafe/
Las Palmas Super Burrito,mexican_restaurant,DROPPED,4.3,799,https://laspalmassuperburrito.shop/
Phở Ao Sen Restaurant,vietnamese_restaurant,DROPPED,4.3,762,http://phoaosen.com/
Red Pepper Pizza&Mediterranean Cuisine مطعم يمني,restaurant,DROPPED,4.6,731,http://redpepperpizzaca.com/
Jade Palace,chinese_restaurant,DROPPED,4.1,618,https://jadepalacekitchen.com/
Pho King RESTAURANT,vietnamese_restaurant,DROPPED,4.3,615,https://pho-king.restaurants-world.net/
Fish King,seafood_restaurant,DROPPED,4.4,609,
Casper's,hot_dog_restaurant,DROPPED,4.5,607,http://www.caspershotdogs.com/
Dixon’s,soul_food_restaurant,DROPPED,4.3,605,
Mr. Green Bubble | Oakland,tea_house,DROPPED,4.1,542,http://www.mrgreenbubble.com/
JJ Fish and Chicken,restaurant,DROPPED,3.9,538,https://www.jjfishandchicken.com/oakland-macarthur-ca-restaurant/
Vault Cafe,american_restaurant,DROPPED,4.2,531,http://ordervaultca.com/
Best Coast Burritos,mexican_restaurant,DROPPED,4.2,516,http://order.online/sl/best-coast-burritos-33415/en-US
Shangri-La Vegan On Linden,vegan_restaurant,DROPPED,4.8,501,http://shangri-lavegan.com/
House of Curries,pakistani_restaurant,DROPPED,4.1,455,http://www.houseofcurries.com/
Krispy Krunchy Chicken,chicken_restaurant,DROPPED,3.9,418,https://locations.krispykrunchy.com/ca/oakland/4280-foothill-blvd
1 Seafood & Chicken,seafood_restaurant,DROPPED,4.5,411,https://www.zmenu.com/1-seafood-and-chicken-restaurant-oakland-online-menu/
Charlie's Las Palmas,seafood_restaurant,DROPPED,4.0,376,http://laspalmas.me/
The Fat Fish,fish_and_chips_restaurant,DROPPED,4.1,367,https://order.online/store/the-fat-fish-berkeley-524481/?hideModal=true&pickup=true
Lucky Dragon Cafe,chinese_restaurant,DROPPED,4.3,360,https://luckydragoncafe.menubb.com/
Reina's Restaurant,restaurant,DROPPED,4.2,356,
Thanh Ky Restaurant,chinese_restaurant,DROPPED,4.2,355,
Cybelle's Pizza,pizza_restaurant,DROPPED,4.0,338,https://www.cybellesorder.com/
811 Oakland Event Venue,event_venue,DROPPED,4.3,318,https://www.811parliament.com/
Tasty Szechuan,chinese_restaurant,DROPPED,4.3,313,http://www.tastyszechuanca.com/
Kojokojo Fusion,african_restaurant,DROPPED,4.2,312,https://www.clover.com/online-ordering/kojokojofusion
Roderick's BBQ,restaurant,DROPPED,4.5,307,http://www.rodericksbbq.com/
Montclair Golf Enterprises,sports_club,DROPPED,4.3,258,https://montclairgc.com/
La Parilla Loca,taco_restaurant,DROPPED,4.6,257,https://www.instagram.com/la_parrilla_loca_/
L & S Fish & Chips,seafood_restaurant,DROPPED,4.3,251,
Egg Roll Kitchen,chinese_restaurant,DROPPED,4.3,248,
Kingkong Imperial Restaurant,chinese_restaurant,DROPPED,4.2,238,http://www.kingkongimperial.com/
Ebiko,sushi_restaurant,DROPPED,4.8,228,http://ebikosushi.com/
Rico Sabor Catracho,restaurant,DROPPED,4.2,225,http://orderricosaborcatracho.com/
Humbowl,restaurant,DROPPED,4.7,222,http://humbowleats.com/
Desta Ethiopian Cafe,ethiopian_restaurant,DROPPED,5.0,222,https://destaethiopiancafeca.com/
the cheesesteak shop,american_restaurant,DROPPED,3.9,214,http://www.cheesesteakshop.com/
A-Town Pizza and Kabob House,pizza_restaurant,DROPPED,4.4,214,https://www.atownpizza.com/Default.aspx
Pupusas Salvadorenas,restaurant,DROPPED,3.9,209,
Fikscue Craft BBQ,barbecue_restaurant,DROPPED,4.4,205,https://www.fikscue.com/
Ole Ole Burrito Express,mexican_restaurant,DROPPED,4.0,196,http://oleolebe.com/
Pizza City,pizza_restaurant,DROPPED,3.9,193,
La Chicharronada Colombiana,colombian_restaurant,DROPPED,4.2,188,https://lachicharronadacolombiana.com/
Happy Garden,chinese_restaurant,DROPPED,4.3,183,https://www.smorefood.com/order-online/happy-garden-oakland-94619-jppqwd7s?utm_source=gmb&utm_medium=website
Razzo's Pizza,pizza_restaurant,DROPPED,4.2,182,http://orderrazzospizza.com/
Đà Nẵng Quán Vietnamese Cuisine,vietnamese_restaurant,DROPPED,4.4,182,https://danangquan.net/
