name,slug,website,flags,resolution,active_windows
51 and TEL,51-and-tel,https://51andtel.com/,homepage_sourced_hh,scanned,"{3,4,5} 17:00:00-19:00:00 [https://51andtel.com/]"
9 Julio Empanada Kitchen,9-julio-empanada-kitchen,http://www.9julio.com/,homepage_sourced_hh,scanned,"{1,2,3,4,5} 16:00:00-18:00:00 [http://www.9julio.com/]"
Asmara Restaurant,asmara-restaurant,http://asmararestaurantoakland.com/,homepage_sourced_hh; implausible_active; operating_hours_active,reported,"{2,3,4,5,6,7} 11:30:00-22:00:00 [http://asmararestaurantoakland.com/]"
Bellanico Restaurant and Wine Bar,bellanico-restaurant-and-wine-bar,https://bellanico.net/,homepage_sourced_hh,scanned,"{3,4,5,6,7} 17:00:00-18:00:00 [https://bellanico.net/]"
Boathouse,boathouse,http://boathousealameda.net/,homepage_sourced_hh; implausible_active; operating_hours_active,reported,"{1,2,3,4,5,6,7} 10:00:00-22:00:00 [http://boathousealameda.net/]"
Book Society,book-society,https://www.booksociety.social/,implausible_active; operating_hours_active,reported,"{7} 09:00:00-10:30:00 [https://www.booksociety.social/event-details] || {1,2,3,4,5,6,7} 12:00:00-20:00:00 [https://www.booksociety.social/menu/happy-hour] || {1,2,3,4,5,6,7} 12:00:00-22:00:00 [https://www.booksociety.social/menu/happy-hour] || {1,2,3,4,5,6,7} 12:00:00-18:30:00 [https://www.booksociety.social/menu/happy-hour] || {2,3} 18:00:00-20:00:00 [https://www.booksociety.social/event-proposals]"
Diamonds Sports Bar & Grill,diamonds-sports-bar-grill,https://www.hisuitesoaklandairport.com/diamonds-sports-bar/,assumed_days_avoidable; duplicate_windows; implausible_active; operating_hours_active,reported,"{1,2,3,4,5,6,7} 06:30:00-22:00:00 [https://www.hisuitesoaklandairport.com/diamonds-sports-bar/] || {1,2,3,4,5,6,7} 06:30:00-21:00:00 [https://www.hisuitesoaklandairport.com/diamonds-sports-bar/] || {1,2,3,4,5} 06:30:00-22:00:00 [https://www.hisuitesoaklandairport.com/es/diamonds-sports-bar-1/] || {1,2,3,4,5} 06:30:00-21:00:00 [https://www.hisuitesoaklandairport.com/es/diamonds-sports-bar-1/] || {1,2,3,4,5} 11:00:00-21:00:00 [https://www.hisuitesoaklandairport.com/es/diamonds-sports-bar-1/] || {1,2,3,4,5,6,7} 11:00:00-21:00:00 [https://www.hisuitesoaklandairport.com/diamonds-sports-bar/] || {1,2,3,4,5} 16:00:00-19:00:00 [https://www.hisuitesoaklandairport.com/es/diamonds-sports-bar-1/] || {1,2,3,4,5,6,7} 16:00:00-19:00:00 [https://www.hisuitesoaklandairport.com/diamonds-sports-bar/]"
District Oakland,district-oakland,https://districtoak.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,operating_hours_active,scanned,"{1,2,3,4,5,6,7} 15:00:00-16:00:00 [https://districtoak.com/menus/] || {5,6,7} 16:00:00-close [https://districtoak.com/menus/happy-hour-copy/] || {5,6,7} 17:00:00-close [https://districtoak.com/menus/happy-hour-copy/]"
D.Monaghans On The Hill,d-monaghans-on-the-hill,http://dmonaghansoakland.com/,assumed_days_avoidable; duplicate_windows; implausible_active; operating_hours_active; overlapping_windows,reported,"{2} 15:00:00-18:00:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials] || {1,2,3,4,5} 15:00:00-21:30:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials] || {4} 15:00:00-18:00:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials] || {4,5} 15:00:00-18:00:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials] || {1,2,3,4,5} 15:00:00-18:00:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials] || {4,5} 16:00:00-18:00:00 [https://dmonaghansoakland.com/oakland-d-monaghans-on-the-hill-happy-hours-specials]"
East End,east-end,http://www.eastendalameda.com/,homepage_sourced_hh; operating_hours_active,scanned,"{1,2,3,4,5,6,7} 15:00:00-21:00:00 [http://www.eastendalameda.com/] || {1,2,3,4,5,6,7} 17:00:00-18:00:00 [http://www.eastendalameda.com/] || {1,2,3,4,5,6,7} 17:00:00-21:00:00 [http://www.eastendalameda.com/] || {1,2,3,4,5,6,7} 17:00:00-21:30:00 [http://www.eastendalameda.com/]"
