tag,matched,name,url,snippet,notes
real?,happy-hour,King Yen,https://www.kingyenrestaurant.com/menu/happy-hour,"https://www.kingyenrestaurant.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
real?,happy hour,Perle Bar,https://barperle.com/drinks,"""closed for lunch 5.6, open at 3:00 for happy hour..."",""fontFamily"":""Effra""}]}]} · Menu featuring a variety of beverages at Perle",
real?,Happy Hour,Saucy Oakland,http://www.saucyoakland.com/,"e currently offer Sunday Brunch, Lunch, Happy Hour, Dinner, and Late night. · Our menu is designed with allergens and dietary rest",
real?,happy hour,The Italian Homemade Company,http://www.italianhomemadecompany.com/,"s are allowed outside. They also have a happy hour with beer, wine and spritz specials at 4pm My husband and I love this spot. Thi",
real?,happy hour,Two Pitchers Brewing Company,http://www.twopitchers.com/oakland,"s. It’s the perfect space for a private happy hour, company get together, or birthday bash. $300+/hr, with a two hour minimum. Res",
weak:op-hours-or-nav,2PM-9PM,Almanac West Oakland Clubhouse,https://almanacbeer.com/pages/west-oakland-hours,use HOURS & ADDRESS MON-TUES: 2PM-9PM WEDS-THURS: 12PM-9PM FRI: 12PM-10PM SAT: 11AM-10PM SUN: 11AM-9,
weak:op-hours-or-nav,8AM-4PM,Ashby Eatery,http://www.ashbyeatery.com/,g Hours: Wednesday - Sunday : 8AM-4PM Closed: Mon-Tues Contact: Tel: (510) 529-4125 Email: admin@ash,
weak:op-hours-or-nav,5pm - 2am,AU Lounge,http://www.auoakland.com/,r natural feeling. Tue - Sun: 5pm - 2am Closed Mon & Tues Email us for Corporate Reservations 2430 B,
weak:op-hours-or-nav,30am-3pm,Bacogai,http://bacogai.com/,"| ORDER NOW | GALLERY \ · 11:30am-3pm 5pm - 9:30pm | WEDNESDAY - CLOSED\ \ 2651 BLANDING AVE., ALAM",
weak:op-hours-or-nav,Special,Blackberry Bistro,https://www.blackberrybistrocafe.com/,Where Brunch Meets Something Special French Toast • East African Dishes • Cozy Bistro More Than Jus,
weak:op-hours-or-nav,special,Bombera,https://www.bomberaoakland.com/,"gs, seasonal menu changes and special events. We promise not to overload your inbox! Email Address S",
weak:op-hours-or-nav,special,Cafe Jolie Petit,http://www.cafejolies.com/,"spot, Cafe Jolie. Relive the special No-Hitter he threw this season, hear how a car accident almost",
weak:op-hours-or-nav,special,Calabash,https://calabasheats.com/menu-page/,"or grab-and-go, catering and special events format. Calabash’s local market and hot/cold case featu",
weak:op-hours-or-nav,special,Creekwood Restaurant,https://www.creekwoodrestaurant.com/menu,"clusive events, secret menus, special offers/discounts, loyalty rewards & more! Join for free Small",
weak:op-hours-or-nav,11am-9pm,Degrees Plato Tap Room Bottle Shop & Kitchen,https://www.degreesplato.com/menu/,"nu available Tuesday-Saturday 11am-9pm House Guacamole & Salsas Seasoned with lime juice, serrano pe",
weak:op-hours-or-nav,special,Huangcheng Noodle House 山西刀削面,http://www.huangchengnoodleca.com/,erfect for a casual meal or a special occasion. Order now! Try Now Reviews from Google &#8220;I’d sa,
weak:op-hours-or-nav,daily,Italian Colors Restaurant,https://italiancolorsrestaurant.com/,helter-In-Place Menu [updated daily] 2. Call and place your order [have a credit card ready] 3. Driv,
weak:op-hours-or-nav,12pm–3pm,Joodooboo,http://www.joodooboo.co/,Open Tuesday through Saturday 12pm–3pm Afternoon No Reservations 4:30pm–8pm Evening Last call for lu,
weak:op-hours-or-nav,specials,Kotobuki Japanese Restaurant,https://www.clover.com/pos-solutions/bar-and-lounge,and payroll. Showcase timely specials Simplify your operations with menus by daypart. Manage invent,
weak:op-hours-or-nav,2 PM - 10PM,La Loulou,https://www.laloulouwinebar.com/,3 PM - 9:30PM Friday - Sat : 2 PM - 10PM Sunday : 12PM - 8PM Brunch every Sunday: 12PM - 2PM - Free,
weak:op-hours-or-nav,Specials,Lanesplitter Pizza & Pub,https://www.lanesplitterpizzapub.com/?utm_source=gbp,erages Salads Catering Coupon Specials Side Sauce Lanesplitter Sourdough Square Pizza Create Your Ow,
weak:op-hours-or-nav,4 pm-9pm,Leaning Tower,http://www.leaningtowertogo.com/,1.51.51 PM.png · Hi Friends! 4 pm-9pm Tues-Thur 4pm-10pm Fri-Sat CLOSED Sun & Mon · Monday 9:00am -,
weak:op-hours-or-nav,Special,Lemat Ethiopian Restaurant,https://www.lemateats.com/menu/,ble oil to golden perfection. Special Lemat Salad Tender fresh Green salad handled with care from ga,
