name,amenity,cuisine,website,lat,lng,osm_id
A+ Burger,restaurant,burger,https://aplusburger.menu11.com,37.8484386,-122.2605309,node/6234262918
Addis Ethiopian,restaurant,ethiopian,https://www.addisoakland.com/,37.8474011,-122.2606308,way/474472363
Aisle5,pub,,http://aisle5oakland.com/,37.813062,-122.2467376,node/4957822133
Alma,restaurant,mexican,https://almabarcocina.com,37.8068858,-122.2671281,node/3796540708
Alta Vina,bar,,https://www.altavinawine.com/,37.7966383,-122.2752687,node/4145416870
Artichoke basille's pizza,restaurant,pizza,https://www.artichokepizza.com/,37.8349444,-122.263146,node/6689802908
Aung Myanmar,restaurant,burmese,https://www.aungmyanmarca.com/,37.8018381,-122.275422,node/4172199389
Bab Al-Yemen,restaurant,mediterranean,https://babalyemenrestaurant.com/,37.7276638,-122.2008288,node/12164410970
Baja on Piedmont,restaurant,mexican,https://bajaonpiedmont.com/,37.8261954,-122.2524918,node/4362207189
Banh Mi Ba Le,restaurant,vietnamese;banh_mi,https://banh-mi-ba-le.cafe-inspector.com/,37.7862259,-122.2409377,node/4048796172
Barcote,restaurant,ethiopian,https://barcote.com/,37.8508577,-122.260129,way/1533712728
Barney's,restaurant,burger,https://www.barneyshamburgers.com/,37.8465735,-122.2521416,node/661741623
Basil Pizzeria,restaurant,pizza,https://www.basilpizzeriaoakland.com/,37.8024147,-122.268138,node/694029464
Battambang,restaurant,cambodian,https://battambangoakland.weebly.com/,37.8005182,-122.2733311,node/3933170653
Bay Grape,bar,,https://www.baygrapewine.com/,37.8090331,-122.254876,node/4049329116
Belly,restaurant,mexican;fusion,https://www.bellyrestaurants.com/,37.8437379,-122.2515778,node/10035327837
Belotti,restaurant,italian,https://belottirb.com/,37.8403292,-122.2515146,node/12066566451
Bird & Buffalo,restaurant,,https://birdandbuffalo.net/,37.833989,-122.2633745,node/1395340467
Blind Tiger,restaurant,korean,https://www.blindtigeroakland.com/,37.8156502,-122.2676204,node/4320491281
Blue Nile,restaurant,ethiopian,https://www.bluenilefood.com/,37.8018127,-122.2644119,node/5567592256
Brenda's,restaurant,creole,https://brendasoakland.com/,37.828353,-122.256441,node/8035026234
Burdell,restaurant,southern;soul,https://www.burdelloakland.com/,37.8341405,-122.2628454,way/282119878
Cactus Taqueria,restaurant,mexican,https://www.cactustaqueria.com/,37.8439551,-122.2515734,node/661738479
Cafe Colucci,restaurant,ethiopian,https://cafecolucci.com/,37.8418655,-122.2836165,node/1305397497
Cafe Romanat,restaurant,ethiopian,https://www.cafe-romanat.com/,37.8119619,-122.2483024,node/1057927564
Cam Anh,restaurant,vietnamese;sandwich;deli,https://www.camanhdelirestaurant.com/,37.8002673,-122.2705619,node/3992963271
Cam Huong Deli Restaurant,restaurant,vietnamese,http://www.camhuong.com/,37.7941735,-122.2518762,node/4048796123
Champa Garden,restaurant,lao,http://www.champagardenoakland.com/,37.7981275,-122.244658,way/276922668
Chuan Yu,restaurant,chinese;szechuan,https://www.chuanyuca.com/,37.8005576,-122.2714993,node/12644246317
Citizen Pizza,restaurant,pizza,https://www.citizenpizzacompany.com/,37.7960406,-122.2715725,node/12586009675
Classic Cars West Beer Garden,bar,,https://classiccarswestbeergarden.com/,37.8149267,-122.2665054,way/668190035
Classic Gullin Rice Noodles,restaurant,,https://fencuisine.com/,37.7992245,-122.2665663,node/12155647219
Comfort Collective,restaurant,,https://www.eatdrinkcomfort.com/,37.8046486,-122.271174,node/9804944034
DesiLicious,restaurant,pakistani,https://www.desiliciousfoodcompany.com/,37.8056817,-122.2742868,node/11401490567
drink thicc,restaurant,smoothies;juice,https://www.drinkthicc.com/,37.8133002,-122.264391,node/13479755085
Enoteca Molinari,restaurant,italian,https://enoteca-molinari.com/,37.8419194,-122.2513825,node/4171889947
Enssaro,restaurant,ethiopian,http://www.enssaro.com,37.808753,-122.255772,node/2611512770
Eve's Waterfront,restaurant,,https://www.eveswaterfront.com/,37.7901228,-122.2700227,way/277942124
Everett and Jones Barbecue,restaurant,barbecue,https://eandjbbq.com/,37.7877445,-122.1954043,node/2376639047
Everett and Jones BBQ,restaurant,barbecue,https://eandjbbq.com/,37.7957075,-122.2761408,way/37019665
Fatto a Mano Alimentari,restaurant,italian,https://fattoamanoalimentari.com/,37.8145713,-122.2920747,node/12875957901
Fentons Creamery,restaurant,ice_cream;american;burger;hot_dog,https://www.fentonscreamery.com/oakland-american-restaurant,37.8279243,-122.2499776,way/104437305
Fort Point,bar,,https://fortpointbeer.com/,37.8505446,-122.2525499,node/3509555153
Geta Sushi,restaurant,japanese,https://getapiedmont.com/,37.8266002,-122.2529749,way/1085833976
Ghost Town Brewing - Laurel,pub,american,https://www.ghosttownbrewing.com/,37.7936277,-122.200334,node/6432911508
Gold Palm,restaurant,pakistani,https://www.instagram.com/goldpalmoakland/,37.8081974,-122.269705,node/346553019
Guilin Rice Noodle,restaurant,chinese,https://www.guilinricenoodles.com/,37.7990927,-122.2735394,node/13958634994
Homeroom,restaurant,american,https://homeroom510.com/,37.8285776,-122.259909,node/1186424529
Homeroom To Go,restaurant,,https://www.homeroom510.com,37.828745,-122.2609061,node/4595464348
Imperial Soup,restaurant,chinese,https://www.imperialsoupoakland.com/,37.7989827,-122.271739,node/3990935839
Judoku Sushi,restaurant,japanese;sushi,https://www.judokusushi.com/,37.8387985,-122.251498,node/4432132398
Kamdesh Afghani Kabab House,restaurant,afghan,http://orderkamdeshafghankababhouse.com/,37.8034713,-122.2682929,way/91963416
Khatan Sushi,restaurant,sushi,https://www.khatansushi.com/,37.8035808,-122.268878,node/4320499686
Kingston 11 Cuisine,restaurant,jamaican,https://kingston11eats.com/,37.8122959,-122.268678,node/3796571716
Kitava Kitchen,restaurant,,https://www.kitava.com,37.8280569,-122.2589998,node/13984561902
Korner Kitchen and Bar,restaurant,,https://www.korneroakland.com/,37.775575,-122.2267032,node/11920660568
Laughing Buddha,restaurant,chinese,https://www.laughingbuddhaoakland.com/,37.8234057,-122.2561512,node/5827923107
Lazeez Kitchen,restaurant,middle_eastern,https://lazeezkitchen.com/,37.8202396,-122.267062,node/3999452694
Lois the Pie Queen,restaurant,breakfast,https://loisthepiequeen.com,37.8447664,-122.2729433,node/2640329005
Lounge Chinatown,restaurant,chinese,https://www.loungechinatown.com/,37.7995898,-122.27185,node/3988389209
Lucky Three Seven,restaurant,filipino,https://lucky-three-seven.com/,37.7931317,-122.2188739,node/12495151801
Mägo,restaurant,,https://www.magorestaurant.com/,37.8233458,-122.256232,node/5827923052
Mama's Royal Cafe,restaurant,,https://mamasroyalcafeoakland.com/,37.8277807,-122.2563472,node/1305027924
Marufuku Ramen,restaurant,ramen,https://www.marufukuramen.com/,37.8350931,-122.2626646,node/4511344232
Mẹ Và Con Vietnamese Kitchen,restaurant,vietnamese,https://www.mevacon.info/,37.8474783,-122.2611505,way/474471311
Mela Bistro,restaurant,ethiopian,https://melabistro.com/,37.8112979,-122.265953,node/9713134977
Merchant's,bar,,http://www.merchants-saloon.com/,37.7955009,-122.2754053,node/430549990
Ming's Tasty Restaurant,restaurant,chinese;dim_sum,https://www.mingstastyres.com/,37.8004405,-122.2704563,node/10988309657
Monaghan's on the Hill,restaurant,,http://www.monaghansoakland.com/,37.8118332,-122.1981801,way/402819003
Monk's Kettle,restaurant,,https://www.monkskettle.com,37.8421334,-122.2514072,node/12337700310
Monster Phở,restaurant,vietnamese,https://www.monsterpho.com/,37.8282826,-122.2579501,node/6058523910
Mountain Mike's,restaurant,pizza,http://www.mountainmikespizza.com/,37.8269275,-122.209567,node/246738079
Mountain Mike's,restaurant,pizza,https://www.mountainmikespizza.com/locations/oakland-telegraph/,37.8357407,-122.2622595,node/6689810295
Mujiri,restaurant,sushi,https://mujiri-oakland.com/,37.8482344,-122.28564,node/4332528879
Nick's Pizza,restaurant,pizza,http://oaklandstylepizza.com/,37.8496832,-122.2653978,node/3167010067
Nidos' Backyard,restaurant,,https://www.backyardoakland.com/,37.791848,-122.2678438,node/7034068605
Oakland Athletic Club,bar,,https://www.oaklandathleticclub.com/,37.8112834,-122.265648,node/1186358469
Oakland United Beerworks,pub,,https://oaklandunitedbeerworks.com/,37.7945171,-122.2719943,node/8400170781
Off the Hook Seafood & Super Burritos,restaurant,mexican;barbecue,https://www.yelp.com/biz/off-the-hook-oakland,37.8143904,-122.2681778,node/311252180
Ok's Deli,restaurant,deli;sandwich,https://oksdeli.com/,37.8289183,-122.264333,node/10891964589
Open Test Kitchen,restaurant,,https://oaklandbloom.org/programs/,37.8010652,-122.2755671,node/9098744909
Ordinaire Wine Shop & Wine Bar,bar,,https://ordinairewine.com,37.8135625,-122.246435,node/4432119635
Pagarung Thai Cuisine,restaurant,,http://www.pagarungthai.com/,37.8258112,-122.2086106,node/12631500096
Paulista Brazilian Kitchen & Taproom,restaurant,brazilian,http://paulista510.com/,37.8077531,-122.2221414,way/269778424
Pho 84,restaurant,vietnamese,http://pho84.com/,37.8059022,-122.2675603,node/1068562672
Pho King Noodle House,restaurant,vietnamese,https://www.yelp.com/biz/pho-king-oakland-3,37.7946054,-122.252372,node/4015832253
Phosho Dough,restaurant,vietnamese,https://www.instagram.com/phoshodough/?hl=en,37.8521025,-122.2604607,node/8033128382
Pizza Factory,restaurant,,https://www.pizzafactory.com/oakland/,37.7711423,-122.1914764,node/13746715356
Pomet,restaurant,,https://pomet-oakland.com/,37.8259856,-122.2532003,node/8883598813
Pyeong Chang Tofu House,restaurant,korean,https://www.pctofu.com/,37.8344662,-122.263244,node/430531276
Q's Lounge,bar,,https://www.eandjbbq.com/pages/events,37.7957597,-122.2760559,node/10897723827
Ramen Shop,restaurant,ramen,https://www.ramenshop.com/,37.8463581,-122.2518308,node/4042449458
Redfield,bar,,https://www.redfieldcider.com/,37.8464488,-122.252115,node/4071325239
Reem’s Jack London Square,restaurant,arab;bakery,https://www.reemscalifornia.com/visit,37.7944524,-122.2749495,node/1297709383
Rico Rico Taco,restaurant,mexican,https://www.ricoricotaco.com/,37.8103215,-122.2458514,node/3711137990
Round Table Pizza,restaurant,pizza,https://www.roundtablepizza.com/location/979/,37.8368563,-122.2636221,node/6691387319
Ruth's Buka,restaurant,nigerian;african,https://ruthsbuka.com/,37.7727729,-122.2017552,node/7246005845
Saints Smokehouse,restaurant,barbecue,https://www.saintssmokehouse.com/,37.8015226,-122.2657921,node/13307429770
Seoul Gom Tang,restaurant,korean;soup,https://seoulgomtang.co/,37.826813,-122.2653465,node/5585555520
Sequoia Diner,restaurant,american,https://www.sequoiadiner.com/,37.7917729,-122.1991691,way/236495070
Shan Dong Restaurant,restaurant,chinese,http://places.singleplatform.com/shan-dong-restaurant/menu,37.8005856,-122.270074,node/1037998385
Shangri-La Vegan,restaurant,,https://shangrilavegantelegraph.com/,37.8359536,-122.262808,node/5305430776
Shapeshifters Brewery,pub,,https://shapeshiftersbrewery.com/,37.7990074,-122.278143,node/13578220785
Shawarmaji,restaurant,middle_eastern,https://www.theshawarmaji.com/,37.8106675,-122.266424,node/3245551829
Shewhat Cafe,restaurant,ethiopian;eritrean;east_african,https://www.shewhatcafe.com/,37.8466997,-122.2655997,node/9078253244
Sideshow Kitchen,restaurant,american;burger;fried_chicken,https://sideshowkitchen.com/,37.8437993,-122.276803,node/9312480004
Sirene,restaurant,seafood,https://sirene-oak.com/,37.8128218,-122.2467503,way/332231332
Sláinte Pub & Grub,pub,irish,https://slainteoakland.com/,37.7960068,-122.2766234,node/430548096
Soba Ichi,restaurant,japanese;soba,https://sobaichioakland.com,37.8170343,-122.2850254,way/362486777
Souley Vegan,restaurant,,https://www.souleyvegan.com/,37.7956054,-122.276927,node/3771489555
Southie,restaurant,american,https://www.southieoakland.com/,37.8505797,-122.2525538,node/7472172085
Spices 3!,restaurant,chinese;szechuan,https://spices3-oakland.com/,37.8023219,-122.2701221,node/3796482766
