name,amenity,cuisine,website,lat,lng,osm_id
Akebono,restaurant,japanese,www.AkebonoJapaneseRestaurant.com,38.5297041,-121.4963983,node/9567393985
Andy Nguyen's Vegetarian,restaurant,,https://andynguyensvegetarian.com/,38.5602716,-121.4867252,node/9669162812
Biba,restaurant,italian,https://www.biba-restaurant.com/,38.5706207,-121.4703519,node/3284627560
Block Butcher Bar,pub,,https://blockbutcherbar.com/,38.5759367,-121.4804401,node/2854230060
Bottle & Barlow,bar,,https://bottleandbarlow.com/,38.5706054,-121.4951743,node/9879294017
Buckhorn Grill,restaurant,barbecue,https://buckhorngrill.com/,38.5808133,-121.4868231,node/12876026589
Buddha Bowls + Rolls,restaurant,asian;sandwich,https://www.buddhabowlsandrolls.com,38.5806453,-121.4864782,node/12876062914
Burger Lounge,restaurant,american;burger,https://www.burgerlounge.com/,38.5817678,-121.5013652,node/11482187669
Burger Town,restaurant,burger,http://www.burgertown-sac.com/,38.5755164,-121.4806364,node/5595541536
Cajun Madness,restaurant,american,https://www.cajunmadness.net/,38.5165058,-121.4380209,node/6653023725
Camp Cove,restaurant,australian,https://www.eatcampcove.com,38.5733458,-121.4899321,node/13683487639
Dumpling & Tea House,restaurant,asian,http://dumplingteahouse.com,38.5502864,-121.489402,node/13868926401
El Novillero,restaurant,mexican,https://www.elnov.com/,38.5364403,-121.474879,node/13375140201
El Rincon Méxican Restaurant,restaurant,mexican,http://elrinconmexfood.com/,38.5616336,-121.4703597,node/6300193661
Ella Dining Room and Bar,restaurant,,https://elladiningroomandbar.com,38.5787044,-121.4914495,node/13683847156
Ernesto's,restaurant,mexican,https://www.ernestosmexicanfood.com/,38.5679784,-121.4893389,way/461653160
Famous Pizza,restaurant,pizza,http://slicelife.com,38.5506498,-121.4892117,node/5072646698
Fanny Ann's Saloon,restaurant,burger,https://www.fannyannsaloon.com/,38.5823464,-121.5042814,node/3382505781
Federalist Pizza,restaurant,pizza,https://federalistpizza.com/,38.5725413,-121.4811918,way/980159804
Fieldwork,pub,,https://fieldworkbrewing.com/sacramento/,38.5741332,-121.483565,node/7659410985
Fuji Sacramento,restaurant,japanese,https://www.fuji-sacramento.com/,38.5629587,-121.496479,node/5756910441
Hidden Dumpling House,restaurant,chinese;bubble_tea,https://www.hiddendumplinghousemidtown.com,38.5673065,-121.471868,node/11533201688
Hot off the griddle,restaurant,american;breakfast,https://hotg.net/,38.6133372,-121.4954441,node/13702800801
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/ca/sacramento/breakfast-3800-northgate-blvd-1717,38.6378767,-121.476736,node/2062512030
Jensai Sushi,restaurant,sushi;ramen,https://www.jensaisushisac.com/,38.5646434,-121.4913458,node/5780635886
Journey to the Dumpling,restaurant,chinese,https://journeytothedumpling.com/,38.5685036,-121.4822581,node/13396896801
Ju Hachi,restaurant,japanese,https://juhachisacramento.com,38.5673808,-121.4871208,node/9374258600
Juju,restaurant,tapas,https://www.jujukitchenandcocktails.com/,38.576397,-121.4872842,node/11144549210
