name,amenity,cuisine,website,lat,lng,osm_id
1015 Folsom,bar,,https://www.1015.com/,37.7780519,-122.4056995,way/260241908
111 Minna Gallery,bar,,https://www.111minnagallery.com/,37.7874657,-122.3993218,node/4425675189
1428 Haight,restaurant,american,https://1428haight.com/,37.7703712,-122.445975,way/253224305
15 Romolo,pub,,https://www.15romolo.com/,37.7982178,-122.4063692,node/366713190
21st Amendment Brewery,pub,,https://21st-amendment.com/,37.782448,-122.3925769,node/344975908
58 Social,bar,,https://www.publichousesf.com/,37.7778936,-122.3910462,node/2240869184
ABSteak,restaurant,steak_house,https://absteaksf.com/,37.7855563,-122.4083525,node/1674110549
Abu Salim Middle Eastern Grill,restaurant,middle_eastern,https://www.abusalimsf.com/home,37.7697111,-122.4484122,node/1983510725
Agrodolce Provisions,restaurant,italian,https://agrodolcesf.com/,37.7722938,-122.4076318,way/219783467
Aiso,restaurant,,https://www.welcometoaiso.com/,37.7611065,-122.4342444,node/7671115301
Akari Japanese Bistro,restaurant,japanese,https://www.akari-japanese.com/,37.7756417,-122.4088475,way/251379303
Akiko's,restaurant,sushi,http://akikosrestaurant.com/,37.7905795,-122.4046791,node/4143689799
Akiko's Sushi Bar,restaurant,sushi,https://akikossushibar.com/,37.7887156,-122.410067,node/621818322
Akira,restaurant,japanese,https://akirasf.com/,37.7883152,-122.4241,node/4927794705
Alegrias Food from Spain,restaurant,,https://www.alegriassf.com/,37.8001749,-122.434791,node/9657382469
Anchor Oyster Bar,restaurant,seafood,http://anchoroysterbar.com,37.7596972,-122.4347474,node/2321299142
Andina,restaurant,sandwich;venezuelan,https://andinasf.square.site/,37.7762284,-122.421581,node/12356353509
Angie's,restaurant,pizza,http://angiespizzasf.com/,37.76486,-122.4248697,node/4412503666
Anton's Falafel House,restaurant,lebanese,https://www.antonsfalafelhouse.com/,37.7752247,-122.4100116,node/4742267441
Aoba,restaurant,sushi;japanese,https://www.sushiaoba.com/,37.7868708,-122.428257,node/9673465967
apizza,restaurant,pizza,https://www.apizzaforeveryone.com/,37.7885012,-122.4339278,node/9254580051
Aramex,restaurant,,https://www.aramexrestaurantinc.com,37.7646312,-122.419828,node/4117790309
Art's Cafe,restaurant,korean;american;breakfast;burger,https://www.sfartscafe.com/index.php,37.7639267,-122.466023,node/1976983015
As Quoted,restaurant,brunch;american;salad;sandwich,https://www.eatasquoted.com/,37.7874179,-122.4522343,node/5810841507
Asa Sushi,restaurant,sushi,http://www.asasushisf.com/,37.799938,-122.4422747,node/416683850
AsiaSF,restaurant,asian,https://asiasf.com/,37.7750033,-122.4129676,node/1275243849
Atlas Tap Room,pub,american,http://www.atlastaproom.com/,37.7878983,-122.4001637,node/1320562876
Aunt Charlies Lounge,bar,,https://www.auntcharlieslounge.com/,37.7830303,-122.4113803,node/11699777854
Ay Caray Taqueria,restaurant,mexican,https://www.instagram.com/taqueriaaycaray/,37.7257894,-122.4338139,node/13956116296
Aydea,restaurant,tatar;russian,https://aydeasf.com,37.7800429,-122.481678,node/4618133795
Bacon Bacon,restaurant,bacon;breakfast;cookie;burrito,https://baconbaconsf.com,37.7670957,-122.446583,node/7876589380
Bageletto,restaurant,bagel,https://bageletto.com,37.7688248,-122.4150413,node/13256223401
Baiano Pizzeria,restaurant,,https://www.baianopizzeria.com/,37.7742299,-122.4223226,node/9655240383
Balancoire,bar,,http://balancoiresf.com,37.7561254,-122.4184756,node/4467802664
Bamboo Asia,restaurant,asian,http://www.eatatbamboo.com/,37.7897612,-122.402286,node/3186093217
Bar Agricole,bar,,https://baragricole.com/,37.7712823,-122.4130526,node/1806978712
Bar Fluxus,bar,,https://www.barfluxus.com/,37.7902514,-122.4049416,node/4839978312
Bar None,bar,,https://sfbarnone.com/,37.797663,-122.4319104,node/4987099522
