name,amenity,cuisine,website,lat,lng,osm_id
Bang the Drum Brewery,pub,bakery,https://bangthedrumbrewery.com/,35.263896,-120.645612,node/8368881182
Cerro Caliente Cellars,bar,,https://cerrocalientecellars.com/,35.2584052,-120.6443862,node/5305551270
High St Deli,restaurant,sandwich,https://www.highstdeli.com/,35.2723177,-120.6644742,way/45630209
Lincoln Market & Deli,restaurant,,http://lincolnmarketanddeli.com/,35.2848965,-120.6685755,way/45597012
Old San Luis BBQ Co,restaurant,barbecue,https://oldsanluisbbq.com/,35.2511856,-120.6425942,way/45221714
Poke Chef,restaurant,sushi;poke,http://www.thepokechef.com/,35.2907723,-120.6593708,node/10195974704
Apple Farm,restaurant,american,,35.2902609,-120.649381,node/3857193102
Benjamin Franklin's,restaurant,sandwich,,35.2738912,-120.6692862,way/45595327
Budget Cafe,restaurant,,,35.257801,-120.668087,node/3278610661
Central Coast Brewing,pub,,,35.2857943,-120.6556696,node/4915202339
Coya Peruvian,restaurant,peruvian,,35.2786145,-120.6588559,node/11378760049
Del Monte Cafe,restaurant,,,35.2741636,-120.6563814,way/45596564
Frank's Famous Hot Dogs,restaurant,american;hot_dog,,35.2864863,-120.6547008,way/45598216
Gus's Grocery,restaurant,sandwich,,35.2767148,-120.656643,node/932573584
Kumi-Ko Japanese,restaurant,japanese,,35.251034,-120.644123,node/2407226170
Pizza Republic,restaurant,pizza,,35.250135,-120.643562,node/12206368063
San Luis Fish BBQ,restaurant,,,35.2764032,-120.6668638,node/4915195854
SLO Brew Rock,pub,american;burger,,35.2416954,-120.640878,way/805562184
Tacos de Mexico,restaurant,mexican,,35.288098,-120.6643871,way/45594006
