name,amenity,cuisine,website,lat,lng,osm_id
Aji Limo,restaurant,peruvian,https://www.caprinos.com,37.5190025,-122.277305,node/1312467595
Attic,restaurant,asian,https://atticrestaurant.com/,37.5658335,-122.3230076,node/2452609224
Belmont Deli,restaurant,,https://belmontdelico.com/,37.51966,-122.2770776,node/13433487107
Cafe Bliss,restaurant,,http://cafeblissbelmont.com/,37.5120511,-122.2930813,way/341923036
Cafe Tsui Wah (翠華茶餐廳),restaurant,chinese,www.cafetsuiwah.com,37.5449166,-122.2853834,way/392014576
Caffé Central,restaurant,coffee_shop,https://www.caffecentral.com/burlingame-menu,37.5781369,-122.3481792,way/237813584
Central Park Bistro,restaurant,,https://www.centralparkbistro.com/,37.5642091,-122.3228414,way/237353905
Chan Wei Bistro,restaurant,,https://www.chanweibistroca.com/,37.5546929,-122.3109496,way/387072127
Daeho Kalbijjim and Beef Soup,restaurant,korean,http://www.daeho-kalbijjim.com,37.5660902,-122.3237881,node/13991036101
Dahlia Mexican Grill,restaurant,mexican,https://www.dahliamexicangrill.com/,37.5662933,-122.3234643,node/8428072926
Daiki Sushi,restaurant,japanese;sushi,https://daikisushi.com/,37.5478332,-122.3089975,node/6861293085
Dumpling Kitchen & Bar,restaurant,,https://dumplingkitchenbar.kwickmenu.com/,37.5791831,-122.3459888,node/12572783479
Elia,restaurant,greek,https://www.eliarestaurants.com,37.5050467,-122.2591761,node/12497441000
Esposto's Borel Deli,restaurant,deli,http://www.espostos.com/,37.5503788,-122.313867,node/5771526703
Fieldwork Brewing Company,biergarten,,https://fieldworkbrewing.com,37.5410559,-122.298966,node/4851042475
H.L. Peninsula Pearl,restaurant,chinese,https://www.hlpeninsula.com/pearl,37.5995057,-122.3664993,way/30408350
Honey Berry,restaurant,,https://www.facebook.com/HoneyBerrySanMateo,37.5640471,-122.3229286,node/2453806737
iGuey,restaurant,mexican,https://igueytaqueria.com/,37.4965102,-122.2480216,way/116789901
Kajiken,restaurant,japanese,https://kajikenusa.com,37.5667655,-122.3239868,node/11112724717
King Chuan,restaurant,chinese,https://www.kingchuanchinese.com/,37.506813,-122.2613122,node/8334886019
La Corneta,restaurant,mexican,https://lacorneta.com/,37.5792341,-122.3459001,node/12572783480
Le Croissant Café,restaurant,breakfast;brunch;french,http://www.lecroissantcafe.com/,37.5866371,-122.3640967,node/3145881293
Little China Kitchen,restaurant,chinese,https://www.littlechinakitchen.com/,37.5653055,-122.3229861,node/2452609235
Little Shanghai,restaurant,chinese,https://lshfood.wixsite.com/lshfood/menu,37.5449784,-122.3053422,node/6505131562
Lulu's,restaurant,mexican,https://www.lulusmexicanfood.com/,37.5027536,-122.256892,node/12770919992
Meet Fresh,restaurant,taiwanese,https://www.meetfresh.us/,37.5657445,-122.322354,node/2452609230
New York Pizza,restaurant,pizza,https://newyorkpizza.biz/,37.5661634,-122.3228373,node/2452609237
North Beach Pizza,restaurant,pizza,https://www.northbeachpizzamenu.com/,37.5653102,-122.3224295,node/2453851667
Nursel,restaurant,central_asian,https://nurselcuisine.com,37.5077773,-122.2594129,node/13482573085
O'Neill's Irish Pub,pub,,https://www.oneillssanmateo.com/,37.5671059,-122.3243973,node/2452206222
Ox 9 Lanzhou Hand Pulled Noodles,restaurant,chinese;noodle,https://www.39miles.com/z/09688759,37.5676271,-122.3245099,node/12130997817
Pancho Villa Taqueria,restaurant,mexican,https://smpanchovilla.com/,37.5650552,-122.3216036,way/237502763
Pizza My Heart,restaurant,pizza,http://pizzamyheart.com/Pizza_My_Heart_Locations.html#SanMateo,37.5637557,-122.322686,node/2455032290
Pokeatery,restaurant,hawaiian,https://www.pokeatery.com/,37.5646287,-122.3212522,node/5773831094
Porterhouse,restaurant,,https://porterhousesanmateo.com,37.563532,-122.3245154,node/5217515425
Pranzi,restaurant,,https://www.pranzisc.com/,37.5043831,-122.2583205,node/12688703723
Rangoon Ruby,restaurant,burmese,https://rangoonruby.com/,37.5052332,-122.2598967,node/4033408607
Ravioli House,restaurant,italian,https://theraviolihouse.com/,37.564035,-122.3206059,node/5773787753
Restaurant Bay Watch,restaurant,,http://www.restaurantbaywatch.com/,37.5659629,-122.3239719,node/2452609338
Ryoshin Sushi,restaurant,sushi,https://ryoshinsushi.com/,37.5142875,-122.269014,node/1160497033
SAJJ Mediterranean,restaurant,mediterranean,https://www.sajjstreeteats.com/location/san-mateo/,37.5654731,-122.322721,node/6645545183
Shabuway,restaurant,japanese,https://www.shabuway.com/,37.5646262,-122.3239301,node/2452609340
Spasso,restaurant,italian;mediterranean,https://spassosc.com/,37.5044389,-122.2583812,node/8526620223
Stamp Bar & Grill,restaurant,american;italian,https://www.stampbarandgrill.com/,37.504346,-122.258249,way/385954459
