name,amenity,cuisine,website,lat,lng,osm_id
Anchor Rose,restaurant,seafood,https://www.theanchorrose.com/,34.4040016,-119.6937663,node/13330624763
Apertivo Wine Bar,restaurant,,https://www.aperitivosb.com/,34.4164695,-119.6957048,node/8789936317
Asie Dumpling House,restaurant,asian,https://www.asierestaurant.com/,34.416844,-119.696258,node/6070264453
Aura,restaurant,seafood,https://www.aurasb.com/,34.4170252,-119.6960526,node/13333058045
Backyard Bowls,restaurant,açaí,https://www.backyardbowls.com,34.43893,-119.749201,node/13254929935
Barbieri & Kempe,bar,,https://barbieriwines.com/wine-tasting-room-santa-barbara/,34.4230522,-119.703451,node/11732274903
Bluewater Grill,restaurant,,https://www.bluewatergrill.com/location/santa-barbara/,34.4127264,-119.6888916,node/6732391285
Bouchon,restaurant,,https://www.bouchonsantabarbara.com/,34.4240608,-119.7058486,node/7108513485
Brass Bear Brewing,bar,,https://brassbearbrewing.com/,34.413981,-119.6888259,node/6426948585
Broad Street Oyster Company,restaurant,seafood,https://www.broadstreetoyster.com/santa-barbara-seafood,34.4164592,-119.6946775,node/13333174653
Bruxie,restaurant,chicken,https://www.bruxie.com/location/santa-barbara-ca/,34.4192199,-119.6999292,node/11732422918
Ca'Dario Ristorante,restaurant,italian,https://www.cadariorestaurants.com/santa-barbara,34.4253661,-119.7048602,node/13472372335
Casa Comal,restaurant,mexican,https://www.casacomalcocina.com/,34.4168932,-119.6958857,node/13333081612
Chad’s,restaurant,breakfast,http://www.chadscafe.com,34.4099947,-119.6922945,way/505832540
Char West Fish & Chips,restaurant,fish_and_chips;fish;brunch;breakfast,https://stearnswharf.org/member/char-west/,34.4097879,-119.6854727,node/1521699527
Coast & Olive,restaurant,,https://www.coastandolive.com/,34.4213874,-119.6406997,node/11902352898
Costa Terraza,restaurant,,https://flysba.santabarbaraca.gov/terminal/dine-shop,34.4248587,-119.836461,node/9749849037
Draughtsmen Aleworks,pub,,https://www.draughtsmenaleworks.com/,34.4230648,-119.7042848,node/11732274906
El Sitio,restaurant,mexican,https://www.elsitiorestaurantsb.com/,34.4370293,-119.7258562,node/13322315429
Farmer Boy,restaurant,breakfast;brunch,https://www.farmerboy.com/,34.4400237,-119.7373412,node/12334930784
Fresco at the Market,restaurant,,https://www.fresco-sb.com/,34.4234831,-119.7068599,node/13877323235
Goat Tree,restaurant,,https://www.hotelcalifornian.com/goat-tree.htm,34.4134936,-119.6906875,node/10297551181
Goleta Spot,restaurant,,https://www.thegoletaspot.com/,34.4335164,-119.8353994,node/13906354552
Hana Kitchen,restaurant,chinese;chicken,https://www.hanakitchen.com/,34.4168496,-119.6958222,node/4898453222
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/ca/santa-barbara/breakfast-1701-state-st-781,34.4279962,-119.7111691,node/4903112322
John Dunn Gourmet Dining Room,restaurant,,https://sbcc.edu/dining/gourmet.php,34.4056435,-119.6968871,way/921141161
JSB Cafe,restaurant,american,https://data.sbcc.edu/dining/jsbcafe.php,34.4057217,-119.6969412,way/487498598
La Super-Rica,restaurant,mexican,https://www.superricataqueria.com/,34.4280989,-119.6871135,node/6240785685
Lilly's Taqueria,restaurant,mexican,https://www.lillystacos.com/,34.4142917,-119.6944701,node/2503392823
Lucky Penny,restaurant,pizza;italian,https://www.luckypennysb.com/,34.4146457,-119.6902303,node/13513466513
Maíz Picante,restaurant,mexican,https://www.maizpicante.com/,34.4360301,-119.7255046,node/13323706539
Manifattura,restaurant,italian,https://www.manifatturasb.com/,34.4161178,-119.6948635,node/13330624764
Mezza Thyme,restaurant,lebanese,https://www.mezzathyme.com/,34.4182597,-119.6960624,node/12863752801
Mizza,restaurant,italian,https://www.mizzasb.com/,34.4228369,-119.7034648,node/9733659320
Mizza,restaurant,italian,https://www.mizzasb.com/,34.4232742,-119.7032363,node/11732274896
Mosaic Locale,bar,,https://www.mosaiclocale.com/,34.4229691,-119.7043421,node/13472847842
Mother Stearns Candy Company,restaurant,candy,https://stearnswharf.org/great-pacific/,34.4098682,-119.6856346,node/11035039439
Panino,restaurant,sandwich,https://www.eatpanino.com/,34.4225107,-119.6516911,node/12626305354
ParadICE Hawaiian Shave Ice & Ice Cream,restaurant,ice_cream,https://www.paradiceshaveice.com,34.4192242,-119.699578,node/7799703603
Petit Valentien,restaurant,french;ethiopian,https://www.petitvalentien.com/,34.4229692,-119.7030159,node/11732274894
Petrini's Family Restaurant,restaurant,italian,https://petrinis.com/,34.4398532,-119.7283241,node/13958696507
Presto Pasta,restaurant,italian,https://prestopasta.com/,34.4369164,-119.7260187,node/13948551523
Que West Coast BBQ,restaurant,barbecue,https://www.quesmokeshack.com/,34.4235695,-119.7070097,node/13877323234
Rascals,restaurant,mexican,https://www.rascalsvegan.com/,34.421823,-119.6899679,node/13700216927
Rudy's Mexican,restaurant,mexican,https://www.rudys-mexican.com/,34.4225063,-119.6983143,node/8181306833
Rusty's Pizza Parlor,restaurant,pizza,https://www.rustyspizza.com/,34.4401094,-119.7435063,node/13321327921
Rusty's Pizza Parlor,restaurant,pizza,https://www.rustyspizza.com/,34.4185399,-119.7053559,way/234946346
Santa Barbara Pizza House,restaurant,pizza,https://www.sbpizzahouse.com/,34.4171528,-119.6962217,node/13333076075
Seoulmate Kitchen,restaurant,korean,https://www.seoulmatekitchen.com/,34.4237242,-119.7072889,node/13847806275
Shalhoob Meat Co.,restaurant,,https://shalhoob.com/funk-zone-location,34.4163373,-119.6904828,node/13513466514
Shoreline Beach Cafe,restaurant,seafood,https://shorelinebeachcafe.com/,34.402622,-119.6978861,way/339159560
Silvers Omakase,restaurant,sushi,https://www.silversomakase.com/,34.415204,-119.691757,way/623255721
Soho Restaurant & Music Club,restaurant,,https://www.sohosb.com/,34.4235487,-119.7057009,node/7079049585
South Coast Deli,restaurant,sandwich,https://southcoastdeli.com/san-roque,34.4406232,-119.7396863,node/6070232623
Super Cucas,restaurant,mexican,https://www.supercucasrestaurant.com/,34.4025351,-119.7243747,node/13326336278
Sushi GoGo,restaurant,sushi,https://www.sushigogotogo.com/,34.4039786,-119.6932367,node/11031877463
Tamar Central Coast Shawarma,restaurant,middle_eastern,https://tamarsb.com/,34.4158515,-119.6899201,node/9739929927
Taqueria Cuernavaca,restaurant,mexican,https://cuernavaca-taqueria.com/,34.4190533,-119.7041383,node/13241561902
Taqueria El Bajío,restaurant,mexican,http://www.elbajiosb.com/,34.4231795,-119.6812964,node/13659158158
Taqueria La Unica,restaurant,mexican,https://taquerialaunica.com/,34.4401724,-119.7458228,node/12790926601
Teru Japanese Cuisine,restaurant,japanese;sushi,https://www.terusushisb.com/,34.4243932,-119.7061001,node/2509930246
The Grand on State,restaurant,,https://www.thegrandonstate.com,34.4239,-119.7049631,node/13094582534
The Patio Cafe,restaurant,american;breakfast;brunch,https://www.thepatiocafesb.com,34.4386851,-119.7284959,node/11563334806
The Shop,restaurant,brunch;breakfast,https://www.shopbrunch.com/,34.4291169,-119.6887217,way/551961894
The Society: State & Mason,bar,,https://www.hotelcalifornian.com/the-society-state-and-mason.htm,34.4130519,-119.6901389,node/1521699537
Third Window Brewery,pub,,https://thirdwindowbrewing.com/pages/santa-barbara,34.4209915,-119.6904989,node/13717206661
Uncle Rocco's NY Pizza,restaurant,pizza,https://www.uncleroccosfamousnypizza.com/,34.4166203,-119.6954853,node/1521699556
Validation Annex,pub,,https://www.validationale.com/,34.4374919,-119.7265552,node/13948542388
Yona Redz,restaurant,mexican,https://yonaredz.com/,34.424239,-119.705397,node/2366470406
Yona Redz,restaurant,mexican,https://yonaredz.com,34.4176991,-119.696379,node/13375254894
Basil's,restaurant,,,34.4192782,-119.696238,node/5214670223
Cajun Kitchen,restaurant,breakfast;brunch,,34.4194317,-119.7020146,node/13175816120
Cooney's at the Market,bar,,,34.4237085,-119.7071951,node/10297494797
Corazon Comedor,restaurant,mexican,,34.4252405,-119.7049639,node/13472592033
Cris Market & Restaurant,restaurant,mexican,,34.43582,-119.7252721,node/13323706537
Jalapeño,restaurant,mexican,,34.4301912,-119.6903651,node/13251175493
La Tapatia Bakery,restaurant,mexican,,34.4301096,-119.6897881,node/13081239271
Onigiri & Sushi,restaurant,japanese,,34.4402275,-119.7284163,node/9061167198
Shang Hai Chinese Restaurant,restaurant,chinese,,34.4300407,-119.689855,node/13081239272
Super Cuca's Carnicería,restaurant,mexican,,34.4193097,-119.7159088,node/6632359064
Sushi Tyme,restaurant,sushi,,34.4197694,-119.7002056,node/11732422933
Taqueria El Buen Gusto,restaurant,mexican,,34.430105,-119.6901759,node/13883268467
Taqueria Mena,restaurant,mexican,,34.4160331,-119.6947164,node/358848410
The Press Room,bar,,,34.4192011,-119.6976587,node/13241517373
Trattoria Mollie,restaurant,italian,,34.4213644,-119.6425484,node/5046932921
Wylde Works,pub,,,34.4179382,-119.6973123,node/11360821303
