name,amenity,cuisine,website,lat,lng,osm_id
206 Burger Company,restaurant,burger,https://206burgercompany.com/menu-1000-madison-st,47.6090339,-122.3261909,node/2159322575
206 Burger Company,restaurant,burger,https://206burgercompany.com,47.6131116,-122.3209687,node/2159322937
206 Burger Company,restaurant,burger,https://www.206burgercompany.com/,47.6483632,-122.3552781,node/2812665388
2120,restaurant,,https://www.2120restaurant.com/,47.6158005,-122.3403323,node/2327723360
23rd Ave Brewery,pub,,https://23rd-ave-brewery.square.site/,47.599127,-122.3017913,node/11921412168
2Fingers Social,bar,,https://www.2fingerssocial.com/,47.5206024,-122.358342,way/238098832
5 Spot,restaurant,american,https://5spotseattle.com,47.6325551,-122.356661,way/226145787
663 Bistro,restaurant,chinese,http://663-bistro.com,47.5974028,-122.3244966,node/2434531596
74th Street Alehouse,pub,,http://74thSt.com,47.6826633,-122.3554886,node/2022432935
9 Pound Hammer,bar,,https://ninepoundhammer.com/,47.5489844,-122.3168396,node/2700769446
A Pizza Mart - Stewart,restaurant,pizza,https://www.apizzamartseattle.com/,47.6160673,-122.333539,node/2327794662
Aburiya Bento House,restaurant,japanese,https://www.aburiyabentohouse.com,47.6113723,-122.344868,node/4392709606
addo:206,restaurant,mexican,https://www.addo206.com,47.6305804,-122.3742131,node/6011766087
Adey Abeba,restaurant,ethiopian,https://adeyabeba.net/,47.6127907,-122.3038368,node/4281483343
Agave Cocina & Tequilas - Seattle,restaurant,mexican,https://agavecocina.com/contact/seattlelower-queen-anne/,47.6233699,-122.3552244,node/2400976348
Al Basha,restaurant,mediterranean;gyros,https://albashaseattle.com/,47.6136323,-122.346621,node/2327663056
Al-Uruba Restaurant,restaurant,somali,http://www.aluruba.com/,47.5235132,-122.2761785,node/2136435020
Albacha Restaurant,restaurant,mediterranean,https://albacharestaurant.com/,47.6186155,-122.3211039,node/2077272323
Alberona's Da Vinci Pizza,restaurant,italian,https://i5pizza.com/,47.6540138,-122.3596631,node/2143336844
Alki Homestead,restaurant,italian,https://ilnidoseattle.com,47.5785227,-122.4111061,way/233293290
Alsan Brewing,pub,,https://www.aslanbrewing.com/seattle-tangletown,47.6689603,-122.3315371,node/13064534452
Altura,restaurant,italian,https://alturarestaurant.com,47.6248147,-122.3211555,node/2077157832
Americano,restaurant,burger,https://www.americanoburgers.com/,47.6452134,-122.3826051,node/2462428239
An Nam Pho,restaurant,vietnamese,https://www.annampho.com,47.6762455,-122.3172087,node/2434504324
Ananas Pizzeria,restaurant,pizza;sandwich,https://ananaspizzeria.com,47.6089928,-122.3290726,way/543831126
Andaluca,restaurant,spanish,https://www.andaluca.com/,47.612359,-122.337685,node/2866810701
Anthony's Bell Street Diner,restaurant,seafood,https://www.anthonys.com/restaurants/detail/anthonys-bell-street-diner/,47.6107619,-122.3480274,node/5605100621
Anthony's Pier 66,restaurant,seafood,https://www.anthonys.com/restaurants/detail/anthonys-pier-66/,47.6108242,-122.3482522,node/2127063769
Aoki Sushi & Grill,restaurant,japanese,https://www.aokisushiandgrill.com,47.6249184,-122.3211244,node/2077157830
Art Marble 21,bar,,https://www.artmarble21.com/,47.6264312,-122.3394539,node/2268991394
Assaggio Ristorante,restaurant,italian,https://www.assaggioseattle.com/,47.6134273,-122.3403218,node/2327732020
Aviv Hummus Bar,restaurant,middle_eastern,http://www.avivhummusbar.com/,47.6188119,-122.312901,node/3006168170
Azuma Sushi,restaurant,japanese,https://azumasushiseattle.com,47.5619928,-122.3870027,node/2397401935
B&Z Family Mexican Restaurant,restaurant,mexican,https://bz-restaurant.com/,47.6394389,-122.3566455,way/226145778
Ba Bar,restaurant,vietnamese,https://babarseattle.com/south-lake-union/,47.623384,-122.3368824,node/5267648595
Bacco Cafe,restaurant,,https://www.baccocafe.com,47.6100512,-122.3413869,node/4137555551
Backyard Bagel,restaurant,bagel,https://www.backyardbagel.com/,47.6598077,-122.3498927,node/2144271752
Bait Shop,bar,,https://www.baitshopseattle.com/,47.6246294,-122.3207356,node/2131716935
Bale Breaker Yonder Taproom,pub,,https://www.bbycballard.com,47.6645486,-122.3675601,node/3203559929
Bambino's,restaurant,pizza,http://bambinosseattle.com,47.6178325,-122.3477283,node/2327596923
Ban Hua Sai,restaurant,asian,https://www.banhuasai.com/,47.6968584,-122.3173709,node/1120195095
Bandol,restaurant,,https://www.divaespresso.com/,47.6019354,-122.331839,node/1785487676
Banh Mi XO,restaurant,vietnamese,http://www.banhmixo.com/,47.5226547,-122.3769187,node/2328579708
Bar Bayonne,bar,,https://barbayonne.com,47.6060679,-122.314839,node/5745627836
Bar del Corso,restaurant,,https://www.bardelcorso.com,47.5754307,-122.3095482,node/2373916339
Bar Harbor,restaurant,american;seafood,https://www.barharborbar.com/,47.6225363,-122.3341067,node/4817363141
Bar the Way,bar,,http://barthewayseattle.com,47.6197359,-122.3231802,node/2158768718
BARlamos,bar,,http://varlamospizza.com,47.6609842,-122.2883733,node/7816073684
BB's Teriyaki Grill,restaurant,asian,https://bbsteriyaki.com/,47.620245,-122.338261,node/2623015767
Bernard's on Seneca,restaurant,,http://www.bernardsonseneca.com,47.6072526,-122.3345296,node/3996640118
Beth's Cafe,restaurant,american,https://www.bethscafe.com/,47.6821453,-122.344708,node/427307160
Betty,restaurant,american;fine_dining,https://bettyrestaurant.com/,47.6326914,-122.3572116,node/2015537706
Big Mario's Northlake Tavern,restaurant,pizza,https://bigmariosnewyorkpizza.com,47.6546656,-122.3213485,node/1725980827
Big Max Burger Co.,restaurant,burger,https://bigmaxburgerco.com,47.6370237,-122.3571369,node/2542052521
Blue Water Taco Grill,restaurant,mexican,https://www.bluewatertacogrill.com/,47.6097472,-122.323339,node/4360887361
Bò Né House & More,restaurant,vietnamese,https://www.bonehouseandmore.com/,47.5995411,-122.3159203,node/2374041630
Boiling Point,restaurant,asian,https://www.bpgroupusa.com/,47.5967926,-122.3274522,way/360439953
Bongos Caribbean Cafe,restaurant,caribbean,http://bongosseattle.com/,47.6767447,-122.3468917,way/222409819
Bonjour Việt Nam,restaurant,vietnamese,https://bonjourvietnam.us,47.5626236,-122.3869793,node/440839210
Boss Burger,restaurant,burger,https://www.bossdrivein.com/,47.5211747,-122.3589848,way/238096955
Botecco Brasil,restaurant,brazilian;steak,https://bottecobrazil.com/,47.649351,-122.3571183,node/6056567898
Brasserie Margaux,restaurant,french,https://www.margauxseattle.com/,47.6139379,-122.340962,node/2561809362
BRGR Bar,bar,,http://brgrbarseattle.org/,47.6012454,-122.333104,node/2351695479
Buca di Beppo,restaurant,italian,https://www.bucadibeppo.com/,47.6258467,-122.3389449,node/3994579957
Burke-Gilman Brewing Company,pub,,https://www.burkegilmanbrewing.com/,47.6614079,-122.2881595,node/5777079153
Cactus - South Lake Union,restaurant,mexican,https://cactusrestaurants.com/location/south-lake-union/,47.6217286,-122.336935,node/2312083197
Café Campagne,restaurant,french,https://cafecampagne.com/,47.6097117,-122.3415286,node/2397485860
Café Turko,restaurant,turkish,https://cafeturko.com/,47.6494266,-122.347834,node/2167340900
Calozzi's Cheesesteaks,restaurant,,https://calozzis.net/,47.540312,-122.3225897,node/2396901360
Can Can Culinary Cabaret,restaurant,,https://www.thecancan.com,47.6095721,-122.3411767,node/8815044491
Cap Hill Kitchens,restaurant,,https://caphillkitchens.com/,47.6149351,-122.3157517,node/12070756086
Capitale,restaurant,pizza;italian,https://capitalepizzeria.com/,47.622812,-122.3207093,node/2131716887
Captain Blacks,bar,,http://captainblacksseattle.com,47.6193202,-122.3241849,node/2158768484
Caravan Restaurant,restaurant,uzbek,https://www.caravanrestaurants.com,47.6612067,-122.3237209,node/2134331827
Carmelo’s Tacos,restaurant,tacos,https://carmelostacos.com/,47.6188627,-122.3210607,node/356551808
Carrello,restaurant,italian,https://carrellorestaurant.com,47.6249602,-122.3205321,node/2131716963
Casco Antiguo,restaurant,mexican,https://www.cascoantiguorestaurants.com/,47.6162071,-122.3389244,node/6577532710
