name,amenity,cuisine,website,lat,lng,osm_id
10 Butchers Korean BBQ,restaurant,barbecue,https://www.10butchers.net,37.3628329,-122.0254832,way/155103518
A Bellagio,restaurant,italian,http://www.abellagio.com,37.286542,-121.9438136,node/1145581503
Amazing Katsu,restaurant,japanese;korean,https://www.amazingkatsu.com/,37.3510296,-121.9757259,node/11979338182
American Bistro,restaurant,american,https://shorelinelake.com/american_bistro.html,37.4325903,-122.0881664,node/441986670
Asadero,restaurant,mexican;barbecue,https://www.asaderobbq.com/,37.344713,-121.9337067,way/277753381
Baji's Cafe,restaurant,american;burger;breakfast;lunch,https://bajiscafe.com/,37.414497,-122.098024,node/3760951657
Bánh Cuốn Tây Hồ #10,restaurant,vietnamese,https://restaurant.tayho.com,37.3530211,-121.960693,node/2195192937
BE.STÉAK.Ă,restaurant,steak_house,https://www.besteaka.com/,37.2873232,-121.9346918,way/33105973
Beijing,restaurant,chinese,https://www.beijingmenu.com,37.3508844,-121.99994,node/5125483284
Bella's Bar & Grill,restaurant,mediterranean,https://bellasbargrill.com/,37.4065859,-121.9949493,node/3451448572
Beque Korean Grill,restaurant,grill;korean,http://santaclara.bequekoreangrill.com,37.3514279,-121.9818967,node/4449949190
Best Artisan Empanadas,restaurant,empanada,https://www.bae.cafe/,37.2875836,-121.940357,node/1737952041
Black Bear Diner,restaurant,american,https://blackbeardiner.com/location/sunnyvale/,37.3644673,-122.0277099,way/391656454
Bonchon Chicken,restaurant,chicken;korean;sushi,https://bonchon.com/korean-fried-chicken-sunnyvale-ca/,37.3623638,-122.0272279,node/4370458049
Buca di Beppo,restaurant,italian,https://www.bucadibeppo.com/locations/campbell/,37.2885197,-121.933994,node/11737875084
Burger Lounge,restaurant,,https://www.burgerlounge.com/,37.2889668,-121.9324376,node/7556791331
Burma Taste,restaurant,,https://burmataste.com/,37.3771201,-122.0298457,node/13140221102
Café Vivant,restaurant,chicken,https://www.cafevivantca.com/,37.4516848,-122.1847211,node/11721682171
Canteen Wine & Spirts,restaurant,,https://www.canteen.studio/wine-bar,37.4551776,-122.1839272,node/10700227527
Casa Lupe,restaurant,mexican,https://www.casalupemountainview.com,37.3906693,-122.080667,node/2199903066
Che Fico Parco Menlo,restaurant,italian,http://chefparcomenlo.com,37.4553757,-122.185719,node/11242094147
Chef Kwan's Cafe,restaurant,chinese,https://www.chefkwans.com/,37.4522495,-122.1826054,way/44116517
Chef Ming's Chinese Restaurant,restaurant,chinese,https://www.chef-mings.com/,37.339385,-121.9384609,node/8527673603
Chez TJ,restaurant,french,https://www.cheztj.com/,37.3946503,-122.080426,way/257543153
Chicken Meets Rice,restaurant,chicken,https://chickenmeetsrice.com/locations/cupertino/,37.3166595,-122.0337885,node/9461788926
Chuck E. Cheese,restaurant,pizza,https://locations.chuckecheese.com/us/ca/cupertino/19805-stevens-creek-blvd.,37.3237078,-122.01904,node/2629332085
Coconuts-Carribean & Jamican Jerk,restaurant,,https://coconutspaloalto.com/,37.4438412,-122.1602587,way/132580628
Cougar Cafe,restaurant,,https://www.cusdk8.org/departments/student-nutrition,37.3109731,-122.0518902,node/12682136635
Crepes Bistro,restaurant,,https://www.crepesbistro.net/,37.3392561,-121.938391,node/8396671152
Crepevine,restaurant,crepe;pasta;sandwich,https://www.crepevine.com,37.3924964,-122.0799731,node/2207131297
Denny's,restaurant,american,https://locations.dennys.com/CA/SANTA-CLARA/246917,37.3526598,-121.956884,node/6439737985
Denny's,restaurant,american,https://www.dennys.com/,37.3527938,-121.9983357,way/49046539
Denny's,restaurant,american,https://locations.dennys.com/CA/SUNNYVALE/247218,37.3961431,-122.0277703,way/101670493
Dish Dash,restaurant,mediterranean,https://dishdash.com/location/dishdash-sunnyvale,37.376145,-122.0302186,node/566054493
Dong Lai Shun,restaurant,chinese,http://usdls.com/,37.403271,-122.111743,node/4609011998
Dough Zone,restaurant,chinese,https://www.doughzonedumplinghouse.com/,37.2882309,-121.9327964,node/2629448205
Dumpling Depot,restaurant,chinese,https://www.dumplingdepot.com/,37.3694719,-122.0322151,node/2813722319
Dumpling Garden,restaurant,chinese,https://www.dumplinggarden.com/,37.4040957,-122.0980999,node/1242843999
El Paso Cafe,restaurant,,https://www.elpasocafe.com/,37.3889488,-122.0908415,node/1975950418
Eric's Gourmet Food & Catering,restaurant,,https://www.ericsgourmet.com/,37.4239182,-122.1967058,node/12913520144
Evvia Estiatorio,restaurant,greek,https://evvia.net/,37.4450614,-122.1638157,way/132527968
Eylan,restaurant,,https://www.eylanrestaurant.com,37.4510165,-122.1771151,node/13448480832
Farmhouse Kitchen Thai Cuisine,restaurant,,https://farmhousethai.com/,37.4549248,-122.1833009,node/10184707749
Fey Restaurant,restaurant,chinese,https://www.feyrestaurant.com/,37.4557782,-122.186696,way/111829871
Fiorillo’s,restaurant,italian,https://www.fiorillos.com/,37.3546581,-121.9421127,way/225032608
Gochi Japanese Fusion Tapas,restaurant,japanese;tapas,https://www.gochifusiontapas.com/cupertino-gochi-fusion-tapas/,37.3368886,-122.0227435,node/2029160268
Google Cafe,restaurant,,https://visit.withgoogle.com/visitor-experience/cafe/,37.4216191,-122.080368,node/11365172584
Grandma's Kitchen,restaurant,chinese,https://www.grandmaskitchencupertino.com/,37.3219301,-122.0148583,node/3812900174
Guapas Mexican Grill,restaurant,mexican,https://guapasmexicangrill.com/,37.4496222,-122.1782882,node/12898182410
Gumba's Italian Foods Pizzaria,restaurant,pizza,https://www.gumbasitalianrestaurant.com/,37.376384,-122.0299687,way/30908072
Gyros Gyros,restaurant,greek,http://www.gyrosgyros.com,37.4475993,-122.1596119,way/132883440
Halal Fried Chicken,restaurant,american;burger;chicken,https://www.hfcamerica.com,37.3891057,-122.0043959,node/13248741301
Hana Sushi,restaurant,sushi,Hanasushitogo.com,37.3528215,-121.976022,node/4152403889
Hi Pot Spice Pot Restaurant,restaurant,hotpot,http://hipotusa.com/,37.3227035,-122.0059257,node/5783052390
High 5 Star Pizza,restaurant,,www.high5star.com,37.4800274,-122.1520254,way/123539748
HiroNori,restaurant,japanese;ramen,https://hironori.com/santa-clara-bay-area-ramen,37.3932326,-121.9774576,way/799290112
Hobee's Restaurant,restaurant,american;breakfast;brunch,https://hobees.com/locations/sunnyvale/,37.3955134,-122.0280278,way/101670498
Hobee's Restaurant,restaurant,breakfast;brunch,https://hobees.com/locations/palo-alto/,37.4089442,-122.1225459,way/232376343
Hon Sushi,restaurant,japanese;sushi,https://honsushi.eat24hour.com/,37.4163022,-122.0794242,node/4053643839
House of Kabobs,restaurant,persian,https://www.houseofkabobs.com/,37.3765443,-122.029755,node/1595294678
Howie's Artisan Pizza,restaurant,pizza,https://www.howiesartisanpizza.com/,37.4379709,-122.1601367,node/1974499272
iChina,restaurant,chinese,https://www.ichinarestaurant.com/,37.3243925,-121.9471781,node/9744032250
iniBurger,restaurant,burger,https://www.iniburger.com/,37.2854864,-121.9797428,node/509719788
Izzy's Brooklyn Bagels,restaurant,bagel,https://www.izzysbrooklynbagels.com/,37.4254169,-122.1453891,node/1350930646
Jalisco Mexican Food,restaurant,mexican,https://jaliscomexicanfood.com/,37.2877099,-121.940516,node/11335279991
Jeffrey's Hamburgers,restaurant,burger,http://jeffreyshamburgers.com/,37.4525356,-122.1802671,way/109883811
Joanie's Cafe,restaurant,french,http://www.joaniescafepaloalto.com/,37.4263873,-122.1445693,node/1350903567
Joyous Cuisine,restaurant,chinese,https://pos.chowbus.com/online-ordering/store/HuaXiWang-Mountain-View/14707,37.3948224,-122.078626,node/1306274949
Justin's Restaurant,restaurant,,https://www.chefjustinperez.com/,37.3478031,-121.9473982,node/2770099214
JX Cuisine,restaurant,chinese,http://www.jxcuisine.com,37.3385003,-121.9950918,node/3937004613
K-Star Doshirak,restaurant,,https://www.kstarfood.com,37.3515644,-121.9808899,node/12974926501
Keke's Breakfast Cafe,restaurant,breakfast,https://www.kekes.com/locations/kekes-sunnyvale,37.3747947,-122.0354576,node/12559428392
