name,flag,nwindows,days,st,et,source_url
Borracho Tacos & Tequileria,NO_TIME,2,2,,(none),https://borrachospokane.com/menu-pdf-page/
Nectar Wine and Beer,NO_TIME,1,1|2|3|4|5,,17:00:00,http://nectarwineandbeer.com/
1919 Wine Cellar,MANY_WINDOWS,4,1|2|3|4|5|6|7,16:00:00,21:00:00,https://www.1919winecellar.com/weekly-events
1919 Wine Cellar,MANY_WINDOWS,4,2|7,18:00:00,20:00:00,https://www.1919winecellar.com/special-events
1919 Wine Cellar,MANY_WINDOWS,4,2|7,12:00:00,15:00:00,https://www.1919winecellar.com/special-events
1919 Wine Cellar,MANY_WINDOWS,4,1|2|3|4|5|6|7,18:00:00,20:00:00,https://www.1919winecellar.com/weekly-events
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,20:00:00,(none),https://www.bigfootspokane.com/
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,11:00:00,(none),https://www.bigfootspokane.com/
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,21:00:00,(none),https://www.bigfootspokane.com/
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,18:00:00,20:00:00,https://www.bigfootspokane.com/
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,19:00:00,21:00:00,https://www.bigfootspokane.com/
Bigfoot Pub & Eatery,MANY_WINDOWS,6,1|2|3|4|5|6|7,19:00:00,22:00:00,https://www.bigfootspokane.com/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,07:00:00,20:00:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,07:00:00,17:00:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,16:30:00,18:30:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,15:00:00,17:00:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,13:00:00,15:00:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,07:00:00,21:00:00,https://www.thegrainshed.coop/
Crazy Train Eatery,MANY_WINDOWS,7,1|2|3|4|5|6|7,07:00:00,18:30:00,https://www.thegrainshed.coop/
Garland Brew Werks,MANY_WINDOWS,5,4|5|6|7,15:00:00,22:00:00,https://garlandbrewwerks.com/happy-hour
Garland Brew Werks,MANY_WINDOWS,5,1|2|3|4,15:00:00,21:00:00,https://garlandbrewwerks.com/happy-hour
Garland Brew Werks,MANY_WINDOWS,5,1|2|3|4,15:00:00,17:00:00,https://garlandbrewwerks.com/happy-hour
Garland Brew Werks,MANY_WINDOWS,5,1|2|3|4,15:00:00,22:00:00,https://garlandbrewwerks.com/happy-hour
Garland Brew Werks,MANY_WINDOWS,5,4|5|6|7,15:00:00,21:00:00,https://garlandbrewwerks.com/happy-hour
Gena’s Mexican Kitchen,MANY_WINDOWS,4,5|6,14:00:00,17:00:00,https://genasmexicankitchen.com/happy-hour
Gena’s Mexican Kitchen,MANY_WINDOWS,4,1|2|3|4|5|6|7,08:00:00,11:00:00,https://genasmexicankitchen.com/menu-2
Gena’s Mexican Kitchen,MANY_WINDOWS,4,1|2|3|4|5,08:00:00,11:00:00,https://genasmexicankitchen.com/menu-2
Gena’s Mexican Kitchen,MANY_WINDOWS,4,1|2|3|4|5,11:00:00,21:00:00,https://genasmexicankitchen.com/menu-2
Longhorn Barbecue,MANY_WINDOWS,12,1|2|3|4|5,11:00:00,14:00:00,https://thelonghornbbq.com/spokane-valley-spokane-valley-longhorn-barbecue-happy-hours-specials
