tag,matched,name,url,snippet,notes
real?,happy hour,Applebee's Grill + Bar,https://restaurants.applebees.com/en-us/wa/spokane/9634-n.-newport-hwy.-84097?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84097&utm_content=website,"g options you'll love. Looking for that happy hour vibe? Enjoy food and drink specials any time with our selection of appetizers,",
real?,HAPPY HOUR,JEWEL OF THE NORTH Neighborhood Gastropub,http://www.jotnspokane.com/,"B Family Friendly OUR MENUS JOIN US FOR HAPPY HOUR Drinks , food, friends and fun SIGNATURE COCKTAILS THE PATIO IS OPEN! Dog Frien",
real?,Happy Hour,Mustard Seed,http://www.mustardseedweb.com/,"isit Mustard Seed in Spokane & Missoula Happy Hour, Cocktails & Group Dining Mustard Seed is a locally loved Pan-Asian restaurant",
real?,happy hour,Outlaw BBQ & Catering - North Location,http://www.outlawbbqspokane.com/,"r your meal, or settle in for a relaxed happy hour with friends. Be sure to save room for dessert. Our full display case is stocke",
weak:op-hours-or-nav,daily,Casa de la Birria Spokane,https://casadelabirriaspokanewa.com/casa-de-la-birria-spokane/menu/2018-N-Hamilton-St/,emade fruit drinks made fresh daily + Add to Order Large Agua de Horchata $8.00 Refreshing homemade,
weak:op-hours-or-nav,daily,Casa de Oro,https://casadeoronorth.com/,"also why we sell through our daily specials so quickly because when that fresh pork, beef or chicke",
weak:op-hours-or-nav,special,Cascadia Public House,https://www.cascadiapublichouse.com/about-us,"e people who make restaurants special. That dream turned into a space where locals gather, regulars",
weak:op-hours-or-nav,SPECIALS,De Leon’s Taco & Bar #2 GU,http://www.deleonstacoandbar.com/,ME CALL NOW Copy of CARRY-OUT SPECIALS MENU CARRY-OUT SPECIALS SERGIO'S TORTILLAS GALLERY TEQUILA TO,
weak:op-hours-or-nav,SPECIALS,De Leon's Taco & Bar #3,http://www.deleonstacoandbar.com/,ME CALL NOW Copy of CARRY-OUT SPECIALS MENU CARRY-OUT SPECIALS SERGIO'S TORTILLAS GALLERY TEQUILA TO,
weak:op-hours-or-nav,special,Eddie's Kitchen & Tavern,https://eddieskitchentavern0668.s4shops.com/,"elicious menu. Whether it's a special occasion or a casual night out, we can't wait to serve you! Cl",
weak:op-hours-or-nav,DAILY,El Que,https://wedonthaveone.com/el-que/,sour cream 2 tortilla chips 3 DAILY SPECIALS bebidas del dia gringo monday – $3 PBR tallboy tecate t,
weak:op-hours-or-nav,SPECIALS,Fast Eddie's,http://www.fasteddiesspokane.com/,WNLOAD LOYALTY PROGRAM WEEKLY SPECIALS Every day Fast Eddie's has specials for you! ​ Monday $10 Pit,
weak:op-hours-or-nav,11am–2pm,Feast World Kitchen,https://www.feastworldkitchen.org/,"ve. Wednesday — Sunday Lunch: 11am–2pm Dinner: 4pm–8pm Here’s what’s cooking this week! Wednesday, J",
weak:op-hours-or-nav,daily,Ferrante's Cafe,https://ferrantescafe.com/,"ce 2004 Owners in the kitchen daily—not behind a desk Handmade pasta, scratch sauces, zero shortcuts",
weak:op-hours-or-nav,11AM - 10PM,Fieldhouse Pizza & Pub - North Spokane,https://www.yourfieldhouse.com/,"pokane, WA 99205 509-474-1991 11AM - 10PM EVERYDAY Liberty Lake 1235 N. Liberty Lake Rd. Liberty Lak",
weak:op-hours-or-nav,11am - 9pm,Hang 10 Hawaiian BBQ & Catering,https://hang10bbq.com/,09) 747-7737 hours Mon - Fri: 11am - 9pm ​​ Saturday: 11am - 9pm Sunday: 11am - 9pm Made with Square,
weak:op-hours-or-nav,11am - 8pm,Indigenous Eats,https://www.iespokane.com/,"ane, WA 99201 11am - 6:30pm · 11am - 8pm · 11am - 6pm · Sun>=1 · Sun>=8",
weak:op-hours-or-nav,Specials,JJ’s Tap and Smokehouse,https://jjstapandsmokehouse.org/,p to Main Content Menu Drinks Specials Reserve Yelp page Toggle navigation Yelp page Menu Drinks Spe,
weak:op-hours-or-nav,11am - 10pm,Kindred Public House,http://www.kindredpubhouse.com/,-509 862-4897 Monday - Sunday 11am - 10pm Sun>=1 · Sun>=8,
weak:op-hours-or-nav,special,Kismet,http://www.kismetspokane.com/,to check these in case of any special hours! Call or Text (509) 309-2944 for reservations! Kismet 30,
weak:op-hours-or-nav,Specials,Latah Bistro,https://latahbistro.com/spokane-south-hill-spokane-latah-bistro-happy-hours-specials,Toggle navigation Menu Drinks Specials Catering Parties Events Reserve Order Wine Club Wine & Taps L,
weak:op-hours-or-nav,Specials,Logan Tavern,http://www.logantavernspokane.com/,E Eat Menu Small Bites Weekly Specials Drink Draft List Gallery Hours & Location Logan Tavern Your n,
weak:op-hours-or-nav,Special,Maracas Mexican Grill South Hill,https://maracassouthhill.com/,and festive moments! Visit Us Special Requests? Do you have dietary concerns? Questions about an upc,
weak:op-hours-or-nav,special,Mojarra Mia! Mexican Seafood Restaurant,https://mojarramiamexicanseafoodrestaurantwa.com/mojarra-mia-mexican-seafood-restaurant/menu/2024-N-Hamilton-St/,"31.50 Shrimp marinated in our special chile sauce and grilled, served with avocado and lime. + Add t",
weak:op-hours-or-nav,10AM - 12AM,Morty's Tap & Grille,http://www.mortystapandgrille.com/,f Operation Monday - Thursday 10AM - 12AM Friday - Sunday 8AM - 12AM Back To Top Morty's Tap and Gri,
weak:op-hours-or-nav,12pm–10pm,No-Li Bier Hall,https://www.nolibrewhouse.com/bierhall,2 Hours Thursday - Saturday : 12pm–10pm Sunday-Wednesday: 12pm - 9pm Phone (509) 242-2739 BEER SELTZ,
weak:op-hours-or-nav,12pm-8pm,No-Li Brewhouse,http://nolibrewhouse.com/,Days a Week Main Pub Sun-Wed: 12pm-8pm Thurs - Sat: 12pm-9pm BIER HALL: Sun-Wed: 12pm-9pm Thurs - Sa,
weak:op-hours-or-nav,Daily,Park Inn,http://www.parkinnspokane.com/,ADS APPETIZERS Check Here For Daily Lunch Specials and Other Updates from Facebook THIRSTY? ALWAYS O,
weak:op-hours-or-nav,special,Patron Mexican Restaurant,https://www.patronspokane.com/,", green and white sauce. This special dish features one each of our Enchilada Blanca, Enchilada Verd",
weak:op-hours-or-nav,Special,Pho Thinh,https://phothinhwa.com/pho-thinh-wa/menu/6022-N-Division-St/,"cken, Grilled Pork, BBQ pork, Special. Topped with cucumber, house pickles, and cilantro. + Add to O",
weak:op-hours-or-nav,special,Pinot's Palette,https://pinotspalette.com/spokane,"gh? Join our rewards club for special perks, including free paint and sip classes! Join Now Have an",
weak:op-hours-or-nav,SPECIALS,Pizza Rita,https://pizzarita.net/pizza-specials.ydev,ESSERTS WINGS JOIN OUR TEAM - SPECIALS - Choose any 2 Topping s w/ Garlic Cheesy Bread MEDIUM $1 8 .,
weak:op-hours-or-nav,specials,QQ Sushi & Kitchen,https://www.qqsushiandkitchen.com/,"e or our fresh sushi. We have specials of new and interesting sushi daily. Try our secret recipe, fr",
weak:op-hours-or-nav,special,Radio Bar Spokane,https://radiobarspokane.com/,. #spo Tonight&#039;s dinner special is our tarragon-chicken s Tomorrow (Tuesday 5/26) will be chil,
weak:op-hours-or-nav,Specials,Rancho Chico,https://ranchochicomexican.com/,Postres Kids Menu Lunch Menu Specials Los Burritos Taco Salad Small Combinations Fresh &#038; Healt,
weak:op-hours-or-nav,Special,Red Dragon Northside,https://www.reddragonspokane.com/,"Chicken, Fried Prawns $21.95 Special Chow Mein $14.95 Generals Chicken $20.95 Spring Rolls $8.95 BB",
weak:op-hours-or-nav,Special,Red Dragon Spokane,http://www.reddragonspokane.com/,"Chicken, Fried Prawns $21.95 Special Chow Mein $14.95 Generals Chicken $20.95 Spring Rolls $8.95 BB",
weak:op-hours-or-nav,11am-3pm,Rincon Tapatio,https://rincontapatio.net/menu,"Menu Served Monday - Friday | 11am-3pm All combos served with rice, refried or whole cholesterol fre",
weak:op-hours-or-nav,11am-3pm,Rincón Tapatío,https://rincontapatiomarket.com/menu/,"erved Monday &#8211; Friday | 11am-3pm All combos served with rice, refried or whole cholesterol fre",
weak:op-hours-or-nav,11am - 9pm,Rusty Moose,http://www.rustymooserestaurant.com/,0 Friday-Saturday 11:00-10:00 11am - 9pm · 11am - 10pm · Sun>=1 · Sun>=8,
weak:op-hours-or-nav,11AM - 12AM,Screaming Yak,http://www.screamingyak.com/,"464-3641 Hours Monday - Thurs 11AM - 12AM Friday - Sunday 8AM - 12AM 118 W Francis Ave, Spokane, WA",
weak:op-hours-or-nav,special,Shelby's Burgers,https://shelbysburgers.com/,"ries! Choose us for your next special occasion or get-together. Got a birthday party, rehearsal dinn",
weak:op-hours-or-nav,Special,South Hill Grill,http://www.southhillgrillspokane.com/,"te foods in one place! Chef’s Special Many restaurants have their own take on a sushi boat, but we’r",
weak:op-hours-or-nav,Special,Tacos El Sol,https://tacoselsolwa.com/tacos-el-sol/menu/3422-N-Division-St/,"hoice of meat. + Add to Order Special Tacos $3.50 Onions, cilantro, lime and selected meat. + Add to",
weak:op-hours-or-nav,daily,The Barrel Steak & Seafood House,https://www.thebarrelspokane.com/menu,"or SOUP OF THE DAY Made fresh daily. Cup/Bowl. $ 5 / $ 9 $ 26 THE LOUIE Crab, jumbo prawns, bay shri",
weak:op-hours-or-nav,Special,The Bistro - Eat. Drink. Connect.®,https://www.marriott.com/en-us/hotels/gegch-courtyard-spokane-downtown-at-the-convention-center/dining/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Marriott Logo Find & Reserve Special Offers Meetings & Events Vacations Our Brands Our Credit Cards,
weak:op-hours-or-nav,special,The Chameleon,https://www.chameleonspokane.com/about,experiences and add something special to the spokane live music scene. MAIN FLOOR OUR STAGE FEATURES,
weak:op-hours-or-nav,specials,The Elk,http://wedonthaveone.com/the-elk/,"oy one of our creative weekly specials, homemade soups and inventive cocktails. Whether it’s a 1 st",
weak:op-hours-or-nav,11am-9pm,The Flying Goat,http://www.theflyinggoat.com/,) 327-8277 Sunday — Thursday: 11am-9pm Friday — Saturday: 11am-10pm Republic Pi 611 Manito Shopping,
weak:op-hours-or-nav,special,The Milk Bottle,http://marylous.org/,no better way to celebrate a special occasion than by serving a super special ice cream treat. We o,
weak:op-hours-or-nav,specials,Tomato Street North Division,https://tomatostreet.com/menu,ne View our cool weather fall specials menu for Spokane View our fall soup of the day menu for Spoka,
weak:op-hours-or-nav,Daily,Two Seven Public House,http://wedonthaveone.com/the-two-seven/,"r. Previous Next Open at 11am Daily 2727 South Mt. Vernon #5 Spokane, WA 99223 509-473-9766 VIEW DIR",
weak:op-hours-or-nav,Special,Umi Kitchen and Sushi Bar | Japanese,https://umispokane.com/menu,and peanuts in a spicy sauce Special Entrees Chow Mein - Vegetable / 17 - Chicken / 19 - Beef or Sh,
weak:op-hours-or-nav,11AM - 5PM,Uno Más Tacos & Tequila,https://www.unomastacoshop.com/,r MEnu!! VIEW FULL MENU Lunch 11AM - 5PM Dinner 5PM - Close HOURS Sun - Mon: CLOSED TUE - THUR: 11 A,
weak:op-hours-or-nav,11am-9pm,Uprise Brewing Co.,http://www.uprisebeer.com/,"e! Run With Us Hours: Sun-Wed 11am-9pm Thurs-Sat 11am-10pm 617 N Ash St Spokane, WA 99201 (509) 368-",
weak:op-hours-or-nav,11AM–10PM,Vieux Carre NOLA Kitchen,https://vieuxcarrespokane.com/,nday brunch MONDAY–THURSDAY – 11AM–10PM FRIDAY–SATURDAY – 11AM–11PM SUNDAY – 9AM–9PM Reservations 50,
weak:op-hours-or-nav,4pm-9pm,Wild Sage Bistro,http://www.wildsagebistro.com/,g Dinner Seven Nights a Week. 4pm-9pm Nightly Book Now Wild Sage is a locally owned and operated Ame,
weak:op-hours-or-nav,Specials,Wine & Taps,https://latahbistro.com/spokane-south-hill-spokane-latah-bistro-happy-hours-specials,Toggle navigation Menu Drinks Specials Catering Parties Events Reserve Order Wine Club Wine & Taps L,
weak:op-hours-or-nav,8AM-3PM,Zozo's Sandwich House,http://zozossandwichhouse.com/,. Full Name * Email * Mon-Sat 8AM-3PM Closed Sunday (509) 413-2558 Facebook Instagram 2501 N Monroe,
exclude-by-rule,Specials,Illinois Ave Bar & Grill,http://www.illinoisave.com/,0 Skip to Content Menu Specials Private Parties Our Story Open Menu Close Menu Menu Specials,
exclude-by-rule,01 pm – 02 am,Press Public House,https://www.presspubhouse.com/,747-7737 Hours Monday–Friday 01 pm – 02 am Saturday–Sunday 10 am – 02 am Private Events: Elevate yo,
exclude-by-rule,special,Soulful Soups & Spirits,https://soulfulsoupspnw.com/,ce to host a private event or special occasion? We can accommodate up to 50 people and you can reser,
