name,amenity,cuisine,website,lat,lng,osm_id
Brick West Brewing Co.,pub,,https://brickwestbrewingco.com/,47.6568266,-117.431991,node/9968419513
Bulldog's Famous BBQ & Brews,restaurant,barbecue,https://bulldogsfamousbbqbrews.com/,47.7034927,-117.3585749,way/1042425709
Community Pint,bar,,https://www.communitypintspokane.com/,47.6570713,-117.40884,way/373119992
Denny's,restaurant,american,https://www.dennys.com/,47.6904405,-117.4117106,way/454830625
Downriver Grill,restaurant,,https://www.downrivergrill.com/,47.6900884,-117.4604743,way/422377547
Elliots an urban kitchen,restaurant,american,https://www.facebook.com/Elliotts-an-urban-kitchen-177958009611150/,47.6779701,-117.4268682,node/12769258202
Golden Handle Brewing Co.,pub,,https://www.goldenhandle.org/,47.6551968,-117.4282235,node/10780636144
Little Euro,restaurant,american;breakfast,https://www.littleeurorestaurant.com/,47.6440976,-117.4094323,way/568590859
Lumberbeard Brewing,pub,,https://lumberbeardbrewing.com/,47.6536673,-117.4100706,node/7634107187
Maryhill Winery Tasting Room & Bistro,bar,,https://www.maryhillwinery.com/Visit/Spokane,47.6614432,-117.431434,node/12760500825
Olive Garden,restaurant,italian,https://www.olivegarden.com/locations/wa/spokane/spokane-north-point-plaza/1851,47.7488648,-117.4016288,way/440146273
One Tree Cider House,bar,,https://www.onetreehardcider.com,47.6775366,-117.4081951,node/12706752008
Peace Pie Pizza,restaurant,italian_pizza,https://peacepiepizzeria.com/,47.6587226,-117.4119464,node/11844548074
People's Waffle,restaurant,brunch,https://www.peopleswaffle.com/,47.6567911,-117.4208732,node/10876764165
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/wa/spokane/2225-w-wellesley-ave,47.6994614,-117.444268,node/4513310596
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/wa/spokane/1424-w-3rd-avenue,47.6538462,-117.4337811,node/4822540067
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/wa/spokane/3304-n-nevada,47.6888421,-117.3948371,way/455459049
Red Lobster,restaurant,seafood,https://www.redlobster.com/seafood-restaurants/locations/wa/spokane/4703-n-division-street/,47.7010018,-117.4117337,way/411247909
Rosie's Restaurant,restaurant,sandwich;breakfast;burger;american,https://rosiesspokane.com/,47.6564164,-117.425486,node/12077918973
Salt King Brewing,pub,,https://www.spokanebrewingsupply.com/saltkingbrewing,47.6538453,-117.4335238,node/5004268526
