name,url_kind,website_url,neighborhood,type
Alibi,first_party,http://alibispokane.com/,North,bar
Applebee's Grill + Bar,first_party,https://restaurants.applebees.com/en-us/wa/spokane/9634-n.-newport-hwy.-84097?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84097&utm_content=website,North,restaurant
Atilano's Mexican Food - Downtown,first_party,https://www.atilanosmexicanfood.com/,Central,restaurant
Atilano's Mexican Food - Francis,first_party,http://atilanosmexicanfood.com/,North,restaurant
Atilano’s Mexican Food - Divison/Lincoln,first_party,https://atilanosmexicanfood.com/,North,restaurant
Avocado Roll Sushi,first_party,http://www.avocadoroll.app/,North,restaurant
Bennidito's Brewpub,first_party,https://www.benniditos.com/,East,pub
Bennidito's Pizza | Italian,first_party,http://benniditos.com/,South,pizzeria
Betty Jean's BBQ,first_party,https://bettyjeansbbq.podia.com/,South,restaurant
Burrito House,first_party,http://www.burritohousespokanewa.com/,East,restaurant
Cantarito Mexican Restaurant,first_party,https://cantaritospokanewa.com/,North,restaurant
Casa de Oro,first_party,https://casadeoronorth.com/,Central,restaurant
Casa de la Birria Spokane,first_party,https://casadelabirriaspokanewa.com/,East,restaurant
Cascadia Public House,first_party,http://www.cascadiapublichouse.com/,North,gastropub
Chan's Dragon Inn | Chinese,first_party,http://chans-dragon-inn.edan.io/,Downtown,restaurant
Das Stein Haus - Bar,first_party,https://www.dassteinhaus.co/,North,bar
Das Stein Haus - Dining | German,first_party,https://www.dassteinhaus.co/,North,restaurant
Dave's Hot Chicken,first_party,https://restaurants.daveshotchicken.com/wa/spokane/spicy-chicken-sandwich-division-st/?utm_campaign=google_maps&utm_medium=organic&utm_source=google&utm_content=website&utm_keyword=1307,North,restaurant
De Leon's Taco & Bar #3,first_party,http://www.deleonstacoandbar.com/,South,restaurant
De Leon’s Taco & Bar #2 GU,first_party,http://www.deleonstacoandbar.com/,East,restaurant
DiNardi's Pizza & Pasta,first_party,https://www.dinardispizzapasta.com/?utm_source=gbp,East,pizzeria
Eddie's Kitchen & Tavern,first_party,https://eddieskitchentavern0668.s4shops.com/,North,restaurant
El Que,first_party,https://wedonthaveone.com/el-que/,Downtown,restaurant
Fast Eddie's,first_party,http://www.fasteddiesspokane.com/,Central,restaurant
Feast World Kitchen,first_party,https://www.feastworldkitchen.org/,Central,restaurant
Ferrante's Cafe,first_party,https://ferrantescafe.com/,South,restaurant
Ferraro's Restaurant and Bar | Italian,first_party,http://www.ferrarosfamilyitalian.com/,Central,restaurant
Fieldhouse Pizza & Pub - North Spokane,first_party,https://www.yourfieldhouse.com/,Central,pizzeria
For The Love of God Brewing and Pizzeria,first_party,http://fortheloveofgodbrewing.com/,Central,pizzeria
Four-Eyed Guys Brewing Co.,first_party,http://chiton-magenta-dfzx.squarespace.com/,Downtown,brewery
Genos Pizza & Pub,first_party,http://genospub.com/,East,restaurant
Gerardo's Authentic Mexican Food,first_party,https://gerardosauthenticmexicanfood.shop/,Central,restaurant
Hang 10 Hawaiian BBQ & Catering,first_party,https://hang10bbq.com/,Central,restaurant
Hops n Drops,first_party,https://www.hopsndrops.com/,North,restaurant
Humble Abode Brewing,first_party,http://humbleabodebeer.com/,North,brewery
Illinois Ave Bar & Grill,first_party,http://www.illinoisave.com/,East,restaurant
Indigenous Eats,first_party,https://www.iespokane.com/,East,restaurant
Iron Goat Brewing,first_party,http://www.irongoatbrewing.com/,Downtown,brewery
It's Just Wings,first_party,https://locations.itsjustwings.com/wa/spokane/spokane-downtown-its-just-wings?utm_source=google&utm_medium=local&utm_campaign=IJW,Central,restaurant
Italia Trattoria,first_party,http://www.italiatrattoriaspokane.com/,Downtown,restaurant
JEWEL OF THE NORTH Neighborhood Gastropub,first_party,http://www.jotnspokane.com/,Downtown,restaurant
JJ’s Tap and Smokehouse,first_party,https://jjstapandsmokehouse.org/,North,restaurant
Jackson St. Bar & Grill,first_party,https://jacksonstbar.com/,Central,restaurant
Kindred Public House,first_party,http://www.kindredpubhouse.com/,Central,restaurant
Kings Bar & Grill,first_party,http://kingbarandgrill.com/,East,restaurant
Kismet,first_party,http://www.kismetspokane.com/,North,restaurant
La Doña Cafecito | Mexican,first_party,https://ladonacafecitowa.com/,Central,restaurant
Latah Bistro,first_party,http://latahbistro.com/,South,bar
Lebanon Restaurant & Cafe,first_party,https://lebanonspokane.com/,Central,restaurant
Legacy Billiards Bar and Grill,first_party,https://legacybilliards509.com/,North,other
Little noodle spokane,first_party,https://www.littlenoodlespokane.com/,Central,restaurant
Logan Tavern,first_party,http://www.logantavernspokane.com/,East,restaurant
Los Habaneros,first_party,https://sites.google.com/view/loshabanerostaqueria/inicio,North,restaurant
Luna,first_party,http://www.lunaspokane.com/,South,restaurant
Manito Tap House,first_party,http://www.manitotaphouse.com/,South,gastropub
Maracas Mexican Grill South Hill,first_party,https://maracassouthhill.com/,South,restaurant
Market Street Pizza,first_party,https://marketstreetpizzeriaspokane.com/,East,pizzeria
Maxwell House Restaurant,first_party,https://maxwellhouserestaurant.com/,Downtown,restaurant
Mojarra Mia! Mexican Seafood Restaurant,first_party,https://mojarramiamexicanseafoodrestaurantwa.com/,East,restaurant
Morty's Tap & Grille,first_party,http://www.mortystapandgrille.com/,South,bar
Mustard Seed,first_party,http://www.mustardseedweb.com/,North,restaurant
No-Li Bier Hall,first_party,https://www.nolibrewhouse.com/bierhall,East,bar
No-Li Brewhouse,first_party,http://nolibrewhouse.com/,East,brewery
Nudo Ramen House,first_party,http://www.nudoramen.com/,North,restaurant
Osprey Restaurant & Bar,first_party,http://ospreyspokane.com/,Central,restaurant
Outlaw BBQ & Catering - North Location,first_party,http://www.outlawbbqspokane.com/,Central,restaurant
Park Inn,first_party,http://www.parkinnspokane.com/,Central,restaurant
Patron Mexican Restaurant,first_party,https://www.patronspokane.com/,South,restaurant
Pho Thinh,first_party,https://phothinhwa.com/,North,restaurant
Pinot's Palette,first_party,https://pinotspalette.com/spokane,East,wine_bar
Pint House Burgers & Brews,first_party,http://www.pinthousepub.com/,North,restaurant
Pizza Rita,first_party,https://pizzarita.net/,South,pizzeria
Poole's Public House - South,first_party,http://poolespublichouse.com/,South,restaurant
Press Public House,first_party,https://www.presspubhouse.com/,Central,bar
QQ Sushi & Kitchen,first_party,https://www.qqsushiandkitchen.com/,North,restaurant
Radio Bar Spokane,first_party,https://radiobarspokane.com/,Central,bar
Rancho Chico,first_party,https://ranchochicowa.com/,Central,restaurant
Rancho Chico,first_party,https://ranchochicomexican.com/,North,restaurant
Rancho Viejo,first_party,http://www.ranchoviejomexican.net/,South,restaurant
Red Dragon Northside,first_party,https://www.reddragonspokane.com/,North,restaurant
Red Dragon Spokane,first_party,http://www.reddragonspokane.com/,Downtown,restaurant
Red Robin Gourmet Burgers and Brews,first_party,https://www.redrobin.com/locations/wa/spokane/spokane-72?store_id=72&store_type=corporate&utm_campaign=local-business-listing&utm_content=website-link&utm_medium=organic-seach&utm_source=google-business-profile,North,restaurant
Rincon Tapatio,first_party,https://rincontapatio.net/,East,restaurant
Rincón Tapatío,first_party,https://rincontapatiomarket.com/,East,restaurant
Ruins Restaurant,first_party,https://sites.google.com/view/ruinsspokane,Downtown,restaurant
Rusty Moose,first_party,http://www.rustymooserestaurant.com/,South,restaurant
Sam & Doms Bar & Grill,first_party,http://samanddoms1946.com/,East,bar
Saranac LLC,first_party,https://www.saranacpub.com/,Central,bar
Saranac Public House,first_party,http://www.saranacpub.com/,Central,pub
Screaming Yak,first_party,http://www.screamingyak.com/,North,restaurant
Shelby's Burgers,first_party,https://shelbysburgers.com/,South,restaurant
Soulful Soups & Spirits,first_party,https://soulfulsoupspnw.com/,Downtown,restaurant
South Hill Grill,first_party,http://www.southhillgrillspokane.com/,South,restaurant
South Perry Pizza,first_party,http://www.southperrypizzaspokane.com/,East,pizzeria
Spokane NIGHT MARKET & Street Fair,first_party,https://thewavybunch.com/night-market/,East,bar
Sushi Blossom,first_party,https://www.sushiblossomwa.com/,South,restaurant
Taco Vado | Mexican,first_party,https://tacovado.com/,Downtown,restaurant
Tacos El Sol,first_party,https://tacoselsolwa.com/,Central,restaurant
Tecate Grill,first_party,https://www.tecate2go.com/index.html,Central,restaurant
The Bad Seed,first_party,http://www.badseedinhillyard.com/,North,restaurant
The Barrel Steak & Seafood House,first_party,http://thebarrelspokane.com/,North,restaurant
The Bistro - Eat. Drink. Connect.®,first_party,https://www.marriott.com/en-us/hotels/gegch-courtyard-spokane-downtown-at-the-convention-center/dining/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Central,restaurant
The Chameleon,first_party,http://chameleonspokane.com/,Central,bar
The Elk,first_party,http://wedonthaveone.com/the-elk/,Downtown,restaurant
The Flying Goat,first_party,http://www.theflyinggoat.com/,Central,pizzeria
The Milk Bottle,first_party,http://marylous.org/,Central,restaurant
The Temple Tavern,first_party,http://www.thetempletavern.com/,Central,restaurant
