city,name,primary_type,reviews,rating,action,outcome,website
berkeley,"Cheese Board Collective Pizzeria",pizza_restaurant,3905,4.8,hide,no_hh_found,http://cheeseboardcollective.coop/
berkeley,"Chez Panisse",californian_restaurant,2448,4.6,hide,no_hh_found,http://www.chezpanisse.com/
berkeley,"La Mission",mexican_restaurant,1938,4.5,hide,no_hh_found,https://la-mission.shop/
berkeley,"Picante",mexican_restaurant,1934,4.2,hide,no_hh_found,http://www.picanteberkeley.com/
berkeley,"Artichoke Basille's Pizza",pizza_restaurant,1153,4.5,hide,no_hh_found,http://www.artichokepizza.com/
berkeley,"Crepevine",restaurant,1128,4.3,hide,no_hh_found,https://crepevine.com/?y_source=1_MTQ3MjMwNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
berkeley,"Juan's Place",mexican_restaurant,980,4.4,hide,no_hh_found,https://www.ubereats.com/store/juans-place/P7ldpTloQrmx2hwdZzwucw
berkeley,"900 Grayson",restaurant,949,4.6,hide,no_hh_found,http://www.900grayson.com/
berkeley,"Bowl'd Korean Rice Bar",korean_restaurant,803,4.5,hide,no_hh_found,http://www.bowldbbq.com/albany
berkeley,"Barney's Gourmet Hamburgers",hamburger_restaurant,799,4.4,hide,no_hh_found,http://www.barneyshamburgers.com/
berkeley,"La Mediterranee",mediterranean_restaurant,798,4.3,hide,no_hh_found,http://cafelamedberkeley.com/
berkeley,"Chengdu Style Restaurant",chinese_restaurant,798,4.3,hide,no_hh_found,https://chengdustylerestaurant.com/
berkeley,"Gordo Taquería",burrito_restaurant,778,4.4,hide,no_hh_found,http://gordotaqueria.co/
berkeley,"China Village",chinese_restaurant,736,4.3,hide,no_hh_found,https://chinavillagecatogo.com/
berkeley,"The Berkeley Boathouse",restaurant,569,4.0,hide,no_hh_found,https://www.berkeleyboathouse.com/?SEO_id=GMB--R-JBKCADT-1&y_source=1_MTAxOTg4NzQ3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
berkeley,"Yo Sushi",sushi_restaurant,470,4.2,delete,no_hh_found,https://yosushialbany.menu11.com/
berkeley,"AKEMI",sushi_restaurant,462,4.3,hide,no_hh_found,http://www.akemiberkeley.com/
berkeley,"KamadoSushi (Omakase)",sushi_restaurant,386,4.5,hide,no_hh_found,https://www.toasttab.com/kamado-sushi
berkeley,"Cugini",italian_restaurant,368,4.3,hide,no_hh_found,http://www.cuginirestaurant.com/
berkeley,"Troy",greek_restaurant,363,4.4,hide,no_hh_found,http://www.troygreek.com/
berkeley,"Fish & Bird Sousaku Izakaya",japanese_restaurant,354,4.3,hide,no_hh_found,http://fishbirdizakaya.com/
berkeley,"Lo Coco's",italian_restaurant,341,4.6,hide,no_hh_found,http://lococosinberkeley.com/
berkeley,"Musashi",japanese_restaurant,341,4.5,hide,no_hh_found,https://musashiofberkeley.com/
berkeley,"Mint Leaf",vietnamese_restaurant,319,4.2,hide,no_hh_found,http://www.mintleafvr.com/
berkeley,"Inn Kensington Restaurant",american_restaurant,303,4.7,hide,no_hh_found,http://www.innkensington.com/
berkeley,"Mercado 925",mexican_restaurant,298,4.7,hide,no_hh_found,http://www.mercado925.com/
berkeley,"Pyeong Chang Tofu Berkeley 버클리 평창 순두부",korean_restaurant,298,4.4,hide,no_hh_found,https://www.pctofu.com/
berkeley,"Korean Superette",korean_restaurant,260,4.7,hide,no_hh_found,http://korean-superette.com/
berkeley,"Dumpling Time",dumpling_restaurant,227,4.0,hide,no_hh_found,https://www.dumplingtime.com/
berkeley,"Sakana Sushi & Roll",sushi_restaurant,216,4.9,hide,no_hh_found,http://ordersakana.com/
berkeley,"Lao Thai Kitchen",restaurant,194,4.8,hide,no_hh_found,https://laothaikitchen.com/
berkeley,"Mainichi Sushi",japanese_restaurant,175,4.6,delete,no_hh_found,https://mainichisushi.menu11.com/berkeley/order
berkeley,"Mexicana",mexican_restaurant,106,4.6,hide,no_hh_found,http://mexicanataqueria.com/
berkeley,"Tarocco",restaurant,104,4.7,hide,no_hh_found,https://mytarocco.com/
berkeley,"Kathmandu Restaurant",restaurant,90,4.1,hide,no_hh_found,https://kathmandurestaurantca.com/
berkeley,"Renee's Place",chinese_restaurant,81,4.5,hide,no_hh_found,http://www.reneesplacerestaurant.com/
berkeley,"Itani Sushi - Berkeley",japanese_restaurant,62,4.2,hide,no_hh_found,https://itanisushi.com/
berkeley,"Nagoya Sushi",japanese_restaurant,25,4.8,hide,no_hh_found,https://www.nagoyasushiberkeley.com/?utm_source=google&utm_medium=search
