city,venue,start,end,all_day,source,reason,website_url
phoenix-central,32 SHEA,,,t,(legacy),all_day ,https://www.32shea.com/
phoenix-central,Arizona American Italian Club,,,t,reextract,all_day ,http://azaiclub.com/
phoenix-central,Arizona American Italian Club,,,t,reextract,all_day ,http://azaiclub.com/
phoenix-central,Babbo Italian Eatery,,,t,(legacy),all_day ,http://www.babboitalian.com/
phoenix-central,Barro's Pizza,10:30:00,15:00:00,f,(legacy),early_start,https://barrospizza.com/
phoenix-central,Base Pizzeria,,,t,(legacy),all_day ,http://www.basepizzeria.com/
phoenix-central,Base Pizzeria,,,t,(legacy),all_day ,http://www.basepizzeria.com/
phoenix-central,Casa Corazon Restaurant,,,t,(legacy),all_day ,https://casacorazonrestaurant.com/
phoenix-central,Dilla Libre Uno,,,t,harvest-recovery,all_day ,https://www.dillalibre.com/
phoenix-central,Dog Haus Biergarten,,,t,(legacy),all_day ,https://downtownphoenix.doghaus.com/
phoenix-central,Dubliner Irish Pub,,,t,(legacy),all_day ,https://www.dublineririshpubaz.com/
phoenix-central,Dubliner Irish Pub,,,t,(legacy),all_day ,https://www.dublineririshpubaz.com/
phoenix-central,Dubliner Irish Pub,,,t,(legacy),all_day ,https://www.dublineririshpubaz.com/
phoenix-central,Dubliner Irish Pub,,,t,(legacy),all_day ,https://www.dublineririshpubaz.com/
phoenix-central,Gallo Blanco,,,t,(legacy),all_day ,http://galloblancocafe.com/
phoenix-central,Geordie's at Wrigley Mansion,,,t,(legacy),all_day ,http://www.wrigleymansion.com/
phoenix-central,Hearsay,,,t,(legacy),all_day ,https://www.hearsay-phx.com/?y_source=1_MTA5Mzc3OTI0OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
phoenix-central,Linger Longer Lounge,,,t,(legacy),all_day ,https://www.lingerlongerlounge.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Ojos Locos Sports Cantina (Metro - Phoenix  AZ),,,t,(legacy),all_day ,http://www.ojoslocos.com/
phoenix-central,Picazzo's Healthy Italian Kitchen,,,t,(legacy),all_day ,https://picazzos.com/
phoenix-central,Pizza By Napoli,10:30:00,15:00:00,f,(legacy),early_start,https://pizzabynapoliphoenix.com/?utm_source=gbp
phoenix-central,Pizza By Napoli,10:00:00,15:00:00,f,(legacy),early_start,https://pizzabynapoliphoenix.com/?utm_source=gbp
phoenix-central,Postino Arcadia,10:00:00,17:00:00,f,(legacy),early_start,https://www.postino.com/locations/postino-arcadia
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,Seamus McCaffrey's Irish Pub,,,t,(legacy),all_day ,http://www.seamusmccaffreys.com/
phoenix-central,The Macintosh,09:30:00,15:00:00,f,(legacy),early_start,http://www.themacintoshaz.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Playa II,,,t,(legacy),all_day ,https://theplayabarandgrill.com/
phoenix-central,The Porch,,,t,harvest-recovery,all_day ,http://www.porchrestaurants.com/
phoenix-central,The Porch,,,t,harvest-recovery,all_day ,http://www.porchrestaurants.com/
phoenix-central,The Porch,,,t,harvest-recovery,all_day ,http://www.porchrestaurants.com/
phoenix-central,The Porch,,,t,harvest-recovery,all_day ,http://www.porchrestaurants.com/
phoenix-central,The Porch,,,t,harvest-recovery,all_day ,http://www.porchrestaurants.com/
phoenix-central,The Porch,10:00:00,14:00:00,f,harvest-recovery,early_start,http://www.porchrestaurants.com/
phoenix-central,The Sicilian Butcher,,,t,(legacy),all_day ,https://locations.thesicilianbutcher.com/az/phoenix/phoenix/
phoenix-central,The Xtra Frame Craft Cocktail Lounge,,,t,(legacy),all_day ,http://810bowling.com/
phoenix-central,Valentine,00:00:00,17:00:00,f,(legacy),early_start,http://www.valentinephx.com/
phoenix-central,Valle Luna,,,t,(legacy),all_day ,https://valleluna.com/
phoenix-central,Xolo,,,t,(legacy),all_day ,https://www.xolophx.com/
