reason,name,primary_type,reviews,address,website
out-of-area,"Angelica's Restaurant & Lounge","mexican_restaurant",277,"2323 SW 336th St, Federal Way, WA 98023, USA",
out-of-area,"Anglea's Restaurant","american_restaurant",1292,"7511 Portland Ave E, Tacoma, WA 98404, USA","https://angleasrestaurant.shop/"
out-of-area,"Anthony's At Point Defiance","seafood_restaurant",2817,"5910 N Waterfront Dr, Tacoma, WA 98407, USA","https://www.anthonys.com/restaurant/anthonys-at-point-defiance/"
out-of-area,"Applebee's Grill + Bar","restaurant",1665,"3819 Bridgeport Way W, University Place, WA 98466, USA","https://restaurants.applebees.com/en-us/wa/university-place/3819-bridgeport-way-w-77058?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=77058&utm_content=website"
out-of-area,"B's Hot Chicken","chicken_restaurant",3106,"2102 Mildred St W, University Place, WA 98466, USA","http://www.bshotchicken.com/"
out-of-area,"Beach Tavern","bar",928,"8612 6th Ave, Tacoma, WA 98465, USA","https://beach-tavern.com/"
out-of-area,"Beirut Bites- At The Marketplace Flats","restaurant",373,"3555 Market Pl W #6, University Place, WA 98466, USA","http://beirutbitesnw.com/"
out-of-area,"Best Teriyaki 72nd","restaurant",226,"812 72nd St E, Tacoma, WA 98404, USA",
out-of-area,"Big Boi Teriyaki n Sushi","asian_restaurant",95,"1406 54th Ave E, Fife, WA 98424, USA","https://sites.google.com/view/bigboiteriyaki/home"
out-of-area,"Blendful","restaurant",79,"7304 Lakewood Dr W Suite 19, Lakewood, WA 98499, USA","http://www.blendfulwa.com/"
out-of-area,"Boathouse 19","american_restaurant",2792,"9001 S 19th St, Tacoma, WA 98466, USA","https://www.anthonys.com/restaurant/boathouse-19/"
out-of-area,"Casa de los Chilaquiles","mexican_restaurant",190,"5502 Orchard St W, University Place, WA 98467, USA","https://casadeloschilaquileswa.com/"
out-of-area,"Casa Mia Italian Restaurant","italian_restaurant",981,"7304 Lakewood Dr W #1, Lakewood, WA 98499, USA","https://www.casamiaitalianrestaurant.com/"
