name,primary_type,address,website_url,reviews,rating,business_status,processed
"Duke's Seafood Tacoma","seafood_restaurant","3327 Ruston Way, Tacoma, WA 98402, USA","https://www.dukesseafood.com/locations/tacoma?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-tracking&utm_term=tacoma",5935,4.6,"OPERATIONAL",linked
"The Cheesecake Factory","american_restaurant","4502 S Steele St Space 1300A, Tacoma, WA 98409, USA","https://locations.thecheesecakefactory.com/wa/tacoma-199.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places",5142,3.9,"OPERATIONAL",linked
"Moctezuma's Mexican Restaurant & Tequila Bar","mexican_restaurant","4102 S 56th St, Tacoma, WA 98409, USA","http://www.moctezumas.com/",4899,4.3,"OPERATIONAL",linked
"Matador Tacoma","mexican_restaurant","721 Pacific Ave, Tacoma, WA 98402, USA","https://matadorrestaurants.com/locations/tacoma",4303,4.4,"OPERATIONAL",linked
"Ram Restaurant & Brewery","american_restaurant","3001 Ruston Way, Tacoma, WA 98402, USA","https://theram.com/",4291,4.1,"OPERATIONAL",linked
"WildFin American Grill","american_restaurant","5115 Grand Loop, Tacoma, WA 98407, USA","https://www.wildfinamericangrill.com/tacoma/",4098,4.3,"OPERATIONAL",linked
"Memo's Mexican Restaurant","mexican_restaurant","1703 6th Ave, Tacoma, WA 98405, USA",,3944,4.2,"OPERATIONAL",
"Tacoma Comedy Club","comedy_club","933 Market St, Tacoma, WA 98402, USA","http://www.tacomacomedyclub.com/",3846,4.5,"OPERATIONAL",linked
"Stanley & Seafort's","american_restaurant","115 E 34th St, Tacoma, WA 98404, USA","https://www.stanleyandseaforts.com/",3633,4.2,"OPERATIONAL",linked
"Lobster Shop","seafood_restaurant","4015 Ruston Way, Tacoma, WA 98402, USA","http://www.lobstershop.com/",3294,4.4,"OPERATIONAL",linked
"Dirty Oscar's Annex","bar","2309 6th Ave, Tacoma, WA 98403, USA","https://www.dirtyoscarsannex.com/",3264,4.4,"OPERATIONAL",linked
