tag,matched,name,url,snippet,notes
real?,HAPPY HOUR,Airport Bar & Grill,https://airporttavern.com/,"Services Groups, Walk-ins, Reservations HAPPY HOUR EVERY DAY 4PM &#8211; 6PM, EXCEPT MONDAYS Contact Email General Inquiries &#821",
real?,HAPPY HOUR,Airport Tavern Music Hall,https://www.airporttavern.com/,"Services Groups, Walk-ins, Reservations HAPPY HOUR EVERY DAY 4PM &#8211; 6PM, EXCEPT MONDAYS Contact Email General Inquiries &#821",
real?,happy-hour,BIGFOOT PIZZA & BAR,https://www.bigfootpizzaandbar.com/menu/happy-hour,"https://www.bigfootpizzaandbar.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
real?,Happy Hour,Holy Moly Bar,https://www.holymolybar.com/,Events Menu Book a Party About Contact Happy Hour is on All Day Mondays Mondays are dumb. So we made them cheaper! Check us out!,
real?,happy hour,Tonala Mexican Restaurant,http://www.tonalamexicanrestaurant.com/,"Mexican cuisine made fresh daily, and a happy hour you will not want to miss! Join us to enjoy traditional, family-style Mexican r",
real?,Happy Hour,Urban Elk Bar & Restaurant,https://allenmoregolfcourse.com/restaurant/,ace for groups from 10 to 250. Join us: Happy Hour &#8211; Monday = All Day! & Tuesday thru Friday = 3pm &#8211; 6pm Taco Tuesday,
weak:op-hours-or-nav,4pm — 2am,Bob's Java Jive,http://www.bobsjavajive.com/,A 98409 Hours Monday — Friday 4pm — 2am Saturday — Sunday 12pm — 2am Contact owner@bobsjavajive.com,
weak:op-hours-or-nav,Specials,Bordeaux Wine Bar Tacoma,https://www.bordeauxwinebar.com/events/,to start navigating Events & Specials Warr-King Wines/Live Music The Last Thursday of Every Month i,
weak:op-hours-or-nav,11 a.m. – 9 p.m.,Browne Family Vineyards Tasting Room,https://www.brownefamilyvineyards.com/tacoma,ursday: Noon – 8 p.m. Friday: 11 a.m. – 9 p.m. Saturday: 11 a.m. – 9 p.m. Sunday: Noon – 8 p.m. Nest,
weak:op-hours-or-nav,special,Cheers Bar & Grill,https://cheerstacoma.com/menu,"hicken, flavored with our own special herbs. Served with our Sweet Chili Sauce. QUESADILLA Choice of",
weak:op-hours-or-nav,special,Chez Lafayette Creole Brasserie,https://chezlafayette.com/,"our doors. Lafayette holds a special significance in our culinary story. Our founder, Mike spent hi",
weak:op-hours-or-nav,4pm - 10pm,Cider & Cedar,http://www.ciderandcedar.com/,y Closed Wednesday & Thursday 4pm - 10pm Friday 4pm-11pm Saturday 2pm-11pm Sunday Closed Sun>=1 · Su,
weak:op-hours-or-nav,Special,Cocina Mexicana Restaurant,https://cocinamexicanarestaurantwa.com/cocina-mexicana-restaurant/menu/3802-S-Cedar-St-%235621/,lo $7.99 + Add to Order Lunch Special Mains 9 Una Enchilada and Arroz y Frijoles Lunch Special $10.9,
weak:op-hours-or-nav,4pm-8pm,Dahlman Cellars - Winery Tasting Room,http://www.dahlmancellars.com/,ed Tuesday: Closed Wednesday: 4pm-8pm Thursday: 4pm-8pm Friday: 4pm – 8pm Saturday: 1pm – 8pm Sunday,
weak:op-hours-or-nav,special,Dickey's Barbecue Pit,https://www.dickeys.com/locations/Washington/Tacoma/6th-ave,"lunch, family reunion, or any special event we’ve got you covered. JOIN OUR REWARDS PROGRAM Enjoy ex",
weak:op-hours-or-nav,11am-10pm,E9 Firehouse & Gastropub,http://www.ehouse9.com/,"oma, WA 98406 Hours Mon-Tues: 11am-10pm Wed-Thurs: 11am-10pm Friday: 11am-11pm Saturday: 11am-11pm S",
weak:op-hours-or-nav,Special,Ezell's Famous Chicken,https://www.ezellschicken.com/,Chicken Tenders Sides & Rolls Special-tees Desserts ABOUT US Our History COMMUNITY HDC FOUNDATION FA,
weak:op-hours-or-nav,special,Fresh Rolls Fircrest,https://ilovefreshrolls.com/menu/24814720,"read rolls smeared with house special sauce, bbq chicken, pickled vegetables, fresh cucumber, cilant",
weak:op-hours-or-nav,Special,Harbor City Tacoma Restaurant,https://harborcitytacoma.com/full-menu/,From 11.95 USD 廚 師 推 介 Chef's Specialties 蜜 汁 牛 仔 骨 Honey Garlic Beef short Ribs From 15.95 USD 蜜 汁,
