name,amenity,cuisine,website,lat,lng,osm_id
414 Pub & Pizza,restaurant,pizza,https://www.order414pizza.com,33.4261299,-111.940201,node/8501558936
Bonchon Chicken,restaurant,chicken;korean;sushi,https://www.bonchon.com/locations/ll/us/az/tempe/780-w-elliot-rd,33.3495392,-111.9499911,node/13007319601
Cairo's Gyros,restaurant,greek,https://www.cairosgyrosllc.com/,33.3495832,-111.9477691,node/13004904944
Chen's Noodle House,restaurant,,https://www.chensnoodlehousetempeaz.com,33.4161703,-111.9224199,node/8498085608
Chipolte,restaurant,mexican,https://www.chipotle.com/,33.4071254,-111.9238946,way/669311417
Daily Jam,restaurant,,https://mydailyjam.com,33.4272195,-111.940257,node/2391080287
Filibertos,restaurant,mexican,https://filibertos.com/,33.4151142,-111.9180454,way/517106332
First Watch,restaurant,american;breakfast,https://www.firstwatch.com/locations/asu,33.4215826,-111.9416636,way/634360030
Green New American Vegetarian,restaurant,,https://www.greenvegetarian.com,33.4542273,-111.9271975,node/8185486632
H.O.T. House Of Tcaos,restaurant,mexican,https://house-of-tacos.business.site/,33.4227204,-111.9402497,node/5428053840
Harlow's Cafe,restaurant,,https://harlows-cafe.restaurants-world.net/,33.4215878,-111.9531578,way/1318022315
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/az/tempe/breakfast-705-s-rural-ave-3388,33.4234569,-111.9257859,node/4716197059
Junn All You Can Eat Sushi,restaurant,sushi,https://www.junnsushi.com,33.4082709,-111.9172457,node/11748766604
LadyBug Cafe,restaurant,sandwich,http://www.ladybugaz.com,33.4444796,-111.9592963,node/1560125334
Low Key Piano Bar,pub,,https://www.lowkeypianobar.com/,33.4252653,-111.9398108,node/1698683461
Mesquite,restaurant,mexican,https://eatmesquite.com/tempe/,33.4251668,-111.9397919,node/13478247134
New York Bagels N' Bialys,restaurant,bagel;regional,https://www.nybagelsnbialys.com/,33.4149262,-111.924874,node/5986629568
Osaka Grill Teriyaki & Roll,restaurant,japanese,https://osakagrilloz.com/,33.4140704,-111.9290219,node/4716105522
