reason,name,primary_type,reviews,address,website
out-of-area,"Applebee's Grill + Bar","restaurant",2029,"2230 W Ina Rd, Tucson, AZ 85741, USA","https://restaurants.applebees.com/en-us/az/tucson/2230-w.-ina-road-92050?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=92050&utm_content=website"
out-of-area,"Argenziano's","italian_restaurant",1280,"16251 S Houghton Rd, Vail, AZ 85641, USA","https://argenzianos.shop/"
out-of-area,"Arizona National Golf Club","sports_club",499,"9777 E Sabino Greens Dr, Tucson, AZ 85749, USA","https://www.arizonanationalgolfclub.com/?utm_source=extnet&utm_medium=yext"
out-of-area,"Arizona Pizza Company","pizza_restaurant",591,"4955 N Sabino Canyon Rd, Tucson, AZ 85750, USA","https://azpizzacompany.com/"
out-of-area,"AZ Nightlife Vending","bar_and_grill",,"2290 W Ina Rd, Tucson, AZ 85741, USA",
out-of-area,"Barnfire Mesquite Grill","steak_house",1199,"8310 N Thornydale Rd, Tucson, AZ 85741, USA","http://barnfiremesquitegrill.com/"
out-of-area,"Bazil's","italian_restaurant",433,"4777 E Sunrise Dr, Tucson, AZ 85718, USA","http://bazilstucson.com/"
out-of-area,"Blanco Cocina + Cantina","mexican_restaurant",1695,"2905 E Skyline Dr #246, Tucson, AZ 85718, USA","https://www.blancotacostequila.com/locations/tucson-az/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps"
out-of-area,"Bob's Steak & Chop House","steak_house",405,"2727 W Club Dr, Tucson, AZ 85742, USA","https://bobs-steakandchop.com/tucson/?utm_source=gmblisting&utm_medium=organic"
out-of-area,"Brucedog","hot_dog_restaurant",128,"5975 W Western Way Cir #109, Tucson, AZ 85713, USA",
out-of-area,"Burros Percherones y Tacos El Tekas","restaurant",30,"4601 W Ajo Hwy, Tucson, AZ 85757, USA",
out-of-area,"Casa 71 Tequila Lounge","bar",4,"3800 E Sunrise Dr, Tucson, AZ 85718, USA","https://www.marriott.com/en-us/hotels/tuswi-the-westin-la-paloma-resort-and-spa/dining/"
out-of-area,"Cascade at Loews Ventana Canyon","live_music_venue",121,"7000 N Resort Dr #220, Tucson, AZ 85750, USA","https://www.loewshotels.com/ventana-canyon/dining/lounge"
out-of-area,"Chapo’s Cocina","restaurant",734,"Just the corner Vahalla, W Valencia Rd, Tucson, AZ 85746, USA",
out-of-area,"Charquitas Mexican Food","mexican_restaurant",308,"16333 S Houghton Rd, Vail, AZ 85641, USA",
out-of-area,"Charro Steak North","restaurant",109,"7109 N Oracle Rd, Tucson, AZ 85704, USA","https://charrosteak.com/"
out-of-area,"Chef Alisah's Restaurant","european_restaurant",772,"5931 N Oracle Rd, Tucson, AZ 85704, USA","https://www.alisahrestaurant.com/"
out-of-area,"Chickenuevo","mexican_restaurant",325,"4299 W Ina Rd, Tucson, AZ 85741, USA","http://www.chickenuevo.com/"
out-of-area,"Chinese Combo Thai Cuisine","restaurant",285,"1980 W Orange Grove Rd, Tucson, AZ 85704, USA","https://chinesecombonthaic.wixsite.com/mysite"
out-of-area,"Com Tam Thuan Kieu Restaurant","vietnamese_restaurant",539,"1990 W Orange Grove Rd, Tucson, AZ 85704, USA","https://www.photucson.com/"
out-of-area,"Contigo Latin Kitchen","latin_american_restaurant",979,"3770 E Sunrise Dr, Tucson, AZ 85718, USA","http://www.eatatcontigo.com/"
out-of-area,"Dickey's Barbecue Pit","restaurant",1271,"7077 N Thornydale Rd, Tucson, AZ 85741, USA","https://www.dickeys.com/locations/arizona/tucson/marana?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website"
out-of-area,"Dickman's Meat & Deli","butcher_shop",456,"6472 N Oracle Rd, Tucson, AZ 85704, USA","https://m.facebook.com/dickmansmeat/"
out-of-area,"Dominick's Real Italian","italian_restaurant",1288,"8330 N Thornydale Rd #170, Tucson, AZ 85741, USA","http://www.dominicksrealitalian.com/"
out-of-area,"El Bebo's | Street Tacos & Hot Dogs","taco_restaurant",96,"4012 W Valencia Rd, Tucson, AZ 85746, USA",
out-of-area,"El Charro Cafe Ventana","mexican_restaurant",1817,"6910 E Sunrise Dr, Tucson, AZ 85750, USA","http://www.elcharrocafe.com/"
out-of-area,"El Checo Mexican Food","mexican_restaurant",161,"1625 E Sahuarita Rd, Sahuarita, AZ 85629, USA","https://www.facebook.com/elchecomexicanfood/"
out-of-area,"El Cisne Restaurant","mexican_restaurant",620,"4717 E Sunrise Dr, Tucson, AZ 85718, USA","http://elcisnerestaurant.com/"
out-of-area,"El Molinito","mexican_restaurant",2313,"3675 W Ina Rd, Tucson, AZ 85741, USA","http://el-molinito.com/"
out-of-area,"El Pollo Loco","mexican_restaurant",1070,"3781 W Ina Rd, Tucson, AZ 85741, USA","https://restaurants.elpolloloco.com/az/tucson/3781-ina-rd?utm_source=gmb&utm_medium=yext"
out-of-area,"Famous Sam's","american_restaurant",1222,"1970 W River Rd, Tucson, AZ 85704, USA","http://famoussamsatriver.com/"
out-of-area,"Famous Sam's Sports Grill #11","american_restaurant",550,"3010 W Valencia Rd, Tucson, AZ 85746, USA","http://famoussamsarizona.com/"
out-of-area,"Fiamme Pizza","pizza_restaurant",928,"4706 E Sunrise Dr, Tucson, AZ 85718, USA","http://fiammepizzatucson.com/"
out-of-area,"Fini's Landing","american_restaurant",1220,"5689 N Swan Rd, Tucson, AZ 85718, USA","https://finislanding.com/?utm_source=google"
out-of-area,"Firebirds Wood Fired Grill","american_restaurant",2107,"2985 E Skyline Dr, Tucson, AZ 85718, USA","https://firebirdsrestaurants.com/tucson"
out-of-area,"Fleming’s Prime Steakhouse & Wine Bar","steak_house",1871,"6360 N Campbell Ave Suite 180, Tucson, AZ 85718, USA","https://www.flemingssteakhouse.com/Locations/AZ/Tucson?y_source=1_MTU1MDMxODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
out-of-area,"Flying V","american_restaurant",438,"7000 N Resort Dr, Tucson, AZ 85750, USA","https://www.flyingvrestaurant.com/"
out-of-area,"Forty Niner","association_or_organization",545,"12000 E Tanque Verde Rd, Tucson, AZ 85749, USA","http://www.fortyninercc.com/"
out-of-area,"Forty Niner - Rincon Mountain Grill","american_restaurant",196,"12000 E Tanque Verde Rd, Tucson, AZ 85749, USA","http://www.fortyninercc.com/"
out-of-area,"Frankie's South Philly Cheesesteaks","american_restaurant",486,"3780 W Ina Rd #184, Tucson, AZ 85741, USA","http://frankiescheesesteaks.com/"
out-of-area,"Ginza Sushi & Izakaya","sushi_restaurant",517,"5425 N Kolb Rd #115, Tucson, AZ 85750, USA","http://ginzatucson.com/"
out-of-area,"Giuseppe's","italian_restaurant",1100,"6060 N Oracle Rd, Tucson, AZ 85704, USA","https://giuseppesristorantes.com/guiseppes-noraclerd?utm_source=google"
out-of-area,"Golden Dragon Chinese Restaurant","chinese_restaurant",256,"4704 E Sunrise Dr, Tucson, AZ 85718, USA","http://goldendragontucson.com/"
out-of-area,"Grumpy's Grill","american_restaurant",2191,"2960 W Ina Rd, Tucson, AZ 85741, USA","http://www.grumpysgrill.com/"
out-of-area,"Hacienda del Lago Bar and Grill","restaurant",4,"14155 E Vía Rancho Del Lago, Vail, AZ 85641, USA","https://www.dellagogolf.net/restaurant"
out-of-area,"HiFalutin Rapid Western Grill","steak_house",1318,"6780 N Oracle Rd, Tucson, AZ 85704, USA","http://www.hifalutinaz.com/"
out-of-area,"Hustle Bustle Cafe","restaurant",348,"5975 W Western Way Cir SUITE 106, Tucson, AZ 85713, USA",
out-of-area,"Ikkyu","japanese_restaurant",1030,"2040 W Orange Grove Rd #180, Tucson, AZ 85704, USA","https://ikkyutucson.square.site/"
out-of-area,"Inca's Peruvian Cuisine","peruvian_restaurant",912,"6878 E Sunrise Dr #130, Tucson, AZ 85750, USA","http://incasperuviancuisine.com/"
out-of-area,"Jade Garden Chinese Restaurant","chinese_restaurant",489,"3720 W Ina Rd #106, Tucson, AZ 85741, USA","https://www.jadegardenaz.com/"
