name,primary_type,address,website_url,reviews,rating,business_status,processed
"Guadalajara's Grill & Tequila Bar","mexican_restaurant","750 N Kolb Rd, Tucson, AZ 85710, USA","https://www.ggrill.com/",19493,4.8,"OPERATIONAL",linked
"Guadalajara's Grill & Tequila Bar","mexican_restaurant","5955 Arizona Pavilions Dr, Tucson, AZ 85743, USA","https://www.ggrill.com/",9521,4.8,"OPERATIONAL",linked
"Guadalajara's Grill & Tequila Bar","mexican_restaurant","1610 W Valencia Rd #100, Tucson, AZ 85746, USA","https://www.ggrill.com/",8824,4.9,"OPERATIONAL",linked
"Hawaiian Bros Island Grill","hawaiian_restaurant","203 S Wilmot Rd, Tucson, AZ 85711, USA","https://hawaiianbros.com/",7510,4.8,"OPERATIONAL",
"El Charro Café Downtown","mexican_restaurant","311 N Court Ave, Tucson, AZ 85701, USA","https://www.elcharrocafe.com/",7140,4.3,"OPERATIONAL",linked
"Culinary Dropout","american_restaurant","2543 E Grant Rd, Tucson, AZ 85716, USA","https://www.culinarydropout.com/locations/tucson-az/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps",6511,4.3,"OPERATIONAL",linked
"Cheddar's Scratch Kitchen","american_restaurant","3455 E Broadway Blvd, Tucson, AZ 85716, USA","https://www.cheddars.com/locations/az/tucson/tucson/2111?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:tucson-az-2111_pl:locurl_rd:1090",5927,4.4,"OPERATIONAL",linked
"The Cheesecake Factory","american_restaurant","60 W Wetmore Rd, Tucson, AZ 85705, USA","https://locations.thecheesecakefactory.com/az/tucson-150.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places",5887,4.3,"OPERATIONAL",linked
"Dave & Buster's Tucson","restaurant","1390 E Tucson Marketplace Blvd, Tucson, AZ 85713, USA","https://www.daveandbusters.com/us/en/about/locations/tucson",5328,4.2,"OPERATIONAL",
"El Güero Canelo Restaurant","mexican_restaurant","2480 N Oracle Rd, Tucson, AZ 85705, USA","https://elguerocanelo.com/elgerocanelo2?utm_source=google",5269,4.4,"OPERATIONAL",linked
"Guadalajara Original Grill","mexican_restaurant","1220 E Prince Rd, Tucson, AZ 85719, USA","https://guadalajaraoriginalgrill.com/",5093,4.5,"OPERATIONAL",linked
"Rancho Rustico Restaurant","mexican_restaurant","10275 E Old Vail Rd, Tucson, AZ 85747, USA","https://ranchorusticorestaurant.com/",5060,4.7,"OPERATIONAL",linked
"BK Carne Asada & Hot Dogs 1st Ave.","mexican_restaurant","2680 N 1st Ave, Tucson, AZ 85719, USA","http://www.bktacos.com/",4804,4.5,"OPERATIONAL",linked
"Silver Saddle Steakhouse","steak_house","310 E Benson Hwy, Tucson, AZ 85713, USA","http://thesilversaddlesteakhouse.com/",4582,4.5,"OPERATIONAL",linked
"La Frida Mexican Grill & Seafood","mexican_restaurant","7230 E 22nd St, Tucson, AZ 85710, USA","https://www.lafridamexicangrill.com/",4343,4.8,"OPERATIONAL",linked
"Mi Nidito Restaurant","mexican_restaurant","1813 S 4th Ave, Tucson, AZ 85713, USA","http://www.miniditorestaurant.com/",4282,4.5,"OPERATIONAL",linked
"Pinnacle Peak","steak_house","6541 E Tanque Verde Rd, Tucson, AZ 85715, USA","https://www.pinnaclepeaktucson.com/",3906,4.4,"OPERATIONAL",linked
"Yard House","american_restaurant","Park Place, 5870 E Broadway Blvd, Tucson, AZ 85711, USA","https://www.yardhouse.com/locations/az/tucson/tucson-park-place-mall/8356?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:tucson-az-8356_pl:locurl_rd:1053",3905,4.4,"OPERATIONAL",linked
"Guadalajara Original Grill","mexican_restaurant","7360 N Oracle Rd, Tucson, AZ 85704, USA","http://guadalajaraoriginalgrill.com/",3874,4.5,"OPERATIONAL",linked
"AMELIAS MEXICAN KITCHEN","mexican_restaurant","5553 E Grant Rd, Tucson, AZ 85712, USA","https://ameliastucson.com/ameliasmexicankitchengrant?utm_source=google",3823,4.7,"OPERATIONAL",linked
"LongHorn Steakhouse","steak_house","5725 E Broadway Blvd, Tucson, AZ 85711, USA","https://www.longhornsteakhouse.com/locations/az/tucson/tucson-broadway/5529?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:tucson-az-5529_pl:locurl_rd:1462",3783,4.4,"OPERATIONAL",linked
"AMELIAS MEXICAN KITCHEN","mexican_restaurant","5851 N Oracle Rd, Tucson, AZ 85704, USA","https://ameliastucson.com/ameliasmexicankitchenoracle?utm_source=google",3782,4.8,"OPERATIONAL",linked
"El Güero Canelo Restaurant","mexican_restaurant","5802 E 22nd St, Tucson, AZ 85711, USA","https://elguerocanelo.com/elgerocanelo3?utm_source=google",3621,4.3,"OPERATIONAL",linked
"Rocco's Little Chicago","pizza_restaurant","2555 E Broadway Blvd, Tucson, AZ 85716, USA","http://www.roccoslittlechicago.com/",3582,4.5,"OPERATIONAL",linked
"BK Carne Asada & Hot Dogs 12th Ave","taco_restaurant","5118 S 12th Ave, Tucson, AZ 85706, USA","http://www.bktacos.com/",3440,4.4,"OPERATIONAL",linked
"TACO GIRO | Valencia","taco_restaurant","2750 W Valencia Rd, Tucson, AZ 85746, USA","https://tacogiro.shop/",3360,4.5,"OPERATIONAL",linked
"Bison Witches","bar_and_grill","326 N 4th Ave, Tucson, AZ 85705, USA","http://www.bisonwitchestucson.com/",3332,4.6,"OPERATIONAL",linked
"LongHorn Steakhouse","steak_house","4421 N Oracle Rd, Tucson, AZ 85705, USA","https://www.longhornsteakhouse.com/locations/az/tucson/tucson/5554?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:tucson-az-5554_pl:locurl_rd:1479",3287,4.3,"OPERATIONAL",linked
"Chili's Grill & Bar","restaurant","5150 E Broadway Blvd, Tucson, AZ 85711, USA","https://www.chilis.com/locations/us/arizona/tucson/tucson?utm_source=google&utm_medium=local&utm_campaign=Chilis",3272,4.1,"OPERATIONAL",
"Tacos Apson","mexican_restaurant","3501 S 12th Ave, Tucson, AZ 85713, USA","http://tacosapson.com/",3238,4.4,"OPERATIONAL",linked
"Angry Crab Shack","seafood_restaurant","1365 W Grant Rd, Tucson, AZ 85745, USA","https://www.angrycrabshack.com/grant-rd-tucson-az",3188,4.1,"OPERATIONAL",linked
"The Oink Cafe","restaurant","7131 E Broadway Blvd, Tucson, AZ 85710, USA","http://oinkcafe.com/",3185,4.3,"OPERATIONAL",linked
"P.F. Chang's","chinese_restaurant","1805 E River Rd Ste 100, Tucson, AZ 85718, USA","https://locations.pfchangs.com/az/tucson/1805-e-river-rd-suite-100.html?utm_source=google_gbp&utm_medium=organic",3128,4.3,"OPERATIONAL",linked
