tag,matched,name,url,snippet,notes
real?,happy hour,Argenziano's,https://argenzianos.shop/,"e with a full bar, outdoor seating, and happy hour specials. Standout dishes include the lasagna, seafood soup, and ravioli, all s",
real?,Happy hour,Casa Del Rio,http://cdrtucson.com/,draft beers and everything in between. Happy hour pricing available! Dinner } Print/Download Botanas Recommended for 2 or more Na,
real?,Happy Hour,Center Court Bar & Grill,https://www.centercourtbarandgrill.com/,s · /menus#menu=lunch · View Our Menu · Happy Hour · /center-court-menu#menu=happy-hour · Kids Menu · /center-court-menu#menu=kids,
real?,Happy Hours,Dave & Buster's Tucson,https://www.daveandbusters.com/us/en/about/locations/tucson,ng rights that last a lifetime. SIGN UP Happy Hours WORK HARD. PLAY HARD. HAPPY HOUR HARDER. $5 HAPPY HOUR. Add a refreshing twist,
real?,Happy HOur,El Cisne Restaurant,https://elcisnerestaurant.com/menu/,"rs Light San Tan Hefeweisen Dragoon IPA Happy HOur Menu: Bar Only Drinks Cisne Margarita Corazon Blue agave, triple sec, fresh squ",
real?,happy hour,Frog & Firkin,http://www.frogandfirkin.com/,always recommend Frog for lunch dinner happy hour and parties!! The deep dish pizza and frog bites are my top two!! Support local,
real?,happy hour,Hooters,https://www.hooters.com/locations/31128-tucson?utm_source=google&utm_medium=organic&utm_campaign=gmb-website-cta-tucson-az-tucson,"always be found right in Tucson. Daily happy hour specials, drink specials and craft beer on tap. Find your closest Hooters Enter",
real?,Happy Hour,Jimmy's Pizzeria,https://jimmyspizzaaz.com/,"Call Us Today Download Jimmy's Coupons Happy Hour All Day Feeling thirsty? At Jimmy’s, it’s happy hour all day long, and of cours",
real?,Happy Hour,Los Olivos,https://orderlosolivos.com/happy-hour-menu,Happy Hour Menu Los Olivos Home Menu About Us Contact Us Order Now Our Favorites Most Love,
real?,happy-hour,Main Event Tucson,https://www.mainevent.com/,ds Up! Dismiss Careers Menu · /specials/happy-hour · /events/corporate-events/happy-hour · menu/bar · /menu/bar · menu/food · /men,
real?,Happy Hour,Mi Nidito Restaurant,https://www.thevillagetavernnyc.com/event/happy-hour/,"nt starts here, tab to start navigating Happy Hour Join us for Happy Hour! Monday through Friday 4 - 7pm Saturday and Sunday 12 -",
real?,Happy hour,Reds Tacos & More,https://redstacos.com/,am Tuesday through Sunday 10am to 2am . Happy hour specials! Taco Tuesday specials! Click below to order from this location. **New,
real?,Happy hour,REDS TACOS & MORE,http://redstacos.com/,am Tuesday through Sunday 10am to 2am . Happy hour specials! Taco Tuesday specials! Click below to order from this location. **New,
real?,happy-hour,Sakura Teppan Steak & Sushi,https://sakurateppansteaksushi.shop/,erves coffee Serves comfort food Serves happy-hour drinks Serves happy-hour food Serves healthy options Serves late-night food Ser,
real?,Happy Hour,Short Rest Tavern,http://www.shortresttavern.com/,"ith us tonight! EVENT CALENDAR About Us Happy Hour We all need a place to relax and escape 2025, so why not do it with a drink in",
real?,Happy Hour,The Ranch Bar and Grill - Tucson,https://www.theranchbarandgrilltucson.com/,a whole lot of heart. · View our Menu · Happy Hour · Happy Hour Picture.jpeg · Monday thru Friday from 2:00 PM to 5 PM. $2 off app,
real?,happy-hour,Vivace Restaurant,https://www.vivacetucson.com/menu/happy-hour,"page https://www.vivacetucson.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
real?,happy-hour,Yard House,https://www.yardhouse.com/happy-hour,/happy-hour,
weak:op-hours-or-nav,special,All American Burger,https://tucsonmall.com/about-us/,g retail center has something special for everyone. Popular casual dining options join the array of,
weak:op-hours-or-nav,special,AMELIAS MEXICAN KITCHEN,https://ameliastucson.com/ameliasmexicankitchenoracle?utm_source=google,"family party, work event, or special celebration. With customizable menu options and hassle-free de",
weak:op-hours-or-nav,Specials,Angry Crab Shack,https://www.angrycrabshack.com/broadway-blvd-tucson,ck Out Our Catering! CATERING Specials Events Amenities Specials The Seafood Boil Experience If you,
weak:op-hours-or-nav,special,Arizona Pizza Company,https://www.maedayazp.org/,gs Subs Sides & dessert Lunch special & Beverages Specials 13190 E. Colossal cave Rd. #160 (520) 762,
weak:op-hours-or-nav,30 AM–10 PM,Azian,https://www.aziansushitucson.com/,rean BBQ M-T: Closed W-TH: 11:30 AM–10 PM F-S: 11:30 AM–11 PM Sun: 12PM &#8211; 10 PM Popular Dishes,
weak:op-hours-or-nav,Specials,Bamboo View,https://bamboo-view.com/menu/happy-hour,on Family Style Entrees Chefs Specials Fried Rice Egg Foo Young Lo Mein Chow Mein Chop Suey Side Ord,
weak:op-hours-or-nav,6PM-11PM,Bar Crisol/Exo,http://www.barcrisol.com/,UESDAY-SUNDAY 7-3 BAR WED-SAT 6PM-11PM ABOUT IN THE PRESS CONTACT US BUY A GIFT CARD Log in barcriso,
weak:op-hours-or-nav,Specials,Barnfire Mesquite Grill,https://barnfiremesquitegrill.com/tucson-barn-fire-mesquite-grill-happy-hours-specials,arnfire@gmail.com Menu Drinks Specials Events Reserve Parties Catering Jobs Facebook page Google pag,
weak:op-hours-or-nav,6 p.m. - 8 p.m.,Bashful Bandit Barbecue,https://www.bashfulbanditbbq.com/thanksgivingmenu,ckup Thanksgiving Eve between 6 p.m. - 8 p.m. or Thanksgiving Morning between 9 am - 11 am! The brav,
weak:op-hours-or-nav,7PM – 9PM,Big Bad Wolf Bar & Grill,http://bigbadwolftucson.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"’s ALL ABOUT THE LADIES 🔥 🕖 7PM – 9PM [&hellip;] Find out more Jun 18 Jun 18, 2026 6:00 PM - 11:00",
weak:op-hours-or-nav,8am-8pm,Blue Willow Restaurant & Gift Shop,https://www.bluewillowtucson.com/,peration Dine In and Take Out 8am-8pm Tuesday- Saturday 8am-2pm Sunday & Monday ​ ​ 520-327-7577 bot,
weak:op-hours-or-nav,special,Borderlands Brewing Sam Hughes,http://borderlandsbrewing.com/,"to receive news, updates, and special offers. bottom of page } max-age=0; path=${r}; expires=Thu, 01",
weak:op-hours-or-nav,SPECIALS,Brooklyn's Beer & Burgers,https://brooklynsbeerandburger.com/tucson-brooklyns-beer-and-burgers-happy-hours-specials,"ngton Rd , Tucson MENU DRINKS SPECIALS REWARDS PARTIES JOBS ORDER RESERVE Twitter page Facebook page",
weak:op-hours-or-nav,special,Casa Asada Taquería y Cervecería,https://asadataqueria.com/menu/,"onoran-Mexican dishes, with a special emphasis on our traditional thick-cut steak tacos. Enhance you",
weak:op-hours-or-nav,Specials,Cattletown Steakhouse & Saloon,http://www.cattletownsteakhouse.com/,"ride in our friendly service. Specials Tucson&#x27;s Best Specials Check back often to find coupons,",
weak:op-hours-or-nav,special,Cheng's Beijing Chinese Restaurant,http://www.chengsbeijingtucson.com/,uests for additional items or special preparation may incur an <b>extra charge<\/b> not calculated o,
weak:op-hours-or-nav,SPECIALS,Chicago Bar,http://chicagobar-tucson.com/,CALENDAR ABOUT OUR BAR DRINK SPECIALS More Use tab to navigate through the menu items. CHICAGO BAR,
weak:op-hours-or-nav,Special,China Szechwan,https://www.chinaszechwan.com/lunch,ods 🔥 GrubHub DoorDash Lunch Special Download &copy; 2020 - 2026 China Szechwan Powered by Webador,
weak:op-hours-or-nav,Specials,Cocteleria La Palma Mariscos Y Mas,https://cocteleria-lapalma.com/tucson-south-tucson-cocteleria-la-palma-mariscos-y-mas-happy-hours-specials,p to Main Content Menu Drinks Specials Events Catering Jobs Google page Google page Toggle navigatio,
weak:op-hours-or-nav,5pm - 9pm,Contigo Latin Kitchen,http://www.eatatcontigo.com/,ed Mondays Sunday - Wednesday 5pm - 9pm Thursday - Saturday 5pm -10pm Phone (520) 299 - 1540 Locatio,
weak:op-hours-or-nav,11-2AM,Cowpony Bar,http://www.cowponybar.com/,520-721-2781 * Open Everyday 11-2AM Join Our Mailing List! Copyright 2018 Cowpony Bar All Rights Re,
weak:op-hours-or-nav,4pm-10pm,Daisy Mae's Steak House,http://www.daisymaessteakhouse.com/,maessteak@gmail.com Hours Mon 4pm-10pm Tue 4pm-10pm Wed 4pm-10pm Thu 4pm-10pm Fri 4pm-10pm Sat 4pm-1,
weak:op-hours-or-nav,3PM - 8PM,Diamond Cafe,http://www.ddcaz.com/tucson/dining-nightlife/diamond-cafe/,casino floor! Sunday - Monday 3PM - 8PM Tuesday - Wednesday Closed Thursday - Saturday 4PM - 9PM Jun,
weak:op-hours-or-nav,3pm - 10pm,Dragoon Brewing Company,http://www.dragoonbrewing.com/,"s, our new releases and more! 3pm - 10pm · 3 pm - 10 pm · 12 pm - 10 pm · 12 pm -5 pm",
weak:op-hours-or-nav,Specials,El Antojo Poblano,https://elantojopoblanoaz.com/,ges Skip to Main Content Menu Specials Events Order Doordash Grubhub Call to Order Catering Go to to,
weak:op-hours-or-nav,special,El Güero Canelo Restaurant,https://elguerocanelo.com/elgerocanelo2?utm_source=google,erfect for Any Occasion Got a special event coming up? Let us handle the food! Whether it’s a family,
weak:op-hours-or-nav,11am - 8pm,El Torero Restaurant,http://www.eltorerotucson.com/,erocomida@gmail.com Hours Tue 11am - 8pm Wed 11am - 8pm Thu 11am - 9pm Fri 11am - 9pm Sat 11am - 9pm,
weak:op-hours-or-nav,SPECIAL,Fairway Cigars,https://www.fairwaycigarsaz.com/,Repeat Book a Tee Time Today! SPECIAL EVENT Limited Seating Ladies Only - Cigar Education and Bourbo,
weak:op-hours-or-nav,Special,Fini's Landing,https://finislanding.com/specials,"children"":[{""text"":""Plan Your Special Event"",""fontFamily"":{""displayName"":""Raleway"",""name"":""\""Raleway",
weak:op-hours-or-nav,Specials,Frankie's South Philly Cheesesteaks,https://frankiescheesesteaks.com/tucson-tucson-frankie-s-south-philly-cheesesteaks-happy-hours-specials,p to Main Content Menu Drinks Specials Events Jobs Pickup Facebook page Instagram page Google page P,
weak:op-hours-or-nav,11 am - 9 pm,Fresco Pizzeria & Pastaria,https://frescopizzeria.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"n Paper and Ribbon Top Hours: 11 am - 9 pm Everyday 3011 E. Speedway Blvd. Tucson, AZ 85716 (520) 88",
weak:op-hours-or-nav,SPECIAL,Ginza Sushi & Izakaya,http://www.ginzatucson.com/online-menu.html,"Menu IZAKAYA SUSHI / SASHIMI SPECIAL ROLLS SUSHI LIST COMBOS / SALAD Ginza Sushi, Tucson, Arizona &",
weak:op-hours-or-nav,Special,Golden Dragon Chinese Restaurant,https://goldendragon.kwickmenu.com/,039;S CHICKEN $10.95 L- House Special Lomein $10.95 L- Kung Pao Chicken $10.95 L- Mapo Tofu $10.95 L,
weak:op-hours-or-nav,Special,Golden Dragon Chinese Restaurant,https://goldendragontucson.com/menu/entrees/,Lo Mein | Chow Ho Fun | House Specialties | Fried Rice | Chop Suey | Chicken | Duck | Beef | Seafood,
weak:op-hours-or-nav,Specials,Golden House Chinese Fast Food,https://www.goldenhousetucson.com/,Order About Us Our Menu Lunch Specials Takeout &#038; Delivery Catering Photos Healthy Chinese Food,
weak:op-hours-or-nav,specials,Gusto Osteria,http://gustotucson.com/,"tarian choices, with rotating specials inspired by fresh seasonal ingredients. We combine traditiona",
weak:op-hours-or-nav,special,Hana Tokyo,http://hanatokyoaz.com/,on our never-ending new sushi special creations. Our unique specialty sushi rolls will tantalize you,
weak:op-hours-or-nav,12PM-7PM,Harbottle Brewing Company,http://www.harbottlebrewingco.com/,"to Harbottle Brewing OPEN WED 12PM-7PM THURS-SAT 12PM-8PM SUN,MON,TUES, CLOSED Featured Beers Our ta",
weak:op-hours-or-nav,special,Holy Smokin Butts BBQ,https://www.holysmokinbutts.com/,"clusive events, secret menus, special offers/discounts, loyalty rewards & more! · $500",
weak:op-hours-or-nav,Specials,Hotrods Old Vail,http://hotrodsoldvail.com/restaurant/specials/,an Event Contact Select Page Specials MENU HOURS DIRECTIONS Hungry? We can fix that&#8230; Event Sp,
weak:op-hours-or-nav,Special,Hunter's Kitten Lounge,https://hunterskittenlounge.org/,Home Appt Booking Special Bookings FAQ Location/Hours Our Cats The inspiration Donation,
weak:op-hours-or-nav,special,Illegal Pete's - Tucson,https://www.illegalpetes.com/menu,"ut the day. Tossed in our own special spice mix. Fajita Veggies Green bell peppers, red onions and s",
weak:op-hours-or-nav,Special,Inca's Peruvian Cuisine,http://incasperuviancuisine.com/,r Online Menu Catering Social Special Discount Welcome to Per&uacute; Call US Order Online Order Del,
weak:op-hours-or-nav,SPECIAL,Indian Twist,http://indiantwistaz.com/,"licious Tandoori Items We are specialists in tandoori items and use tandoor for preparing Naan, Lamb",
weak:op-hours-or-nav,special,Indian Twist Airport,http://indiantwistairport.com/,"family, friends, or hosting a special event, Indian Twist is the perfect setting. Our warm ambiance",
weak:op-hours-or-nav,specials,Istanbul Mediterranean Cuisine & Bar,https://istanbultucson.com/about/,"ditionally, our menu features specials such as lamb shank, manti, lamb chops, okra, and more. To sat",
weak:op-hours-or-nav,special,JA Ramen,https://jaramen.us/about-us/,"care. The name “JA” carries a special meaning: not only short for “Japanese,” but also a reminder to",
weak:op-hours-or-nav,8AM–9PM,JoJo's Restaurant,http://jojostucson.com/,wn Artisans Courtyard Tue–Fri 8AM–9PM • Saturday 9AM–9PM Get Directions Home Menus Story Calendar 76,
weak:op-hours-or-nav,Special,Jun Dynasty Chinese Restaurant,http://jundynasty.com/,in some cases tongue-numbing specialties. Szechuan Flavors Typical Szechuan dishes include the well,
weak:op-hours-or-nav,11-8pm,Karichimaka Restaurant,http://www.karichimaka.com/,"Hours Tues-Sat 11-8pm Sun 11-5pm 520-883-0311 5252 S Mission Rd, Tucson, AZ 85746 Hom",
weak:op-hours-or-nav,11am - 9pm,KINTOKI SUSHI HOUSE & BAR,https://www.kintokisushihouse.com/,"eserve Now Sunday - Thursday: 11am - 9pm​ Friday - Saturday : 11am - 10pm 2960 N 1st Ave, Tucson AZ,",
weak:op-hours-or-nav,daily,Kiwami Ramen,http://kiwami-ramenbar.com/menu,"Japanese soul food, prepared daily with love and passion %%anchor%% ""> Appetizers Great taste to st",
weak:op-hours-or-nav,special,La Botana Tacos,https://www.labotanatacos.com/,"clusive events, secret menus, special offers/discounts, loyalty rewards & more!",
