name,amenity,cuisine,website,lat,lng,osm_id
4 Seasons,restaurant,chinese,https://www.4seasonsaz.com/,32.2609101,-110.9959543,way/441750624
Anello,restaurant,pizza,https://anello.space/,32.2275738,-110.9680252,node/5629747534
Aspasia Middle Eastern Restaurant,restaurant,mediterranean,https://aspasiarestaurant.com/,32.2498238,-110.9265256,way/835207768
Baggin's,restaurant,sandwich,https://bagginsgourmet.com/,32.2359744,-110.8381791,way/488163345
Bahama Buck’s,restaurant,dessert,https://bahamabucks.com/shop/tucson/,32.2214096,-110.8091606,way/832084357
Berry Greens Juice Bar,restaurant,juice,https://www.berrygreens.com/,32.2221814,-110.967499,node/9984673436
Bisbee Breakfast Club,restaurant,breakfast,https://www.bisbeebreakfastclub.com/,32.2211564,-110.9281739,node/6961043538
Bisbee Breakfast Club,restaurant,american;breakfast;burger;chicken;coffee_shop;diner;pancake,https://www.bisbeebreakfastclub.com/,32.2259611,-110.8573386,node/13572112801
BK Tacos,restaurant,mexican,https://www.bktacos.com,32.255838,-110.960596,way/868851685
Bonchon,restaurant,korean,https://restaurants.bonchon.com/locations/AZ/tucson/6310-e-tanque-verde-road-suite-110,32.2424941,-110.8571457,node/13320516201
Borderlands Brewing Co.,pub,,https://www.borderlandsbrewing.com/,32.225948,-110.970162,way/482781983
Brick Box Brewery,pub,,https://www.brickboxbrewery.com/,32.2209091,-110.9665567,way/42418488
BZ's Italian Kitchen,restaurant,italian,https://www.bzsitaliankitchen.com/,32.2494535,-110.8247443,node/9656790633
Cafe Desta,restaurant,ethiopian,http://cafedesta.com,32.2122293,-110.9689793,node/2807857451
Cal's Bakeshop,restaurant,donut,https://www.instagram.com/calsbakeshop/,32.2218455,-110.9320678,way/454920423
Caruso's,restaurant,italian,https://carusositalian.com/,32.2273505,-110.9653106,node/398303506
Charquita's Mexican Food,restaurant,mexican,https://www.charquitasmexicanfoodaz.com/,32.2725033,-110.9894781,way/1000387132
China Pasta,restaurant,chinese,https://chinapastahouseaz.com/,32.227405,-110.956068,node/370960288
Chuck E. Cheese,restaurant,pizza,https://locations.chuckecheese.com/us/az/tucson/6125-east-speedway-blvd,32.2366952,-110.8614259,way/800249061
Corbette's,restaurant,,http://corbettestucson.com,32.2261814,-110.9674258,node/12339735502
Crooked Tooth Brewing Co.,pub,,https://crookedtoothbrewingaz.square.site,32.2275231,-110.9677467,way/1416203726
Denny's,restaurant,american,https://locations.dennys.com/AZ/TUCSON/249370,32.0850243,-110.7733908,way/855741091
Divine Bovine Burgers,restaurant,burger,https://www.divinebovineburgers.com/,32.2348124,-110.8583578,way/235569485
El Brunch Bistro,restaurant,latin_american,https://brunchbistromexicangrillaz.com/,32.2079868,-110.841337,way/672206396
El Guero Canelo,restaurant,mexican,https://www.elguerocanelo.com/,32.2518997,-110.9775869,way/444305103
Famous Sam's Sports Grill,restaurant,grill,https://www.famoussamsarizona.com/,32.1627636,-110.9409337,way/330930460
Filberto's,restaurant,latin_american,https://filibertos.com/,32.2512675,-110.8421396,way/796370614
Filiberto's,restaurant,,https://filibertos.com/,32.1781526,-110.9801288,way/745343170
Fired Pie,restaurant,pizza,https://firedpie.com/,32.221733,-110.9658317,node/4858559628
First Watch,restaurant,american;breakfast,https://www.firstwatch.com/,32.2359483,-110.8387812,way/488163329
First Watch,restaurant,american;breakfast,https://www.firstwatch.com/,32.2978736,-110.9796746,way/691855035
First Watch,restaurant,american;breakfast,https://firstwatch.com,32.1846811,-110.9448866,way/1246744817
Fish Wok,restaurant,,https://www.fishwoktucson.com,32.2363917,-110.933627,node/8508283652
Flora's Market Run,restaurant,,https://florasmarket.com/,32.2282067,-110.9347748,way/863400149
Frank's Restaurant,restaurant,american,https://www.franksrestaurant.com/,32.2436266,-110.9104115,way/237172459
Frozen Delight,restaurant,frozen_yogurt,https://www.frozendelight520.com/,32.236714,-110.8589835,way/840352332
Graze Premium Burgers,restaurant,american;burger,https://www.grazepremiumburgers.com,32.2219793,-110.8716093,way/799466773
Guilin,restaurant,chinese,https://www.guilintucson.com/,32.2218228,-110.8972268,node/11873243117
Hi-Fi,bar,,https://hifibars.com/,32.2219939,-110.9657319,node/3150346718
Hogie House 22nd Street,restaurant,sandwich,https://www.hogiehouse.com/,32.2066063,-110.8677995,node/8508388987
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/az/tucson/breakfast-7945-e-broadway-blvd-1515,32.2215503,-110.8232877,way/38656641
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/az/tucson/breakfast-5101-e-grant-rd-1514,32.2511536,-110.8837663,way/231885664
IHOP,restaurant,breakfast;pancake,https://restaurants.ihop.com/en-us/az/tucson/breakfast-4040-e-22nd-street-3848,32.2065933,-110.9057835,way/258148181
La Cocina,restaurant,mexican,https://lacocinatucson.com/,32.224212,-110.974258,node/4489511809
La Parilla Suiza,restaurant,mexican,http://www.laparillasuiza.com,32.2563462,-110.9775813,way/441811236
La Salsa Fresh Mexican Grill,restaurant,mexican,https://www.lasalsa.com/,32.2514784,-110.8891289,way/841979168
Lindy's,restaurant,burger,https://www.lo4th.com/,32.2280678,-110.9652798,way/221554770
Little Anthony's Diner,restaurant,american,https://www.littleanthonysdiner.com/,32.2203042,-110.8430024,way/838356198
Lovin' Spoonfuls,restaurant,comfort,https://lovinspoonfuls.com/,32.2607577,-110.9432741,way/881076846
Mandarin Grill,restaurant,chinese,https://www.mandaringrill.com/,32.2506505,-110.9630308,way/245403650
Nattha's Bann Thai Asian,restaurant,asian;chicken;chinese;coffee_shop;curry;ice_cream;noodles,https://natthasbannthai.com/,32.2056114,-110.843681,node/13606878201
Noodleholics,restaurant,,https://www.noodleholics.com/,32.2424508,-110.8571466,way/834025633
Olive Garden,restaurant,italian,https://www.olivegarden.com/locations/az/tucson/tucson-mall/1095,32.286929,-110.9769525,way/38314459
Opa's Grill,restaurant,greek,https://opasgrill.com/,32.2279023,-110.965139,node/398275892
Owl's Club,bar,,https://www.owlsclubwest.com/,32.2187067,-110.9699702,node/6226292128
Pasco Kitchen and Lounge,restaurant,,http://pascokitchen.com/,32.2315054,-110.9585976,node/2386668525
Peter Piper Pizza,restaurant,pizza,https://locations.peterpiperpizza.com/az/tucson/4120-n-oracle-rd,32.2817165,-110.977538,way/240743232
Peter Piper Pizza,restaurant,pizza,https://locations.peterpiperpizza.com/az/tucson/5925-e-broadway-blvd,32.2225563,-110.8659248,way/832674101
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/3964-n-oracle-rd,32.2787111,-110.977744,node/6291840885
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/1502-w-saint-marys,32.229291,-110.9975128,node/6427270486
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/1927-e-speedway-blvd,32.2365225,-110.943106,node/9627858117
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/9564-e-golf-links-rd,32.191504,-110.7879844,node/11128945073
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/2680-e-valencia,32.1336176,-110.931867,node/11950834405
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/1865-w-valencia,32.133382,-111.0064031,way/556298568
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/6305-e-22nd-st,32.2072152,-110.8567678,way/672783852
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/4710-e-speedway-blvd,32.2358672,-110.8916676,way/800897440
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/8160-s-houghton-rd,32.1038783,-110.774693,way/835614781
Pizza Hut,restaurant,pizza,https://locations.pizzahut.com/az/tucson/7082-e-speedway-blvd,32.2351288,-110.8416048,way/839203458
Radicchio,restaurant,international,https://union.arizona.edu/dining/sumc/pangea,32.2322411,-110.9527149,node/1314728435
Red Lobster,restaurant,seafood,https://www.redlobster.com/locations/list/az/tucson/5061-north-oracle-road,32.2980131,-110.979193,way/691855034
Red Lobster,restaurant,seafood,https://www.redlobster.com/seafood-restaurants/locations/az/tucson/5870-e-broadway-blvd/,32.2210756,-110.8678573,way/838366651
Reilly Craft Pizza & Drink,restaurant,pizza,https://www.reillypizza.com/,32.2234013,-110.969722,way/34616193
Sausage Deli,restaurant,sandwich,https://www.sausagedeli.com/,32.2498723,-110.9602137,way/320465479
Scented Leaf Tea House - Tanque Verde,restaurant,tea,https://www.thescentedleaf.com,32.2465901,-110.8514262,way/796312869
Shake Smart,restaurant,juice,https://shakesmart.com/,32.238707,-110.955452,node/6961353485
Tap & Bottle,bar,,https://www.thetapandbottle.com/,32.2266589,-110.968795,node/2529520752
Texas Roadhouse,restaurant,steak_house,https://www.texasroadhouse.com/locations/arizona/tucson-w-irvington-rd,32.1641445,-110.9832938,way/591280300
The Broadway,bar,,https://www.thebroadwayaz.com/gallery,32.2218828,-110.9337234,node/13282413801
The Buffet,pub,,https://www.thebuffetbar.com/,32.2236161,-110.9628872,way/909794812
The Egg Connection,restaurant,american,http://www.theeggconnection.com/,32.2644078,-110.9260798,way/865780181
The Hub Restaurant and Ice Creamery,restaurant,american,https://hubdowntown.com/,32.2219717,-110.9675766,node/4431515380
The National,restaurant,breakfast;brunch;pastry,https://thenationaltucson.com/,32.2217553,-110.9695873,node/12315758179
Tony's New York Style Italian Deli,restaurant,,https://www.tonysdeliaz.com,32.2073666,-110.8597892,node/8505156018
Tooley's Cafe,restaurant,,http://tooleyscafe.com,32.218835,-110.9559378,way/33105426
Village Inn,restaurant,american,https://www.villageinn.com/tucson-az-22nd-and-harrison,32.2059212,-110.7886642,way/797225628
Viva Burrito Co.,restaurant,mexican,https://vivaburritoco.com/,32.2593905,-110.7994423,way/253751151
Waffle House,restaurant,american,https://locations.wafflehouse.com/tucson-az-1551/,32.1345348,-110.9319683,way/632734730
Waffle House,restaurant,american,https://locations.wafflehouse.com/tucson-az-431/,32.2064418,-110.9809988,way/632734732
Waffle House,restaurant,american,https://locations.wafflehouse.com/tucson-az-283,32.2507302,-110.9949732,way/632734733
Wok Fire & Grill,restaurant,vietnamese,https://wokfire.menufy.com,32.2369744,-110.9570425,way/444973342
Yin Yang Express,restaurant,,https://www.yinyangexpressaz.com,32.26451,-110.9717355,way/868858303
¡Toma!,restaurant,mexican,,32.2255736,-110.9744854,node/4457135549
1702,restaurant,pizza,,32.2356833,-110.9465846,way/399725111
Ali Baba,restaurant,mediterranean,,32.2365106,-110.9342908,node/9738910686
Anita's Street Market,restaurant,mexican,,32.2329998,-110.9809851,node/13108054715
Applebee's,restaurant,american,,32.2869983,-110.9635679,way/236491641
Applebee's,restaurant,american,,32.251176,-110.8945121,way/255487363
Baggin's,restaurant,sandwich,,32.236417,-110.9313163,way/425877917
Bangkok Cafe,restaurant,,,32.2364265,-110.9347728,way/431583870
Beyond Bread,restaurant,sandwich,,32.2352802,-110.8586388,way/191142411
Beyond Bread,restaurant,sandwich,,32.2619112,-110.943464,way/230141810
Bobo's Restaurant,restaurant,breakfast,,32.2501465,-110.9279743,way/416583846
Boca Tacos Y Tequila,restaurant,mexican,,32.2285117,-110.9657997,node/412146104
Brush Fire Barbeque,restaurant,american,,32.2046669,-110.8413416,node/12442155146
Buddy's Grill,restaurant,american,,32.1173006,-110.7718918,way/835614762
Cactus Grill,restaurant,american;pizza;burger;asian,,32.2326038,-110.9515624,node/11822952335
Café Poca Cosa,restaurant,,,32.2230502,-110.9696579,node/373594456
Cappy's Breakfast Cafe,restaurant,,,32.2715258,-110.9874293,node/5245934623
Casa Molina,restaurant,mexican,,32.2614337,-110.9441743,way/229631814
Casa Molina,restaurant,mexican,,32.2365456,-110.8595035,way/814796076
Ceres pasta+bread,restaurant,,,32.224516,-110.9744857,node/9627393018
Chicken nuevo,restaurant,mexican,,32.2287183,-110.9965787,way/975530584
Chili Con Sol,restaurant,mexican,,32.2275514,-110.9474213,way/539135045
Chinese Combo,restaurant,chinese,,32.118312,-110.7987963,way/835614748
Churrasco de Brazil,restaurant,brazilian;steak_house,,32.2873159,-110.9736162,node/12450298832
Chuy's Mesquite Broiler,restaurant,mexican,,32.114247,-110.7718162,way/324608393
Core,restaurant,,,32.2325087,-110.9515625,node/1314736278
Cork n' Craft,restaurant,american,,32.2322489,-110.952434,node/391934287
Costa Vida,restaurant,mexican,,32.2835866,-110.9444161,node/4434823439
Cup Cafe,restaurant,american,,32.2223552,-110.9668524,node/371427905
Dakota,restaurant,american;burger,,32.2468875,-110.8534937,way/313475136
Denny's,restaurant,american,,32.220569,-110.8553427,way/541984303
Denny's,restaurant,american,,32.2303717,-110.9837419,way/975709430
Dirtbags,pub,,,32.2357377,-110.9450274,way/244908250
DJ's Island Grill,restaurant,jamaican,,32.2646819,-110.9251264,way/865780196
Dolce Vita,restaurant,,,32.2639832,-110.9444384,way/1085886833
Donut Wheel,restaurant,donut,,32.1649604,-110.9430358,way/330930434
DQ/Orange Julius,restaurant,,,32.2190449,-110.8657428,node/4975009544
East Coast Super Subs,restaurant,sandwich,,32.2235221,-110.9565965,way/257195789
Eegee's,restaurant,sandwich,,32.2363754,-110.9678417,node/13014731615
eHotPot,restaurant,,,32.2363675,-110.9675615,node/13014731613
El Chinito Gordo,restaurant,mexican,,32.260062,-110.9777738,way/444072493
El Taco Tote,restaurant,mexican,,32.2937812,-110.9713869,way/240591241
El Taco Tote,restaurant,mexican,,32.2391043,-110.8575028,way/311414762
Filiberto's,restaurant,mexican,,32.0867306,-110.775401,node/11495032598
Filibertos,restaurant,mexican,,32.1612049,-110.9438412,way/330930459
First Watch,restaurant,american;breakfast,,32.16366,-110.9873902,node/10122766800
First Watch,restaurant,american;breakfast,,32.2509551,-110.890822,way/230776966
First Watch,restaurant,american;breakfast,,32.2208985,-110.8785525,way/838389872
Food Street Kitchen,restaurant,,,32.2993546,-110.9792329,way/739745717
Girls Kitchen Mexican Food,restaurant,mexican,,32.2361582,-110.9696487,way/433591907
Golden Corral,restaurant,american;buffet,,32.2065529,-110.8992564,way/829056907
Golden Corral,restaurant,american;buffet,,32.1359834,-110.9981956,way/1022027122
Goodness,restaurant,,,32.2521895,-110.9436238,way/232212766
Graze Premium Burgers,restaurant,burger,,32.2363987,-110.9317823,way/425877915
Greek House,restaurant,greek,,32.2356896,-110.9464093,way/399725107
Guadalajara Fiesta Mexican Grill,restaurant,mexican,,32.2305935,-110.8404717,way/484842972
Highland Market,restaurant,,,32.2281684,-110.9511899,node/371404455
House of Bards,bar,,,32.236728,-110.8877472,way/834365461
